screen_y,rows_below_horizon,depth_world_units,pixels_per_world_unit,road_half_width_px,left_edge_px,right_edge_px,camera_right_25_shift_px
97,1,16000.0,0.01,0.9,159.1,160.9,-0.25
98,2,8000.0,0.02,1.8,158.2,161.8,-0.5
99,3,5333.333333333333,0.030000000000000002,2.7,157.3,162.7,-0.7500000000000001
100,4,4000.0,0.04,3.6,156.4,163.6,-1.0
101,5,3200.0,0.05,4.5,155.5,164.5,-1.25
102,6,2666.6666666666665,0.060000000000000005,5.4,154.6,165.4,-1.5000000000000002
103,7,2285.714285714286,0.06999999999999999,6.299999999999999,153.7,166.3,-1.7499999999999998
104,8,2000.0,0.08,7.2,152.8,167.2,-2.0
105,9,1777.7777777777778,0.09,8.1,151.9,168.1,-2.25
106,10,1600.0,0.1,9.0,151.0,169.0,-2.5
107,11,1454.5454545454545,0.11,9.9,150.1,169.9,-2.75
108,12,1333.3333333333333,0.12000000000000001,10.8,149.2,170.8,-3.0000000000000004
109,13,1230.7692307692307,0.13,11.700000000000001,148.3,171.7,-3.25
110,14,1142.857142857143,0.13999999999999999,12.599999999999998,147.4,172.6,-3.4999999999999996
111,15,1066.6666666666667,0.15,13.5,146.5,173.5,-3.75
112,16,1000.0,0.16,14.4,145.6,174.4,-4.0
113,17,941.1764705882352,0.17,15.3,144.7,175.3,-4.25
114,18,888.8888888888889,0.18,16.2,143.8,176.2,-4.5
115,19,842.1052631578947,0.19,17.1,142.9,177.1,-4.75
116,20,800.0,0.2,18.0,142.0,178.0,-5.0
117,21,761.9047619047619,0.21,18.9,141.1,178.9,-5.25
118,22,727.2727272727273,0.22,19.8,140.2,179.8,-5.5
119,23,695.6521739130435,0.22999999999999998,20.7,139.3,180.7,-5.75
120,24,666.6666666666666,0.24000000000000002,21.6,138.4,181.6,-6.000000000000001
121,25,640.0,0.25,22.5,137.5,182.5,-6.25
122,26,615.3846153846154,0.26,23.400000000000002,136.6,183.4,-6.5
123,27,592.5925925925926,0.27,24.3,135.7,184.3,-6.75
124,28,571.4285714285714,0.27999999999999997,25.199999999999996,134.8,185.2,-6.999999999999999
