# clock_hz=120,fenced=1,submitted=101,acknowledged=101,unrecorded=0,timeout=0,run_ticks=2400,startup_ticks=2,drain_ticks=2
start,interval,physics,projection,submit,fence,road_bytes,cars,mirrored
0,0,0,8,2,2,1677,6,0
12,12,2,10,2,2,1677,6,0
28,16,2,8,2,2,1677,6,0
42,14,0,12,4,2,1569,6,0
60,18,2,20,2,2,1569,6,0
86,26,4,24,10,2,1542,6,0
126,40,12,14,2,2,1542,6,0
156,30,2,14,4,2,1650,6,0
178,22,8,34,4,2,1785,6,0
226,48,18,28,2,2,1650,6,0
276,50,6,46,14,2,1677,5,0
344,68,22,14,8,2,1542,5,0
390,46,14,32,6,2,1542,5,0
444,54,16,16,2,2,1542,5,0
480,36,12,16,2,2,1569,5,0
512,32,6,12,0,2,1893,5,0
532,20,2,10,2,2,1785,5,0
548,16,2,16,4,2,1758,5,0
572,24,2,8,2,2,1677,5,0
586,14,0,14,28,2,1920,5,0
630,44,6,12,4,2,1731,5,0
654,24,4,8,2,2,1704,5,0
670,16,0,10,2,2,1596,5,0
684,14,2,12,12,2,1569,5,0
712,28,8,10,2,2,1677,5,0
734,22,2,8,2,2,1677,5,0
748,14,2,10,2,2,1434,5,0
764,16,2,8,0,2,1569,5,0
776,12,2,6,2,2,1461,5,0
788,12,0,8,2,2,1461,5,0
800,12,0,10,0,2,1326,5,0
812,12,0,10,2,2,1461,5,0
826,14,2,8,2,2,1623,5,0
840,14,2,8,2,2,1596,5,0
854,14,2,8,2,2,1461,5,0
868,14,2,8,2,2,1596,5,0
882,14,2,8,2,2,1353,5,0
896,14,2,8,2,2,1677,5,0
910,14,2,8,0,2,1434,5,0
922,12,0,8,2,2,1569,5,0
934,12,0,14,2,2,1569,5,0
952,18,4,10,2,2,1542,5,0
970,18,2,10,2,2,1569,5,0
986,16,4,12,8,2,1461,5,0
1012,26,4,12,2,2,1488,5,0
1032,20,2,12,0,2,1623,5,0
1048,16,2,8,2,2,1488,5,0
1062,14,0,10,0,2,1353,5,0
1074,12,2,18,6,2,1596,5,0
1102,28,4,14,6,2,1353,5,0
1128,26,2,10,2,2,1353,5,0
1144,16,2,8,0,2,1353,5,0
1156,12,0,12,4,2,1218,5,0
1174,18,2,8,2,2,1245,5,0
1188,14,4,8,4,2,1353,5,0
1206,18,6,10,2,2,1353,5,0
1226,20,2,8,2,2,1245,5,0
1240,14,2,16,2,2,1353,5,0
1262,22,4,16,2,2,1245,5,0
1286,24,4,16,2,2,1245,4,0
1310,24,4,36,2,2,1110,4,0
1354,44,8,20,2,2,1245,4,0
1386,32,8,18,10,2,1461,3,0
1424,38,10,32,4,2,1461,3,0
1472,48,12,20,4,2,1461,3,0
1510,38,16,16,2,2,1461,3,0
1546,36,4,12,0,2,1569,3,0
1564,18,2,12,2,2,1677,3,0
1582,18,2,12,2,2,1677,3,0
1600,18,2,10,2,2,1785,3,0
1616,16,2,12,2,2,1677,3,0
1634,18,2,12,2,2,1785,3,0
1652,18,2,10,2,2,1785,3,0
1668,16,2,12,0,2,1893,3,0
1684,16,2,10,4,2,1785,3,0
1702,18,2,10,2,2,1758,3,0
1718,16,2,10,2,2,1677,3,0
1734,16,2,10,0,2,1650,3,0
1748,14,2,12,2,2,1677,3,0
1766,18,2,14,0,2,1677,3,0
1784,18,2,14,4,2,1785,3,0
1806,22,4,16,2,2,1677,3,0
1830,24,4,16,4,2,1812,3,0
1856,26,6,16,2,2,1434,3,0
1882,26,6,16,2,2,1677,3,0
1908,26,6,16,2,2,1542,3,0
1934,26,6,16,4,2,1569,3,0
1962,28,6,16,2,2,1434,3,0
1988,26,14,20,2,2,1569,3,0
2026,38,10,16,4,2,1812,3,0
2058,32,6,20,4,2,1677,3,0
2090,32,6,18,4,2,1677,3,0
2120,30,12,14,2,2,1542,3,0
2150,30,6,24,4,2,1704,3,0
2186,36,10,10,4,2,1839,3,0
2212,26,6,22,2,2,1596,3,0
2244,32,10,12,2,2,1596,3,0
2270,26,4,34,4,2,1434,3,0
2314,44,10,10,6,2,1569,3,0
2342,28,10,14,2,2,1677,3,0
2370,28,4,20,4,2,1434,3,0
