# clock_hz=120,fenced=0,submitted=111,acknowledged=0,unrecorded=0,timeout=0,run_ticks=2404,startup_ticks=4,drain_ticks=2
start,interval,physics,projection,submit,fence,road_bytes,cars,mirrored
0,0,0,10,2,0,1677,6,0
12,12,4,18,8,0,1677,6,0
42,30,6,14,2,0,1569,6,0
64,22,4,14,4,0,1569,6,0
86,22,6,10,0,0,1542,6,0
102,16,4,10,2,0,1677,6,0
118,16,2,10,2,0,1542,6,0
132,14,0,12,2,0,1785,6,0
146,14,2,10,2,0,1677,6,0
160,14,4,8,2,0,1650,6,0
174,14,2,12,2,0,1785,6,0
190,16,2,12,0,0,1650,6,0
204,14,2,12,2,0,1785,6,0
220,16,2,10,2,0,1785,6,0
234,14,2,8,2,0,1650,6,0
246,12,2,8,2,0,1677,6,0
258,12,2,12,2,0,1677,6,0
274,16,4,8,2,0,1677,5,0
288,14,2,8,2,0,1677,5,0
300,12,2,8,2,0,1677,5,0
312,12,2,8,2,0,1542,5,0
324,12,2,10,4,0,1677,5,0
340,16,2,18,0,0,1569,5,0
360,20,6,16,2,0,1542,5,0
384,24,6,16,2,0,1677,5,0
408,24,6,16,2,0,1542,5,0
432,24,6,16,4,0,1569,5,0
458,26,6,16,2,0,1542,5,0
482,24,6,16,2,0,1569,5,0
506,24,6,16,4,0,1650,5,0
532,26,6,16,2,0,1785,5,0
556,24,6,14,4,0,1758,5,0
580,24,14,20,2,0,1677,5,0
616,36,6,8,4,0,1947,5,0
634,18,2,16,2,0,1731,5,0
654,20,6,16,2,0,1461,5,0
678,24,2,14,2,0,1596,5,0
696,18,6,14,4,0,1569,5,0
720,24,6,14,2,0,1677,5,0
742,22,6,14,4,0,1569,5,0
766,24,4,16,2,0,1542,5,0
790,24,4,16,2,0,1461,5,0
812,22,6,16,2,0,1326,5,0
836,24,6,14,2,0,1623,5,0
858,22,6,16,2,0,1461,5,0
882,24,6,14,4,0,1596,5,0
906,24,6,18,2,0,1677,5,0
932,26,6,14,2,0,1569,5,0
954,22,4,14,2,0,1677,5,0
974,20,6,14,4,0,1542,5,0
998,24,6,14,2,0,1461,5,0
1020,22,6,16,2,0,1353,5,0
1044,24,6,20,2,0,1623,5,0
1072,28,4,12,2,0,1353,5,0
1090,18,4,16,2,0,1488,5,0
1112,22,6,14,4,0,1353,5,0
1136,24,6,16,2,0,1461,5,0
1160,24,6,14,2,0,1353,5,0
1182,22,6,16,2,0,1353,5,0
1206,24,6,16,2,0,1110,5,0
1230,24,6,16,2,0,1245,5,0
1254,24,6,14,2,0,1353,5,0
1276,22,6,18,2,0,1110,5,0
1302,26,6,14,4,0,1245,4,0
1326,24,4,16,2,0,1353,4,0
1348,22,4,18,2,0,1110,4,0
1372,24,4,16,4,0,1245,4,0
1396,24,4,16,2,0,1461,4,0
1418,22,6,16,2,0,1353,3,0
1442,24,6,10,2,0,1353,3,0
1460,18,2,8,0,0,1218,3,0
1470,10,4,16,2,0,1461,3,0
1492,22,4,18,2,0,1326,3,0
1516,24,6,14,2,0,1461,3,0
1538,22,6,16,2,0,1677,3,0
1562,24,4,18,2,0,1434,3,0
1586,24,6,16,2,0,1677,3,0
1610,24,6,16,2,0,1785,3,0
1634,24,6,16,2,0,1542,3,0
1658,24,8,22,2,0,1677,3,0
1690,32,4,14,2,0,1785,3,0
1710,20,4,16,2,0,1650,3,0
1732,22,6,16,2,0,1677,3,0
1756,24,4,18,2,0,1785,3,0
1780,24,6,16,4,0,1650,3,0
1806,26,6,16,0,0,1569,3,0
1828,22,6,16,2,0,1542,3,0
1852,24,6,14,4,0,1569,3,0
1876,24,6,14,4,0,1542,3,0
1900,24,8,12,6,0,1569,3,0
1926,26,8,8,2,0,1542,3,0
1944,18,4,10,0,0,1569,3,0
1958,14,2,12,4,0,1569,3,0
1976,18,4,16,2,0,1434,3,0
1998,22,6,16,2,0,1569,3,0
2022,24,6,16,4,0,1677,3,0
2048,26,6,16,2,0,1704,3,0
2072,24,4,18,2,0,1542,3,0
2096,24,6,18,2,0,1785,3,0
2122,26,6,14,4,0,1677,3,0
2146,24,4,18,2,0,1812,3,0
2170,24,6,14,4,0,1704,3,0
2194,24,6,14,2,0,1839,3,0
2216,22,6,14,2,0,1731,3,0
2238,22,6,14,2,0,1569,3,0
2260,22,6,16,2,0,1596,3,0
2284,24,6,16,2,0,1434,3,0
2308,24,6,16,2,0,1461,3,0
2332,24,6,14,2,0,1434,3,0
2354,22,6,16,4,0,1677,3,0
2380,26,6,14,4,0,1434,3,0
