# clock_hz=120,fenced=1,submitted=64,acknowledged=64,unrecorded=0,timeout=0,run_ticks=256,startup_ticks=2,drain_ticks=0,workload=1,no_sky=0,no_traffic=0,mirror=0,light=0,recorded=64,pose_hash=4051303552,road_bytes=90777,fixed_bands=0
start,interval,physics,projection,submit,fence,road_bytes,cars,mirrored,geometry,bands,pose,band_count
0,0,0,0,2,2,1353,6,0,0,0,0,11
4,4,0,0,0,4,1245,6,0,0,0,1,10
8,4,0,0,2,2,1110,6,0,0,0,2,9
12,4,0,2,0,2,1353,6,0,0,2,3,11
16,4,0,0,2,2,1245,6,0,0,0,4,10
20,4,0,0,2,2,1353,6,0,0,0,5,11
24,4,0,0,0,4,1245,6,0,0,0,6,10
28,4,0,0,2,2,1110,6,0,0,0,7,9
32,4,0,0,2,2,1353,6,0,0,0,8,11
36,4,0,0,2,2,1677,6,0,0,0,9,14
40,4,0,0,2,2,1569,6,0,0,0,10,13
44,4,0,0,2,2,1461,6,0,0,0,11,12
48,4,0,2,0,2,1326,6,0,0,2,12,11
52,4,0,2,0,2,1461,6,0,0,2,13,12
56,4,0,0,2,2,1353,6,0,0,0,14,11
60,4,0,0,2,2,1569,6,0,0,0,15,13
64,4,0,2,0,2,1569,6,0,0,2,16,13
68,4,0,0,0,4,1434,6,0,0,0,17,12
72,4,0,2,0,2,1569,6,0,0,2,18,13
76,4,0,0,2,2,1245,6,0,0,0,19,10
80,4,0,0,2,2,1461,6,0,0,0,20,12
84,4,0,0,2,2,1461,6,0,0,0,21,12
88,4,0,2,0,2,1650,6,0,0,2,22,14
92,4,0,2,0,2,1677,6,0,0,2,23,14
96,4,0,0,2,2,1569,6,0,0,0,24,13
100,4,0,0,2,2,1569,6,0,0,0,25,13
104,4,0,0,0,4,1353,6,0,0,0,26,11
108,4,0,0,2,2,1218,6,0,0,0,27,10
112,4,0,0,0,4,1461,6,0,0,0,28,12
116,4,0,2,0,2,1677,6,0,0,2,29,14
120,4,0,2,0,2,1893,6,0,0,2,30,16
124,4,0,0,2,2,1245,6,0,0,0,31,10
128,4,0,2,0,2,1110,6,0,0,2,32,9
132,4,0,2,0,2,1461,6,0,0,2,33,12
136,4,0,0,2,2,1353,6,0,0,0,34,11
140,4,0,0,0,4,1569,6,0,0,0,35,13
144,4,0,0,2,2,1569,6,0,0,0,36,13
148,4,0,0,2,2,1326,6,0,0,0,37,11
152,4,0,2,0,2,1569,6,0,0,2,38,13
156,4,0,0,2,2,1461,6,0,0,0,39,12
160,4,0,0,2,2,1569,6,0,0,0,40,13
164,4,0,0,2,2,1461,6,0,0,0,41,12
168,4,0,0,2,2,1218,6,0,0,0,42,10
172,4,0,2,0,2,1569,6,0,0,2,43,13
176,4,0,0,2,2,1461,6,0,0,0,44,12
180,4,0,2,0,2,1677,6,0,0,2,45,14
184,4,0,0,2,2,1461,6,0,0,0,46,12
188,4,0,0,2,2,1326,6,0,0,0,47,11
192,4,0,2,0,2,1569,6,0,0,2,48,13
196,4,0,2,0,2,1461,6,0,0,2,49,12
200,4,0,0,2,2,1677,6,0,0,0,50,14
204,4,0,0,0,4,1569,6,0,0,0,51,13
208,4,0,0,2,2,1434,6,0,0,0,52,12
212,4,0,2,0,2,1461,6,0,0,2,53,12
216,4,0,0,2,2,1245,6,0,0,0,54,10
220,4,0,0,2,2,1353,6,0,0,0,55,11
224,4,0,0,2,2,1245,6,0,0,0,56,10
228,4,0,0,2,2,1110,6,0,0,0,57,9
232,4,0,2,0,2,1353,6,0,0,2,58,11
236,4,0,0,0,4,1245,6,0,0,0,59,10
240,4,0,0,2,2,1353,6,0,0,0,60,11
244,4,0,0,2,2,1245,6,0,0,0,61,10
248,4,0,0,2,2,1110,6,0,0,0,62,9
252,4,0,2,0,2,1353,6,0,0,2,63,11
# complete
