# clock_hz=120,fenced=1,submitted=64,acknowledged=64,unrecorded=0,timeout=0,run_ticks=256,startup_ticks=2,drain_ticks=0,workload=1,no_sky=0,no_traffic=0,mirror=0,light=0,recorded=64,pose_hash=4051303552,road_bytes=116157,fixed_bands=1
start,interval,physics,projection,submit,fence,road_bytes,cars,mirrored,geometry,bands,pose,band_count
0,0,0,0,0,4,1353,6,0,0,0,0,11
4,4,0,0,0,4,1245,6,0,0,0,1,10
8,4,0,0,0,4,1110,6,0,0,0,2,9
12,4,0,0,0,4,1353,6,0,0,0,3,11
16,4,0,0,0,4,1245,6,0,0,0,4,10
20,4,0,0,0,4,1353,6,0,0,0,5,11
24,4,0,0,0,4,1245,6,0,0,0,6,10
28,4,0,0,0,4,1110,6,0,0,0,7,9
32,4,0,0,0,4,1461,6,0,0,0,8,12
36,4,0,0,0,4,2001,6,0,0,0,9,17
40,4,0,0,2,2,2757,6,0,0,0,10,23
44,4,0,0,2,2,2838,6,0,0,0,11,24
48,4,0,0,0,4,2622,6,0,0,0,12,22
52,4,0,0,0,4,2082,6,0,0,0,13,17
56,4,0,0,0,4,1569,6,0,0,0,14,13
60,4,0,0,0,4,2028,6,0,0,0,15,17
64,4,0,0,0,4,2136,6,0,0,0,16,18
68,4,0,0,0,4,2352,6,0,0,0,17,20
72,4,0,0,0,4,2163,6,0,0,0,18,18
76,4,0,0,0,4,1380,6,0,0,0,19,11
80,4,0,0,0,4,1569,6,0,0,0,20,13
84,4,0,0,0,4,1677,6,0,0,0,21,14
88,4,0,0,0,4,1974,6,0,0,0,22,17
92,4,0,0,0,4,2649,6,0,0,0,23,22
96,4,0,0,0,4,2379,6,0,0,0,24,20
100,4,0,0,0,4,2541,6,0,0,0,25,21
104,4,0,0,0,4,2028,6,0,0,0,26,17
108,4,0,0,0,4,1488,6,0,0,0,27,12
112,4,0,0,0,4,1596,6,0,0,0,28,13
116,4,0,0,0,4,2136,6,0,0,0,29,18
120,4,0,0,2,2,2973,6,0,0,0,30,25
124,4,0,0,2,2,2406,6,0,0,0,31,20
128,4,0,0,0,4,1245,6,0,0,0,32,10
132,4,0,0,0,4,1569,6,0,0,0,33,13
136,4,0,0,0,4,1461,6,0,0,0,34,12
140,4,0,0,0,4,1812,6,0,0,0,35,15
144,4,0,0,0,4,2136,6,0,0,0,36,18
148,4,0,0,0,4,1785,6,0,0,0,37,15
152,4,0,0,0,4,2055,6,0,0,0,38,17
156,4,0,0,0,4,1920,6,0,0,0,39,16
160,4,0,0,0,4,2082,6,0,0,0,40,17
164,4,0,0,0,4,1920,6,0,0,0,41,16
168,4,0,0,0,4,1812,6,0,0,0,42,15
172,4,0,0,0,4,1920,6,0,0,0,43,16
176,4,0,0,0,4,2028,6,0,0,0,44,17
180,4,0,0,2,2,2406,6,0,0,0,45,20
184,4,0,0,0,4,1920,6,0,0,0,46,16
188,4,0,0,0,4,1677,6,0,0,0,47,14
192,4,0,0,0,4,2055,6,0,0,0,48,17
196,4,0,0,0,4,2028,6,0,0,0,49,17
200,4,0,0,0,4,2271,6,0,0,0,50,19
204,4,0,0,0,4,2379,6,0,0,0,51,20
208,4,0,0,0,4,2163,6,0,0,0,52,18
212,4,0,0,0,4,2082,6,0,0,0,53,17
216,4,0,0,0,4,1245,6,0,0,0,54,10
220,4,0,0,0,4,1353,6,0,0,0,55,11
224,4,0,0,0,4,1245,6,0,0,0,56,10
228,4,0,0,0,4,1110,6,0,0,0,57,9
232,4,0,0,0,4,1353,6,0,0,0,58,11
236,4,0,0,0,4,1245,6,0,0,0,59,10
240,4,0,0,0,4,1353,6,0,0,0,60,11
244,4,0,0,0,4,1245,6,0,0,0,61,10
248,4,0,0,0,4,1110,6,0,0,0,62,9
252,4,0,0,0,4,1353,6,0,0,0,63,11
# complete
