# clock_hz=120,fenced=1,submitted=64,acknowledged=64,unrecorded=0,timeout=0,run_ticks=256,startup_ticks=2,drain_ticks=0,workload=1,no_sky=0,no_traffic=0,mirror=0,light=0,recorded=64,pose_hash=4051303552,road_bytes=12180,fixed_bands=1
start,interval,physics,projection,submit,fence,road_bytes,cars,mirrored,geometry,bands,pose,band_count
0,0,0,0,0,4,57,6,0,0,0,0,1
4,4,0,0,0,4,57,6,0,0,0,1,1
8,4,0,0,0,4,57,6,0,0,0,2,1
12,4,0,0,0,4,57,6,0,0,0,3,1
16,4,0,0,0,4,57,6,0,0,0,4,1
20,4,0,0,0,4,57,6,0,0,0,5,1
24,4,0,0,0,4,57,6,0,0,0,6,1
28,4,0,0,0,4,57,6,0,0,0,7,1
32,4,0,0,0,4,57,6,0,0,0,8,1
36,4,0,0,0,4,246,6,0,0,0,9,8
40,4,0,0,0,4,435,6,0,0,0,10,15
44,4,0,0,0,4,435,6,0,0,0,11,15
48,4,0,0,0,4,435,6,0,0,0,12,15
52,4,0,0,0,4,219,6,0,0,0,13,7
56,4,0,0,0,4,111,6,0,0,0,14,3
60,4,0,0,0,4,192,6,0,0,0,15,6
64,4,0,0,0,4,273,6,0,0,0,16,9
68,4,0,0,0,4,327,6,0,0,0,17,11
72,4,0,0,0,4,273,6,0,0,0,18,9
76,4,0,0,0,4,138,6,0,0,0,19,4
80,4,0,0,0,4,138,6,0,0,0,20,4
84,4,0,0,0,4,165,6,0,0,0,21,5
88,4,0,0,0,4,246,6,0,0,0,22,8
92,4,0,0,0,4,408,6,0,0,0,23,14
96,4,0,0,0,4,408,6,0,0,0,24,14
100,4,0,0,0,4,381,6,0,0,0,25,13
104,4,0,0,0,4,219,6,0,0,0,26,7
108,4,0,0,0,4,138,6,0,0,0,27,4
112,4,0,0,0,4,111,6,0,0,0,28,3
116,4,0,0,0,4,246,6,0,0,0,29,8
120,4,0,0,0,4,462,6,0,0,0,30,16
124,4,0,0,0,4,354,6,0,0,0,31,12
128,4,0,0,0,4,111,6,0,0,0,32,3
132,4,0,0,0,4,84,6,0,0,0,33,2
136,4,0,0,0,4,111,6,0,0,0,34,3
140,4,0,0,0,4,165,6,0,0,0,35,5
144,4,0,0,0,4,246,6,0,0,0,36,8
148,4,0,0,0,4,246,6,0,0,0,37,8
152,4,0,0,0,4,246,6,0,0,0,38,8
156,4,0,0,0,4,192,6,0,0,0,39,6
160,4,0,0,0,4,192,6,0,0,0,40,6
164,4,0,0,0,4,219,6,0,0,0,41,7
168,4,0,0,0,4,192,6,0,0,0,42,6
172,4,0,0,0,4,165,6,0,0,0,43,5
176,4,0,0,0,4,219,6,0,0,0,44,7
180,4,0,0,0,4,273,6,0,0,0,45,9
184,4,0,0,0,4,246,6,0,0,0,46,8
188,4,0,0,0,4,192,6,0,0,0,47,6
192,4,0,0,0,4,192,6,0,0,0,48,6
196,4,0,0,0,4,219,6,0,0,0,49,7
200,4,0,0,0,4,273,6,0,0,0,50,9
204,4,0,0,0,4,327,6,0,0,0,51,11
208,4,0,0,0,4,354,6,0,0,0,52,12
212,4,0,0,0,4,273,6,0,0,0,53,9
216,4,0,0,0,4,57,6,0,0,0,54,1
220,4,0,0,0,4,57,6,0,0,0,55,1
224,4,0,0,0,4,57,6,0,0,0,56,1
228,4,0,0,0,4,57,6,0,0,0,57,1
232,4,0,0,0,4,57,6,0,0,0,58,1
236,4,0,0,0,4,57,6,0,0,0,59,1
240,4,0,0,0,4,57,6,0,0,0,60,1
244,4,0,0,0,4,57,6,0,0,0,61,1
248,4,0,0,0,4,57,6,0,0,0,62,1
252,4,0,0,0,4,57,6,0,0,0,63,1
# complete
