# clock_hz=120,fenced=1,submitted=64,acknowledged=64,unrecorded=0,timeout=0,run_ticks=256,startup_ticks=2,drain_ticks=0,workload=1,no_sky=0,no_traffic=0,mirror=0,light=0,recorded=64,pose_hash=1844998336,road_bytes=145992,fixed_bands=1
start,interval,physics,projection,submit,fence,road_bytes,cars,mirrored,geometry,bands,pose,band_count
0,0,0,0,0,4,2055,6,0,0,0,0,17
4,4,0,0,0,4,2244,6,0,0,0,1,19
8,4,0,0,0,4,2271,6,0,0,0,2,19
12,4,0,0,0,4,2244,6,0,0,0,3,19
16,4,0,0,0,4,2028,6,0,0,0,4,17
20,4,0,0,0,4,2568,6,0,0,0,5,22
24,4,0,0,2,2,2703,6,0,0,0,6,23
28,4,0,0,2,2,2595,6,0,0,0,7,22
32,4,0,0,2,2,2865,6,0,0,0,8,24
36,4,0,0,2,2,2865,6,0,0,0,9,24
40,4,0,0,0,4,2541,6,0,0,0,10,21
44,4,0,0,2,2,2730,6,0,0,0,11,23
48,4,0,0,2,2,3297,6,0,0,0,12,27
52,4,0,0,2,2,2865,6,0,0,0,13,24
56,4,0,0,0,4,2595,6,0,0,0,14,22
60,4,0,0,0,4,2568,6,0,0,0,15,21
64,4,0,0,2,2,2892,6,0,0,0,16,24
68,4,0,0,2,2,2973,6,0,0,0,17,25
72,4,0,0,2,2,2460,6,0,0,0,18,20
76,4,0,0,2,2,2730,6,0,0,0,19,22
80,4,0,0,0,4,2163,6,0,0,0,20,18
84,4,0,0,0,4,2163,6,0,0,0,21,18
88,4,0,0,0,4,1704,6,0,0,0,22,14
92,4,0,0,0,4,1704,6,0,0,0,23,14
96,4,0,0,0,4,1839,6,0,0,0,24,15
100,4,0,0,0,4,1488,6,0,0,0,25,12
104,4,0,0,0,4,1245,6,0,0,0,26,10
108,4,0,0,0,4,1245,6,0,0,0,27,10
112,4,0,0,0,4,1353,6,0,0,0,28,11
116,4,0,0,0,4,1461,6,0,0,0,29,12
120,4,0,0,0,4,1434,6,0,0,0,30,12
124,4,0,0,0,4,1434,6,0,0,0,31,12
128,4,0,0,0,4,1893,6,0,0,0,32,16
132,4,0,0,0,4,2001,6,0,0,0,33,17
136,4,0,0,0,4,2028,6,0,0,0,34,17
140,4,0,0,0,4,2028,6,0,0,0,35,17
144,4,0,0,0,4,2568,6,0,0,0,36,22
148,4,0,0,0,4,2460,6,0,0,0,37,21
152,4,0,0,0,4,2460,6,0,0,0,38,21
156,4,0,0,2,2,2622,6,0,0,0,39,22
160,4,0,0,2,2,3000,6,0,0,0,40,25
164,4,0,0,2,2,2757,6,0,0,0,41,23
168,4,0,0,2,2,2622,6,0,0,0,42,22
172,4,0,0,0,4,2892,6,0,0,0,43,24
176,4,0,0,2,2,2838,6,0,0,0,44,23
180,4,0,0,2,2,2649,6,0,0,0,45,22
184,4,0,0,2,2,2838,6,0,0,0,46,24
188,4,0,0,2,2,2568,6,0,0,0,47,21
192,4,0,0,2,2,2649,6,0,0,0,48,22
196,4,0,0,2,2,2973,6,0,0,0,49,25
200,4,0,0,2,2,2541,6,0,0,0,50,21
204,4,0,0,2,2,2568,6,0,0,0,51,21
208,4,0,0,0,4,1920,6,0,0,0,52,16
212,4,0,0,0,4,2298,6,0,0,0,53,19
216,4,0,0,0,4,2055,6,0,0,0,54,17
220,4,0,0,0,4,1920,6,0,0,0,55,16
224,4,0,0,0,4,2055,6,0,0,0,56,17
228,4,0,0,0,4,1920,6,0,0,0,57,16
232,4,0,0,0,4,1893,6,0,0,0,58,16
236,4,0,0,0,4,1839,6,0,0,0,59,15
240,4,0,0,0,4,1920,6,0,0,0,60,16
244,4,0,0,0,4,1947,6,0,0,0,61,16
248,4,0,0,0,4,1920,6,0,0,0,62,16
252,4,0,0,0,4,2028,6,0,0,0,63,17
# complete
