# clock_hz=120,fenced=1,submitted=64,acknowledged=64,unrecorded=0,timeout=0,run_ticks=256,startup_ticks=2,drain_ticks=0,workload=1,no_sky=0,no_traffic=0,mirror=0,light=0,recorded=64,pose_hash=1844998336,road_bytes=20820,fixed_bands=1
start,interval,physics,projection,submit,fence,road_bytes,cars,mirrored,geometry,bands,pose,band_count
0,0,0,0,0,4,246,6,0,0,0,0,8
4,4,0,0,0,4,273,6,0,0,0,1,9
8,4,0,0,0,4,300,6,0,0,0,2,10
12,4,0,0,0,4,300,6,0,0,0,3,10
16,4,0,0,0,4,300,6,0,0,0,4,10
20,4,0,0,0,4,381,6,0,0,0,5,13
24,4,0,0,0,4,462,6,0,0,0,6,16
28,4,0,0,0,4,462,6,0,0,0,7,16
32,4,0,0,0,4,435,6,0,0,0,8,15
36,4,0,0,0,4,489,6,0,0,0,9,17
40,4,0,0,0,4,408,6,0,0,0,10,14
44,4,0,0,0,4,462,6,0,0,0,11,16
48,4,0,0,0,4,543,6,0,0,0,12,19
52,4,0,0,0,4,435,6,0,0,0,13,15
56,4,0,0,0,4,435,6,0,0,0,14,15
60,4,0,0,0,4,435,6,0,0,0,15,15
64,4,0,0,0,4,462,6,0,0,0,16,16
68,4,0,0,0,4,516,6,0,0,0,17,18
72,4,0,0,0,4,408,6,0,0,0,18,14
76,4,0,0,0,4,408,6,0,0,0,19,14
80,4,0,0,0,4,300,6,0,0,0,20,10
84,4,0,0,0,4,273,6,0,0,0,21,9
88,4,0,0,0,4,246,6,0,0,0,22,8
92,4,0,0,0,4,192,6,0,0,0,23,6
96,4,0,0,0,4,165,6,0,0,0,24,5
100,4,0,0,0,4,84,6,0,0,0,25,2
104,4,0,0,0,4,57,6,0,0,0,26,1
108,4,0,0,0,4,57,6,0,0,0,27,1
112,4,0,0,0,4,84,6,0,0,0,28,2
116,4,0,0,0,4,111,6,0,0,0,29,3
120,4,0,0,0,4,138,6,0,0,0,30,4
124,4,0,0,0,4,138,6,0,0,0,31,4
128,4,0,0,0,4,192,6,0,0,0,32,6
132,4,0,0,0,4,219,6,0,0,0,33,7
136,4,0,0,0,4,246,6,0,0,0,34,8
140,4,0,0,0,4,300,6,0,0,0,35,10
144,4,0,0,0,4,381,6,0,0,0,36,13
148,4,0,0,0,4,408,6,0,0,0,37,14
152,4,0,0,0,4,408,6,0,0,0,38,14
156,4,0,0,0,4,462,6,0,0,0,39,16
160,4,0,0,0,4,462,6,0,0,0,40,16
164,4,0,0,0,4,462,6,0,0,0,41,16
168,4,0,0,0,4,462,6,0,0,0,42,16
172,4,0,0,0,4,462,6,0,0,0,43,16
176,4,0,0,0,4,489,6,0,0,0,44,17
180,4,0,0,0,4,381,6,0,0,0,45,13
184,4,0,0,0,4,462,6,0,0,0,46,16
188,4,0,0,0,4,381,6,0,0,0,47,13
192,4,0,0,0,4,408,6,0,0,0,48,14
196,4,0,0,0,4,462,6,0,0,0,49,16
200,4,0,0,0,4,381,6,0,0,0,50,13
204,4,0,0,0,4,354,6,0,0,0,51,12
208,4,0,0,0,4,273,6,0,0,0,52,9
212,4,0,0,0,4,300,6,0,0,0,53,10
216,4,0,0,0,4,273,6,0,0,0,54,9
220,4,0,0,0,4,246,6,0,0,0,55,8
224,4,0,0,0,4,246,6,0,0,0,56,8
228,4,0,0,0,4,219,6,0,0,0,57,7
232,4,0,0,0,4,219,6,0,0,0,58,7
236,4,0,0,0,4,219,6,0,0,0,59,7
240,4,0,0,0,4,246,6,0,0,0,60,8
244,4,0,0,0,4,273,6,0,0,0,61,9
248,4,0,0,0,4,246,6,0,0,0,62,8
252,4,0,0,0,4,273,6,0,0,0,63,9
# complete
