# clock_hz=120,fenced=1,submitted=64,acknowledged=64,unrecorded=0,timeout=0,run_ticks=872,startup_ticks=2,drain_ticks=0,workload=1,no_sky=0,no_traffic=0,mirror=0,light=0,recorded=64,pose_hash=4051303552,road_bytes=116157,fixed_bands=1
start,interval,physics,projection,submit,fence,road_bytes,cars,mirrored,geometry,bands,pose,band_count
0,0,0,8,2,2,1353,6,0,4,4,0,11
12,12,0,8,2,2,1245,6,0,4,4,1,10
24,12,0,8,2,2,1110,6,0,6,2,2,9
36,12,0,8,2,2,1353,6,0,4,4,3,11
48,12,0,8,2,2,1245,6,0,4,4,4,10
60,12,0,8,2,2,1353,6,0,4,4,5,11
72,12,0,8,2,2,1245,6,0,6,2,6,10
84,12,0,8,2,2,1110,6,0,6,2,7,9
96,12,0,8,2,2,1461,6,0,6,2,8,12
108,12,0,10,2,2,2001,6,0,6,4,9,17
122,14,0,10,4,2,2757,6,0,6,4,10,23
138,16,0,10,4,2,2838,6,0,4,6,11,24
154,16,0,10,4,2,2622,6,0,6,4,12,22
170,16,0,8,4,2,2082,6,0,4,4,13,17
184,14,0,8,4,2,1569,6,0,6,2,14,13
198,14,0,8,4,2,2028,6,0,4,4,15,17
212,14,0,10,2,2,2136,6,0,6,4,16,18
226,14,0,10,4,2,2352,6,0,6,4,17,20
242,16,0,10,4,2,2163,6,0,6,4,18,18
258,16,0,8,2,2,1380,6,0,6,2,19,11
270,12,0,8,4,2,1569,6,0,6,2,20,13
284,14,0,8,4,2,1677,6,0,6,2,21,14
298,14,0,8,4,2,1974,6,0,4,4,22,17
312,14,0,10,4,2,2649,6,0,4,6,23,22
328,16,0,10,4,2,2379,6,0,6,4,24,20
344,16,0,10,4,2,2541,6,0,4,6,25,21
360,16,0,8,4,2,2028,6,0,6,2,26,17
374,14,0,8,2,2,1488,6,0,4,4,27,12
386,12,0,8,2,2,1596,6,0,6,2,28,13
398,12,0,10,2,2,2136,6,0,6,4,29,18
412,14,0,10,6,2,2973,6,0,6,4,30,25
430,18,0,10,4,2,2406,6,0,6,4,31,20
446,16,0,8,2,2,1245,6,0,6,2,32,10
458,12,0,8,2,2,1569,6,0,6,2,33,13
470,12,0,8,2,2,1461,6,0,6,2,34,12
482,12,0,10,2,2,1812,6,0,6,4,35,15
496,14,0,10,2,2,2136,6,0,6,4,36,18
510,14,0,8,4,2,1785,6,0,4,4,37,15
524,14,0,10,2,2,2055,6,0,4,6,38,17
538,14,0,8,4,2,1920,6,0,6,2,39,16
552,14,0,10,2,2,2082,6,0,4,6,40,17
566,14,0,10,2,2,1920,6,0,6,4,41,16
580,14,0,8,4,2,1812,6,0,6,2,42,15
594,14,0,8,4,2,1920,6,0,6,2,43,16
608,14,0,10,2,2,2028,6,0,6,4,44,17
622,14,0,10,4,2,2406,6,0,4,6,45,20
638,16,0,8,4,2,1920,6,0,6,2,46,16
652,14,0,8,2,2,1677,6,0,6,2,47,14
664,12,0,10,2,2,2055,6,0,6,4,48,17
678,14,0,10,2,2,2028,6,0,4,6,49,17
692,14,0,10,4,2,2271,6,0,6,4,50,19
708,16,0,10,4,2,2379,6,0,6,4,51,20
724,16,0,10,2,2,2163,6,0,4,6,52,18
738,14,0,10,2,2,2082,6,0,6,4,53,17
752,14,0,8,2,2,1245,6,0,4,4,54,10
764,12,0,8,2,2,1353,6,0,6,2,55,11
776,12,0,8,2,2,1245,6,0,6,2,56,10
788,12,0,8,2,2,1110,6,0,4,4,57,9
800,12,0,8,2,2,1353,6,0,4,4,58,11
812,12,0,8,2,2,1245,6,0,6,2,59,10
824,12,0,8,2,2,1353,6,0,4,4,60,11
836,12,0,8,2,2,1245,6,0,6,2,61,10
848,12,0,8,2,2,1110,6,0,6,2,62,9
860,12,0,8,2,2,1353,6,0,6,2,63,11
# complete
