# clock_hz=120,fenced=1,submitted=64,acknowledged=64,unrecorded=0,timeout=0,run_ticks=1268,startup_ticks=2,drain_ticks=0,workload=1,no_sky=0,no_traffic=0,mirror=0,light=0,recorded=64,pose_hash=4051303552,road_bytes=90777,fixed_bands=0
start,interval,physics,projection,submit,fence,road_bytes,cars,mirrored,geometry,bands,pose,band_count
0,0,0,14,2,2,1353,6,0,6,8,0,11
18,18,0,16,0,2,1245,6,0,6,10,1,10
36,18,0,16,2,2,1110,6,0,6,10,2,9
56,20,0,16,2,2,1353,6,0,4,12,3,11
76,20,0,14,2,2,1245,6,0,6,8,4,10
94,18,0,14,2,2,1353,6,0,6,8,5,11
112,18,0,14,2,2,1245,6,0,6,8,6,10
130,18,0,16,2,2,1110,6,0,4,12,7,9
150,20,0,16,2,2,1353,6,0,6,10,8,11
170,20,0,14,4,2,1677,6,0,6,8,9,14
190,20,0,14,4,2,1569,6,0,4,10,10,13
210,20,0,14,4,2,1461,6,0,4,10,11,12
230,20,0,16,2,2,1326,6,0,6,10,12,11
250,20,0,16,4,2,1461,6,0,6,10,13,12
272,22,0,14,4,2,1353,6,0,6,8,14,11
292,20,0,14,2,4,1569,6,0,4,10,15,13
312,20,0,14,4,2,1569,6,0,6,8,16,13
332,20,0,16,2,2,1434,6,0,6,10,17,12
352,20,0,16,4,2,1569,6,0,6,10,18,13
374,22,0,14,2,2,1245,6,0,6,8,19,10
392,18,0,14,2,2,1461,6,0,6,8,20,12
410,18,0,14,2,2,1461,6,0,6,8,21,12
428,18,0,16,4,2,1650,6,0,6,10,22,14
450,22,0,16,4,2,1677,6,0,6,10,23,14
472,22,0,16,2,2,1569,6,0,6,10,24,13
492,20,0,14,4,2,1569,6,0,6,8,25,13
512,20,0,14,2,2,1353,6,0,6,8,26,11
530,18,0,16,2,2,1218,6,0,6,10,27,10
550,20,0,16,2,2,1461,6,0,6,10,28,12
570,20,0,16,2,2,1677,6,0,6,10,29,14
590,20,0,14,4,2,1893,6,0,6,8,30,16
610,20,0,14,4,2,1245,6,0,6,8,31,10
630,20,0,16,2,2,1110,6,0,6,10,32,9
650,20,0,16,4,2,1461,6,0,6,10,33,12
672,22,0,14,4,2,1353,6,0,6,8,34,11
692,20,0,14,4,2,1569,6,0,6,8,35,13
712,20,0,16,2,2,1569,6,0,6,10,36,13
732,20,0,16,2,2,1326,6,0,6,10,37,11
752,20,0,16,4,2,1569,6,0,4,12,38,13
774,22,0,14,4,2,1461,6,0,6,8,39,12
794,20,0,14,4,2,1569,6,0,6,8,40,13
814,20,0,14,4,2,1461,6,0,4,10,41,12
834,20,0,14,4,2,1218,6,0,4,10,42,10
854,20,0,16,4,2,1569,6,0,6,10,43,13
876,22,0,14,2,2,1461,6,0,4,10,44,12
894,18,0,14,4,2,1677,6,0,4,10,45,14
914,20,0,14,4,2,1461,6,0,4,10,46,12
934,20,0,16,2,2,1326,6,0,4,12,47,11
954,20,0,16,4,2,1569,6,0,4,12,48,13
976,22,0,14,4,2,1461,6,0,6,8,49,12
996,20,0,14,4,2,1677,6,0,6,8,50,14
1016,20,0,14,4,2,1569,6,0,6,8,51,13
1036,20,0,16,2,2,1434,6,0,6,10,52,12
1056,20,0,16,2,2,1461,6,0,4,12,53,12
1076,20,0,14,2,2,1245,6,0,6,8,54,10
1094,18,0,14,2,2,1353,6,0,4,10,55,11
1112,18,0,14,2,2,1245,6,0,4,10,56,10
1130,18,0,16,2,2,1110,6,0,6,10,57,9
1150,20,0,16,4,2,1353,6,0,6,10,58,11
1172,22,0,14,2,2,1245,6,0,6,8,59,10
1190,18,0,14,2,2,1353,6,0,6,8,60,11
1208,18,0,14,4,2,1245,6,0,6,8,61,10
1228,20,0,16,2,2,1110,6,0,6,10,62,9
1248,20,0,16,2,2,1353,6,0,6,10,63,11
# complete
