# clock_hz=120,fenced=1,submitted=64,acknowledged=64,unrecorded=0,timeout=0,run_ticks=974,startup_ticks=2,drain_ticks=0,workload=1,no_sky=0,no_traffic=0,mirror=0,light=0,recorded=64,pose_hash=1844998336,road_bytes=150501,fixed_bands=1
start,interval,physics,projection,submit,fence,road_bytes,cars,mirrored,geometry,bands,pose,band_count
0,0,0,10,4,2,2163,6,0,6,4,0,18
16,16,0,10,4,2,2352,6,0,6,4,1,20
32,16,0,10,4,2,2379,6,0,6,4,2,20
48,16,0,10,4,2,2352,6,0,6,4,3,20
64,16,0,10,2,2,2136,6,0,6,4,4,18
78,14,0,10,4,2,2568,6,0,6,4,5,22
94,16,0,10,4,2,2703,6,0,6,4,6,23
110,16,0,10,4,2,2703,6,0,6,4,7,23
126,16,0,12,4,2,2973,6,0,6,6,8,25
144,18,0,12,4,2,2973,6,0,6,6,9,25
162,18,0,10,4,2,2649,6,0,6,4,10,22
178,16,0,10,4,2,2838,6,0,6,4,11,24
194,16,0,12,4,2,3405,6,0,6,6,12,28
212,18,0,12,4,2,2973,6,0,6,6,13,25
230,18,0,10,4,2,2595,6,0,6,4,14,22
246,16,0,10,4,2,2568,6,0,6,4,15,21
262,16,0,10,4,2,2892,6,0,6,4,16,24
278,16,0,12,4,2,2973,6,0,6,6,17,25
296,18,0,10,4,2,2460,6,0,6,4,18,20
312,16,0,10,4,2,2730,6,0,6,4,19,22
328,16,0,10,2,2,2163,6,0,6,4,20,18
342,14,0,10,2,2,2163,6,0,6,4,21,18
356,14,0,8,4,2,1704,6,0,6,2,22,14
370,14,0,8,4,2,1704,6,0,6,2,23,14
384,14,0,8,4,2,1839,6,0,6,2,24,15
398,14,0,8,2,2,1488,6,0,6,2,25,12
410,12,0,8,2,2,1353,6,0,6,2,26,11
422,12,0,8,2,2,1353,6,0,6,2,27,11
434,12,0,8,2,2,1461,6,0,6,2,28,12
446,12,0,8,4,2,1569,6,0,4,4,29,13
460,14,0,8,4,2,1542,6,0,6,2,30,13
474,14,0,8,2,2,1542,6,0,6,2,31,13
486,12,0,10,2,2,2001,6,0,6,4,32,17
500,14,0,10,2,2,2109,6,0,4,6,33,18
514,14,0,10,2,2,2136,6,0,6,4,34,18
528,14,0,10,2,2,2136,6,0,4,6,35,18
542,14,0,10,4,2,2568,6,0,4,6,36,22
558,16,0,10,4,2,2460,6,0,6,4,37,21
574,16,0,10,4,2,2568,6,0,6,4,38,22
590,16,0,10,4,2,2730,6,0,6,4,39,23
606,16,0,12,4,2,3108,6,0,6,6,40,26
624,18,0,10,4,2,2865,6,0,6,4,41,24
640,16,0,10,4,2,2730,6,0,6,4,42,23
656,16,0,12,4,2,3000,6,0,6,6,43,25
674,18,0,10,4,2,2946,6,0,4,6,44,24
690,16,0,10,4,2,2757,6,0,6,4,45,23
706,16,0,10,4,2,2838,6,0,6,4,46,24
722,16,0,10,4,2,2568,6,0,6,4,47,21
738,16,0,10,4,2,2649,6,0,6,4,48,22
754,16,0,10,4,2,2838,6,0,6,4,49,24
770,16,0,10,4,2,2649,6,0,6,4,50,22
786,16,0,10,4,2,2568,6,0,6,4,51,21
802,16,0,10,2,2,2028,6,0,6,4,52,17
816,14,0,10,4,2,2406,6,0,6,4,53,20
832,16,0,10,2,2,2163,6,0,6,4,54,18
846,14,0,10,2,2,2028,6,0,6,4,55,17
860,14,0,10,4,2,2271,6,0,6,4,56,19
876,16,0,10,2,2,2001,6,0,6,4,57,17
890,14,0,8,4,2,1893,6,0,6,2,58,16
904,14,0,10,2,2,1974,6,0,6,4,59,16
918,14,0,10,2,2,2028,6,0,6,4,60,17
932,14,0,10,2,2,2055,6,0,6,4,61,17
946,14,0,10,2,2,2028,6,0,6,4,62,17
960,14,0,10,2,2,2136,6,0,6,4,63,18
# complete
