# clock_hz=120,fenced=1,submitted=64,acknowledged=64,unrecorded=0,timeout=0,run_ticks=1258,startup_ticks=4,drain_ticks=0,workload=1,no_sky=1,no_traffic=0,mirror=0,light=0,recorded=64,pose_hash=1844998336,road_bytes=98931
start,interval,physics,projection,submit,fence,road_bytes,cars,mirrored,geometry,bands,pose,band_count
0,0,0,14,4,2,1677,6,0,6,8,0,14
20,20,0,16,2,2,1785,6,0,6,10,1,15
40,20,0,16,4,2,1677,6,0,6,10,2,14
62,22,0,16,2,2,1785,6,0,6,10,3,15
82,20,0,14,4,2,1677,6,0,6,8,4,14
102,20,0,14,4,2,1677,6,0,6,8,5,14
122,20,0,16,4,2,1542,6,0,6,10,6,13
144,22,0,14,4,2,1542,6,0,6,8,7,13
164,20,0,16,2,2,1785,6,0,6,10,8,15
184,20,0,14,4,2,1812,6,0,6,8,9,15
204,20,0,16,2,2,1785,6,0,6,10,10,15
224,20,0,14,4,2,1677,6,0,6,8,11,14
244,20,0,14,2,2,1731,6,0,6,8,12,14
262,18,0,16,2,2,1461,6,0,6,10,13,12
282,20,0,14,2,2,1434,6,0,6,8,14,12
300,18,0,14,4,2,1326,6,0,6,8,15,11
320,20,0,14,2,2,1596,6,0,6,8,16,13
338,18,0,16,2,2,1677,6,0,6,10,17,14
358,20,0,16,2,2,1461,6,0,6,10,18,12
378,20,0,14,2,2,1623,6,0,6,8,19,13
396,18,0,14,2,2,1353,6,0,6,8,20,11
414,18,0,14,2,2,1353,6,0,6,8,21,11
432,18,0,16,2,2,1218,6,0,6,10,22,10
452,20,0,14,4,2,1110,6,0,6,8,23,9
472,20,0,14,4,2,1353,6,0,6,8,24,11
492,20,0,14,4,2,1353,6,0,6,8,25,11
512,20,0,16,2,2,1245,6,0,6,10,26,10
532,20,0,16,2,2,1353,6,0,6,10,27,11
552,20,0,14,2,2,1353,6,0,4,10,28,11
570,18,0,14,4,2,1461,6,0,4,10,29,12
590,20,0,16,2,2,1326,6,0,4,12,30,11
610,20,0,16,2,2,1434,6,0,6,10,31,12
630,20,0,16,2,2,1785,6,0,6,10,32,15
650,20,0,16,2,2,1785,6,0,6,10,33,15
670,20,0,16,4,2,1785,6,0,4,12,34,15
692,22,0,14,4,2,1677,6,0,4,10,35,14
712,20,0,14,4,2,1677,6,0,6,8,36,14
732,20,0,14,4,2,1677,6,0,6,8,37,14
752,20,0,16,2,2,1434,6,0,6,10,38,12
772,20,0,14,4,2,1542,6,0,6,8,39,13
792,20,0,14,4,2,1677,6,0,6,8,40,14
812,20,0,14,2,2,1812,6,0,6,8,41,15
830,18,0,16,2,2,1677,6,0,6,10,42,14
850,20,0,14,4,2,1569,6,0,6,8,43,13
870,20,0,14,2,2,1731,6,0,6,8,44,14
888,18,0,14,4,2,1461,6,0,4,10,45,12
908,20,0,12,4,2,1434,6,0,4,8,46,12
926,18,0,14,4,2,1461,6,0,6,8,47,12
946,20,0,12,4,2,1596,6,0,6,6,48,13
964,18,0,14,4,2,1677,6,0,6,8,49,14
984,20,0,16,2,2,1569,6,0,6,10,50,13
1004,20,0,14,2,2,1731,6,0,6,8,51,14
1022,18,0,14,4,2,1461,6,0,6,8,52,12
1042,20,0,14,4,2,1569,6,0,6,8,53,13
1062,20,0,16,2,2,1326,6,0,6,10,54,11
1082,20,0,14,2,2,1326,6,0,6,8,55,11
1100,18,0,14,4,2,1569,6,0,6,8,56,13
1120,20,0,16,2,2,1569,6,0,6,10,57,13
1140,20,0,16,2,2,1461,6,0,6,10,58,12
1160,20,0,14,4,2,1461,6,0,6,8,59,12
1180,20,0,14,2,2,1461,6,0,6,8,60,12
1198,18,0,16,2,2,1461,6,0,6,10,61,12
1218,20,0,16,2,2,1434,6,0,6,10,62,12
1238,20,0,14,4,2,1434,6,0,6,8,63,12
# complete
