# clock_hz=120,fenced=1,submitted=64,acknowledged=64,unrecorded=0,timeout=0,run_ticks=1180,startup_ticks=2,drain_ticks=0,workload=1,no_sky=0,no_traffic=1,mirror=0,light=0,recorded=64,pose_hash=1844998336,road_bytes=98931
start,interval,physics,projection,submit,fence,road_bytes,cars,mirrored,geometry,bands,pose,band_count
0,0,0,14,2,2,1677,0,0,6,8,0,14
18,18,0,16,0,2,1785,0,0,6,10,1,15
36,18,0,16,2,2,1677,0,0,6,10,2,14
56,20,0,16,2,2,1785,0,0,6,10,3,15
76,20,0,16,0,2,1677,0,0,6,10,4,14
94,18,0,16,2,2,1677,0,0,6,10,5,14
114,20,0,16,2,2,1542,0,0,6,10,6,13
134,20,0,14,2,2,1542,0,0,6,8,7,13
152,18,0,14,4,2,1785,0,0,6,8,8,15
172,20,0,14,2,2,1812,0,0,6,8,9,15
190,18,0,16,2,2,1785,0,0,6,10,10,15
210,20,0,14,2,2,1677,0,0,6,8,11,14
228,18,0,14,2,2,1731,0,0,6,8,12,14
246,18,0,16,0,2,1461,0,0,6,10,13,12
264,18,0,14,0,2,1434,0,0,6,8,14,12
280,16,0,16,0,2,1326,0,0,6,10,15,11
298,18,0,14,2,2,1596,0,0,6,8,16,13
316,18,0,16,0,2,1677,0,0,6,10,17,14
334,18,0,16,2,2,1461,0,0,6,10,18,12
354,20,0,14,2,2,1623,0,0,6,8,19,13
372,18,0,14,2,2,1353,0,0,6,8,20,11
390,18,0,12,2,2,1353,0,0,6,6,21,11
406,16,0,16,0,2,1218,0,0,6,10,22,10
424,18,0,16,0,2,1110,0,0,6,10,23,9
442,18,0,14,2,2,1353,0,0,6,8,24,11
460,18,0,16,0,2,1353,0,0,6,10,25,11
478,18,0,16,2,2,1245,0,0,6,10,26,10
498,20,0,14,2,2,1353,0,0,6,8,27,11
516,18,0,14,2,2,1353,0,0,6,8,28,11
534,18,0,14,2,2,1461,0,0,4,10,29,12
552,18,0,16,2,2,1326,0,0,6,10,30,11
572,20,0,14,2,2,1434,0,0,4,10,31,12
590,18,0,14,2,2,1785,0,0,4,10,32,15
608,18,0,16,2,2,1785,0,0,4,12,33,15
628,20,0,16,2,2,1785,0,0,6,10,34,15
648,20,0,16,2,2,1677,0,0,6,10,35,14
668,20,0,14,2,2,1677,0,0,4,10,36,14
686,18,0,14,2,2,1677,0,0,6,8,37,14
704,18,0,16,2,2,1434,0,0,6,10,38,12
724,20,0,14,2,2,1542,0,0,6,8,39,13
742,18,0,16,0,2,1677,0,0,6,10,40,14
760,18,0,14,2,2,1812,0,0,6,8,41,15
778,18,0,16,2,2,1677,0,0,6,10,42,14
798,20,0,14,2,2,1569,0,0,6,8,43,13
816,18,0,14,2,2,1731,0,0,6,8,44,14
834,18,0,14,2,2,1461,0,0,6,8,45,12
852,18,0,14,0,2,1434,0,0,6,8,46,12
868,16,0,14,2,2,1461,0,0,6,8,47,12
886,18,0,14,0,2,1596,0,0,6,8,48,13
902,16,0,16,0,2,1677,0,0,6,10,49,14
920,18,0,16,2,2,1569,0,0,6,10,50,13
940,20,0,14,2,2,1731,0,0,6,8,51,14
958,18,0,14,2,2,1461,0,0,6,8,52,12
976,18,0,14,2,2,1569,0,0,6,8,53,13
994,18,0,16,2,2,1326,0,0,6,10,54,11
1014,20,0,14,2,2,1326,0,0,6,8,55,11
1032,18,0,14,2,2,1569,0,0,6,8,56,13
1050,18,0,14,2,2,1569,0,0,6,8,57,13
1068,18,0,16,2,2,1461,0,0,6,10,58,12
1088,20,0,14,2,2,1461,0,0,6,8,59,12
1106,18,0,14,2,2,1461,0,0,6,8,60,12
1124,18,0,14,2,2,1461,0,0,6,8,61,12
1142,18,0,16,2,2,1434,0,0,6,10,62,12
1162,20,0,14,2,2,1434,0,0,6,8,63,12
# complete
