# clock_hz=120,fenced=1,submitted=64,acknowledged=64,unrecorded=0,timeout=0,run_ticks=864,startup_ticks=2,drain_ticks=0,workload=1,no_sky=0,no_traffic=0,mirror=0,light=0,recorded=64,pose_hash=4051303552,road_bytes=112809,fixed_bands=1
start,interval,physics,projection,submit,fence,road_bytes,cars,mirrored,geometry,bands,pose,band_count
0,0,0,8,2,2,1353,6,0,6,2,0,11
12,12,0,8,2,2,1245,6,0,6,2,1,10
24,12,0,8,2,2,1110,6,0,6,2,2,9
36,12,0,8,2,2,1353,6,0,6,2,3,11
48,12,0,8,2,2,1245,6,0,6,2,4,10
60,12,0,8,2,2,1353,6,0,6,2,5,11
72,12,0,8,2,2,1245,6,0,6,2,6,10
84,12,0,8,2,2,1110,6,0,6,2,7,9
96,12,0,8,2,2,1353,6,0,6,2,8,11
108,12,0,8,4,2,1893,6,0,4,4,9,16
122,14,0,10,4,2,2649,6,0,4,6,10,22
138,16,0,10,4,2,2730,6,0,6,4,11,23
154,16,0,10,4,2,2622,6,0,4,6,12,22
170,16,0,8,4,2,2082,6,0,4,4,13,17
184,14,0,8,2,2,1461,6,0,6,2,14,12
196,12,0,8,4,2,1920,6,0,6,2,15,16
210,14,0,10,2,2,2028,6,0,4,6,16,17
224,14,0,10,4,2,2163,6,0,6,4,17,18
240,16,0,10,2,2,2163,6,0,4,6,18,18
254,14,0,8,4,2,1569,6,0,6,2,19,13
268,14,0,8,4,2,1569,6,0,4,4,20,13
282,14,0,8,2,2,1569,6,0,6,2,21,13
294,12,0,8,4,2,1866,6,0,6,2,22,16
308,14,0,10,4,2,2649,6,0,6,4,23,22
324,16,0,10,4,2,2379,6,0,6,4,24,20
340,16,0,10,4,2,2541,6,0,4,6,25,21
356,16,0,8,4,2,1785,6,0,6,2,26,15
370,14,0,8,2,2,1488,6,0,6,2,27,12
382,12,0,8,4,2,1596,6,0,4,4,28,13
396,14,0,10,2,2,2028,6,0,6,4,29,17
410,14,0,10,4,2,2865,6,0,6,4,30,24
426,16,0,10,4,2,2406,6,0,6,4,31,20
442,16,0,8,2,2,1245,6,0,4,4,32,10
454,12,0,8,2,2,1461,6,0,4,4,33,12
466,12,0,8,2,2,1461,6,0,6,2,34,12
478,12,0,8,4,2,1704,6,0,4,4,35,14
492,14,0,8,4,2,2028,6,0,4,4,36,17
506,14,0,8,4,2,1677,6,0,6,2,37,14
520,14,0,8,4,2,2055,6,0,4,4,38,17
534,14,0,8,4,2,1704,6,0,4,4,39,14
548,14,0,8,4,2,1785,6,0,6,2,40,15
562,14,0,8,4,2,1920,6,0,6,2,41,16
576,14,0,8,2,2,1677,6,0,4,4,42,14
588,12,0,8,4,2,1812,6,0,6,2,43,15
602,14,0,8,4,2,1920,6,0,4,4,44,16
616,14,0,10,2,2,2298,6,0,4,6,45,19
630,14,0,8,4,2,1812,6,0,6,2,46,15
644,14,0,8,4,2,1704,6,0,4,4,47,14
658,14,0,8,4,2,1947,6,0,4,4,48,16
672,14,0,8,4,2,1920,6,0,4,4,49,16
686,14,0,10,2,2,2163,6,0,6,4,50,18
700,14,0,10,2,2,2271,6,0,4,6,51,19
714,14,0,10,4,2,2163,6,0,6,4,52,18
730,16,0,8,4,2,2082,6,0,4,4,53,17
744,14,0,8,2,2,1245,6,0,6,2,54,10
756,12,0,8,2,2,1353,6,0,6,2,55,11
768,12,0,8,2,2,1245,6,0,6,2,56,10
780,12,0,8,2,2,1110,6,0,6,2,57,9
792,12,0,8,2,2,1353,6,0,4,4,58,11
804,12,0,8,2,2,1245,6,0,4,4,59,10
816,12,0,8,2,2,1353,6,0,4,4,60,11
828,12,0,8,2,2,1245,6,0,6,2,61,10
840,12,0,8,2,2,1110,6,0,4,4,62,9
852,12,0,8,2,2,1353,6,0,6,2,63,11
# complete
