# clock_hz=120,fenced=1,submitted=64,acknowledged=64,unrecorded=0,timeout=0,run_ticks=966,startup_ticks=2,drain_ticks=0,workload=1,no_sky=0,no_traffic=0,mirror=0,light=0,recorded=64,pose_hash=1844998336,road_bytes=145992,fixed_bands=1
start,interval,physics,projection,submit,fence,road_bytes,cars,mirrored,geometry,bands,pose,band_count
0,0,0,8,4,2,2055,6,0,4,4,0,17
14,14,0,10,2,2,2244,6,0,6,4,1,19
28,14,0,10,4,2,2271,6,0,6,4,2,19
44,16,0,10,4,2,2244,6,0,4,6,3,19
60,16,0,10,2,2,2028,6,0,6,4,4,17
74,14,0,10,4,2,2568,6,0,6,4,5,22
90,16,0,10,4,2,2703,6,0,4,6,6,23
106,16,0,10,4,2,2595,6,0,6,4,7,22
122,16,0,10,4,2,2865,6,0,4,6,8,24
138,16,0,10,6,2,2865,6,0,6,4,9,24
156,18,0,10,4,2,2541,6,0,4,6,10,21
172,16,0,10,4,2,2730,6,0,6,4,11,23
188,16,0,12,4,2,3297,6,0,4,8,12,27
206,18,0,10,4,2,2865,6,0,6,4,13,24
222,16,0,10,4,2,2595,6,0,6,4,14,22
238,16,0,10,4,2,2568,6,0,4,6,15,21
254,16,0,10,6,2,2892,6,0,6,4,16,24
272,18,0,10,6,2,2973,6,0,4,6,17,25
290,18,0,10,4,2,2460,6,0,4,6,18,20
306,16,0,10,4,2,2730,6,0,4,6,19,22
322,16,0,10,4,2,2163,6,0,4,6,20,18
338,16,0,10,2,2,2163,6,0,6,4,21,18
352,14,0,8,4,2,1704,6,0,4,4,22,14
366,14,0,8,4,2,1704,6,0,6,2,23,14
380,14,0,8,4,2,1839,6,0,6,2,24,15
394,14,0,8,2,2,1488,6,0,6,2,25,12
406,12,0,8,2,2,1245,6,0,6,2,26,10
418,12,0,8,2,2,1245,6,0,4,4,27,10
430,12,0,8,2,2,1353,6,0,4,4,28,11
442,12,0,8,2,2,1461,6,0,4,4,29,12
454,12,0,8,2,2,1434,6,0,6,2,30,12
466,12,0,8,2,2,1434,6,0,4,4,31,12
478,12,0,8,4,2,1893,6,0,4,4,32,16
492,14,0,8,4,2,2001,6,0,6,2,33,17
506,14,0,8,4,2,2028,6,0,4,4,34,17
520,14,0,10,2,2,2028,6,0,6,4,35,17
534,14,0,10,4,2,2568,6,0,6,4,36,22
550,16,0,10,4,2,2460,6,0,6,4,37,21
566,16,0,10,4,2,2460,6,0,4,6,38,21
582,16,0,10,4,2,2622,6,0,4,6,39,22
598,16,0,12,4,2,3000,6,0,6,6,40,25
616,18,0,10,4,2,2757,6,0,6,4,41,23
632,16,0,10,4,2,2622,6,0,6,4,42,22
648,16,0,10,4,2,2892,6,0,4,6,43,24
664,16,0,10,4,2,2838,6,0,6,4,44,23
680,16,0,10,4,2,2649,6,0,6,4,45,22
696,16,0,10,6,2,2838,6,0,6,4,46,24
714,18,0,10,4,2,2568,6,0,4,6,47,21
730,16,0,10,4,2,2649,6,0,4,6,48,22
746,16,0,12,4,2,2973,6,0,6,6,49,25
764,18,0,10,4,2,2541,6,0,6,4,50,21
780,16,0,10,4,2,2568,6,0,6,4,51,21
796,16,0,8,4,2,1920,6,0,4,4,52,16
810,14,0,10,4,2,2298,6,0,6,4,53,19
826,16,0,10,2,2,2055,6,0,6,4,54,17
840,14,0,8,4,2,1920,6,0,4,4,55,16
854,14,0,10,2,2,2055,6,0,6,4,56,17
868,14,0,10,2,2,1920,6,0,6,4,57,16
882,14,0,8,4,2,1893,6,0,6,2,58,16
896,14,0,10,2,2,1839,6,0,6,4,59,15
910,14,0,8,4,2,1920,6,0,6,2,60,16
924,14,0,8,4,2,1947,6,0,6,2,61,16
938,14,0,8,4,2,1920,6,0,6,2,62,16
952,14,0,10,2,2,2028,6,0,6,4,63,17
# complete
