# clock_hz=120,fenced=1,submitted=64,acknowledged=64,unrecorded=0,timeout=0,run_ticks=616,startup_ticks=2,drain_ticks=0,workload=1,no_sky=0,no_traffic=0,mirror=0,light=0,recorded=64,pose_hash=1844998336,road_bytes=20820,fixed_bands=1
start,interval,physics,projection,submit,fence,road_bytes,cars,mirrored,geometry,bands,pose,band_count
0,0,0,6,2,2,246,6,0,6,0,0,8
10,10,0,6,2,2,273,6,0,6,0,1,9
20,10,0,6,2,2,300,6,0,6,0,2,10
30,10,0,6,2,2,300,6,0,4,2,3,10
40,10,0,6,2,2,300,6,0,6,0,4,10
50,10,0,6,2,2,381,6,0,4,2,5,13
60,10,0,6,2,2,462,6,0,6,0,6,16
70,10,0,6,2,2,462,6,0,6,0,7,16
80,10,0,6,2,2,435,6,0,6,0,8,15
90,10,0,6,2,2,489,6,0,4,2,9,17
100,10,0,6,2,2,408,6,0,4,2,10,14
110,10,0,6,2,2,462,6,0,6,0,11,16
120,10,0,6,2,2,543,6,0,6,0,12,19
130,10,0,6,2,2,435,6,0,4,2,13,15
140,10,0,6,2,2,435,6,0,4,2,14,15
150,10,0,6,2,2,435,6,0,6,0,15,15
160,10,0,6,2,2,462,6,0,6,0,16,16
170,10,0,6,2,2,516,6,0,6,0,17,18
180,10,0,6,2,2,408,6,0,6,0,18,14
190,10,0,6,2,2,408,6,0,6,0,19,14
200,10,0,6,2,2,300,6,0,4,2,20,10
210,10,0,6,2,2,273,6,0,4,2,21,9
220,10,0,6,0,2,246,6,0,4,2,22,8
228,8,0,6,0,2,192,6,0,4,2,23,6
236,8,0,6,0,2,165,6,0,6,0,24,5
244,8,0,6,0,2,84,6,0,6,0,25,2
252,8,0,6,0,2,57,6,0,6,0,26,1
260,8,0,6,0,2,57,6,0,4,2,27,1
268,8,0,6,0,2,84,6,0,6,0,28,2
276,8,0,6,0,2,111,6,0,4,2,29,3
284,8,0,6,0,2,138,6,0,4,2,30,4
292,8,0,6,0,2,138,6,0,6,0,31,4
300,8,0,6,0,2,192,6,0,6,0,32,6
308,8,0,6,2,2,219,6,0,6,0,33,7
318,10,0,6,2,2,246,6,0,6,0,34,8
328,10,0,6,2,2,300,6,0,6,0,35,10
338,10,0,6,2,2,381,6,0,6,0,36,13
348,10,0,6,2,2,408,6,0,6,0,37,14
358,10,0,6,2,2,408,6,0,6,0,38,14
368,10,0,6,2,2,462,6,0,6,0,39,16
378,10,0,6,2,2,462,6,0,6,0,40,16
388,10,0,6,2,2,462,6,0,6,0,41,16
398,10,0,6,2,2,462,6,0,6,0,42,16
408,10,0,6,2,2,462,6,0,6,0,43,16
418,10,0,6,2,2,489,6,0,6,0,44,17
428,10,0,6,2,2,381,6,0,6,0,45,13
438,10,0,6,2,2,462,6,0,6,0,46,16
448,10,0,6,2,2,381,6,0,6,0,47,13
458,10,0,6,2,2,408,6,0,6,0,48,14
468,10,0,6,2,2,462,6,0,4,2,49,16
478,10,0,6,2,2,381,6,0,4,2,50,13
488,10,0,6,2,2,354,6,0,6,0,51,12
498,10,0,6,2,2,273,6,0,6,0,52,9
508,10,0,6,2,2,300,6,0,6,0,53,10
518,10,0,6,2,2,273,6,0,6,0,54,9
528,10,0,6,2,2,246,6,0,6,0,55,8
538,10,0,6,2,2,246,6,0,6,0,56,8
548,10,0,6,2,2,219,6,0,6,0,57,7
558,10,0,6,0,2,219,6,0,6,0,58,7
566,8,0,6,2,2,219,6,0,6,0,59,7
576,10,0,6,2,2,246,6,0,6,0,60,8
586,10,0,6,2,2,273,6,0,6,0,61,9
596,10,0,6,2,2,246,6,0,6,0,62,8
606,10,0,6,2,2,273,6,0,6,0,63,9
# complete
