# clock_hz=120,fenced=1,submitted=64,acknowledged=64,unrecorded=0,timeout=0,run_ticks=1260,startup_ticks=2,drain_ticks=0,workload=1,no_sky=0,no_traffic=0,mirror=0,light=0,recorded=64,pose_hash=1844998336,road_bytes=98931
start,interval,physics,projection,submit,fence,road_bytes,cars,mirrored,geometry,bands,pose,band_count
0,0,0,14,2,2,1677,6,0,6,8,0,14
18,18,0,16,2,2,1785,6,0,6,10,1,15
38,20,0,16,4,2,1677,6,0,6,10,2,14
60,22,0,16,2,2,1785,6,0,6,10,3,15
80,20,0,14,4,2,1677,6,0,6,8,4,14
100,20,0,16,2,2,1677,6,0,6,10,5,14
120,20,0,16,4,2,1542,6,0,6,10,6,13
142,22,0,16,2,2,1542,6,0,6,10,7,13
162,20,0,14,4,2,1785,6,0,6,8,8,15
182,20,0,14,4,2,1812,6,0,6,8,9,15
202,20,0,16,4,2,1785,6,0,6,10,10,15
224,22,0,14,4,2,1677,6,0,6,8,11,14
244,20,0,14,2,2,1731,6,0,6,8,12,14
262,18,0,14,4,2,1461,6,0,6,8,13,12
282,20,0,14,2,2,1434,6,0,6,8,14,12
300,18,0,16,2,2,1326,6,0,6,10,15,11
320,20,0,14,2,2,1596,6,0,6,8,16,13
338,18,0,14,4,2,1677,6,0,6,8,17,14
358,20,0,16,2,2,1461,6,0,6,10,18,12
378,20,0,14,2,2,1623,6,0,6,8,19,13
396,18,0,14,2,2,1353,6,0,6,8,20,11
414,18,0,12,4,2,1353,6,0,6,6,21,11
432,18,0,16,2,2,1218,6,0,6,10,22,10
452,20,0,16,0,2,1110,6,0,6,10,23,9
470,18,0,14,2,2,1353,6,0,6,8,24,11
488,18,0,16,2,2,1353,6,0,6,10,25,11
508,20,0,16,2,2,1245,6,0,6,10,26,10
528,20,0,14,4,2,1353,6,0,6,8,27,11
548,20,0,14,2,2,1353,6,0,6,8,28,11
566,18,0,14,4,2,1461,6,0,4,10,29,12
586,20,0,16,2,2,1326,6,0,4,12,30,11
606,20,0,14,4,2,1434,6,0,6,8,31,12
626,20,0,14,4,2,1785,6,0,6,8,32,15
646,20,0,16,2,2,1785,6,0,4,12,33,15
666,20,0,16,4,2,1785,6,0,6,10,34,15
688,22,0,16,2,2,1677,6,0,6,10,35,14
708,20,0,14,4,2,1677,6,0,4,10,36,14
728,20,0,16,2,2,1677,6,0,6,10,37,14
748,20,0,16,2,2,1434,6,0,6,10,38,12
768,20,0,16,2,2,1542,6,0,6,10,39,13
788,20,0,14,4,2,1677,6,0,6,8,40,14
808,20,0,14,4,2,1812,6,0,6,8,41,15
828,20,0,16,2,2,1677,6,0,6,10,42,14
848,20,0,16,2,2,1569,6,0,6,10,43,13
868,20,0,14,2,2,1731,6,0,6,8,44,14
886,18,0,14,4,2,1461,6,0,6,8,45,12
906,20,0,14,2,2,1434,6,0,6,8,46,12
924,18,0,16,2,2,1461,6,0,6,10,47,12
944,20,0,14,2,2,1596,6,0,6,8,48,13
962,18,0,14,4,2,1677,6,0,6,8,49,14
982,20,0,16,2,2,1569,6,0,6,10,50,13
1002,20,0,14,2,2,1731,6,0,6,8,51,14
1020,18,0,14,4,2,1461,6,0,6,8,52,12
1040,20,0,14,4,2,1569,6,0,6,8,53,13
1060,20,0,16,2,2,1326,6,0,6,10,54,11
1080,20,0,16,2,2,1326,6,0,6,10,55,11
1100,20,0,14,4,2,1569,6,0,6,8,56,13
1120,20,0,14,4,2,1569,6,0,6,8,57,13
1140,20,0,16,2,2,1461,6,0,6,10,58,12
1160,20,0,16,2,2,1461,6,0,6,10,59,12
1180,20,0,14,4,2,1461,6,0,6,8,60,12
1200,20,0,14,4,2,1461,6,0,6,8,61,12
1220,20,0,16,2,2,1434,6,0,6,10,62,12
1240,20,0,16,2,2,1434,6,0,6,10,63,12
# complete
