# clock_hz=120,fenced=1,submitted=64,acknowledged=64,unrecorded=0,timeout=0,run_ticks=560,startup_ticks=2,drain_ticks=0,workload=1,no_sky=0,no_traffic=0,mirror=0,light=0,recorded=64,pose_hash=4051303552,road_bytes=12180,fixed_bands=1
start,interval,physics,projection,submit,fence,road_bytes,cars,mirrored,geometry,bands,pose,band_count
0,0,0,4,2,2,57,6,0,4,0,0,1
8,8,0,4,2,2,57,6,0,4,0,1,1
16,8,0,4,2,2,57,6,0,4,0,2,1
24,8,0,4,2,2,57,6,0,4,0,3,1
32,8,0,4,2,2,57,6,0,4,0,4,1
40,8,0,6,0,2,57,6,0,6,0,5,1
48,8,0,6,0,2,57,6,0,6,0,6,1
56,8,0,6,0,2,57,6,0,6,0,7,1
64,8,0,6,0,2,57,6,0,6,0,8,1
72,8,0,6,0,2,246,6,0,6,0,9,8
80,8,0,6,2,2,435,6,0,6,0,10,15
90,10,0,6,2,2,435,6,0,6,0,11,15
100,10,0,6,2,2,435,6,0,6,0,12,15
110,10,0,6,0,2,219,6,0,4,2,13,7
118,8,0,6,0,2,111,6,0,6,0,14,3
126,8,0,6,2,2,192,6,0,6,0,15,6
136,10,0,6,2,2,273,6,0,6,0,16,9
146,10,0,6,2,2,327,6,0,6,0,17,11
156,10,0,6,0,2,273,6,0,4,2,18,9
164,8,0,6,2,2,138,6,0,6,0,19,4
174,10,0,6,2,2,138,6,0,6,0,20,4
184,10,0,4,2,2,165,6,0,4,0,21,5
192,8,0,6,2,2,246,6,0,6,0,22,8
202,10,0,6,2,2,408,6,0,6,0,23,14
212,10,0,6,2,2,408,6,0,6,0,24,14
222,10,0,6,2,2,381,6,0,6,0,25,13
232,10,0,6,0,2,219,6,0,4,2,26,7
240,8,0,6,2,2,138,6,0,6,0,27,4
250,10,0,6,0,2,111,6,0,6,0,28,3
258,8,0,6,2,2,246,6,0,6,0,29,8
268,10,0,6,2,2,462,6,0,6,0,30,16
278,10,0,6,0,2,354,6,0,4,2,31,12
286,8,0,6,0,2,111,6,0,6,0,32,3
294,8,0,6,0,2,84,6,0,6,0,33,2
302,8,0,6,0,2,111,6,0,6,0,34,3
310,8,0,6,2,2,165,6,0,4,2,35,5
320,10,0,6,2,2,246,6,0,6,0,36,8
330,10,0,6,0,2,246,6,0,4,2,37,8
338,8,0,6,0,2,246,6,0,4,2,38,8
346,8,0,6,0,2,192,6,0,6,0,39,6
354,8,0,6,2,2,192,6,0,6,0,40,6
364,10,0,6,0,2,219,6,0,6,0,41,7
372,8,0,6,0,2,192,6,0,4,2,42,6
380,8,0,6,2,2,165,6,0,6,0,43,5
390,10,0,6,0,2,219,6,0,6,0,44,7
398,8,0,6,2,2,273,6,0,6,0,45,9
408,10,0,6,0,2,246,6,0,4,2,46,8
416,8,0,6,2,2,192,6,0,6,0,47,6
426,10,0,6,0,2,192,6,0,6,0,48,6
434,8,0,6,2,2,219,6,0,6,0,49,7
444,10,0,6,0,2,273,6,0,6,0,50,9
452,8,0,6,2,2,327,6,0,6,0,51,11
462,10,0,6,2,2,354,6,0,6,0,52,12
472,10,0,6,0,2,273,6,0,4,2,53,9
480,8,0,6,0,2,57,6,0,6,0,54,1
488,8,0,6,0,2,57,6,0,6,0,55,1
496,8,0,6,0,2,57,6,0,6,0,56,1
504,8,0,6,0,2,57,6,0,6,0,57,1
512,8,0,4,2,2,57,6,0,4,0,58,1
520,8,0,6,0,2,57,6,0,6,0,59,1
528,8,0,6,0,2,57,6,0,4,2,60,1
536,8,0,6,0,2,57,6,0,6,0,61,1
544,8,0,6,0,2,57,6,0,6,0,62,1
552,8,0,6,0,2,57,6,0,6,0,63,1
# complete
