# clock_hz=120,fenced=1,submitted=64,acknowledged=64,unrecorded=0,timeout=0,run_ticks=894,startup_ticks=2,drain_ticks=0,workload=1,no_sky=0,no_traffic=0,mirror=0,light=0,recorded=64,pose_hash=4051303552,road_bytes=112809,fixed_bands=1
start,interval,physics,projection,submit,fence,road_bytes,cars,mirrored,geometry,bands,pose,band_count
0,0,0,8,2,2,1353,6,0,6,2,0,11
12,12,0,8,2,2,1245,6,0,6,2,1,10
24,12,0,8,2,2,1110,6,0,4,4,2,9
36,12,0,8,2,2,1353,6,0,6,2,3,11
48,12,0,8,2,2,1245,6,0,6,2,4,10
60,12,0,8,2,2,1353,6,0,6,2,5,11
72,12,0,8,2,2,1245,6,0,6,2,6,10
84,12,0,8,0,2,1110,6,0,4,4,7,9
94,10,0,8,2,2,1353,6,0,6,2,8,11
106,12,0,8,4,2,1893,6,0,6,2,9,16
120,14,0,10,4,2,2649,6,0,6,4,10,22
136,16,0,10,4,2,2730,6,0,4,6,11,23
152,16,0,10,4,2,2622,6,0,6,4,12,22
168,16,0,8,4,2,2082,6,0,4,4,13,17
182,14,0,8,2,2,1461,6,0,6,2,14,12
194,12,0,8,4,2,1920,6,0,6,2,15,16
208,14,0,10,2,2,2028,6,0,6,4,16,17
222,14,0,10,2,2,2163,6,0,6,4,17,18
236,14,0,10,2,2,2163,6,0,4,6,18,18
250,14,0,8,4,2,1569,6,0,6,2,19,13
264,14,0,8,2,2,1569,6,0,4,4,20,13
276,12,0,8,4,2,1569,6,0,6,2,21,13
290,14,0,10,2,2,1866,6,0,6,4,22,16
304,14,0,10,4,2,2649,6,0,6,4,23,22
320,16,0,10,4,2,2379,6,0,6,4,24,20
336,16,0,10,4,2,2541,6,0,4,6,25,21
352,16,0,8,6,2,1785,6,0,6,2,26,15
368,16,0,8,2,2,1488,6,0,6,2,27,12
380,12,2,4,2,2,1596,6,0,2,2,28,13
390,10,0,6,2,2,2028,6,0,4,2,29,17
400,10,0,6,2,2,2865,6,0,2,4,30,24
410,10,0,6,2,2,2406,6,0,4,2,31,20
420,10,0,8,2,2,1245,6,0,6,2,32,10
432,12,0,8,2,2,1461,6,0,6,2,33,12
444,12,0,8,4,2,1461,6,0,6,2,34,12
458,14,0,8,4,2,1704,6,0,6,2,35,14
472,14,0,8,4,2,2028,6,0,4,4,36,17
486,14,0,8,4,2,1677,6,0,4,4,37,14
500,14,0,10,2,2,2055,6,0,6,4,38,17
514,14,0,8,4,2,1704,6,0,6,2,39,14
528,14,0,8,4,2,1785,6,0,4,4,40,15
542,14,0,8,2,2,1920,6,0,4,4,41,16
554,12,0,8,2,2,1677,6,0,6,2,42,14
566,12,0,10,2,2,1812,6,0,6,4,43,15
580,14,0,8,4,2,1920,6,0,4,4,44,16
594,14,0,10,4,2,2298,6,0,6,4,45,19
610,16,0,8,4,2,1812,6,0,6,2,46,15
624,14,0,20,2,2,1704,6,0,10,10,47,14
648,24,0,6,6,2,1947,6,0,4,2,48,16
662,14,0,6,8,2,1920,6,0,4,2,49,16
678,16,0,14,2,2,2163,6,0,8,6,50,18
696,18,0,26,10,2,2271,6,0,18,8,51,19
734,38,0,14,4,2,2163,6,0,10,4,52,18
754,20,0,12,8,2,2082,6,0,4,8,53,17
776,22,0,12,4,2,1245,6,0,6,6,54,10
794,18,0,6,2,2,1353,6,0,4,2,55,11
804,10,0,6,2,2,1245,6,0,4,2,56,10
814,10,0,4,2,2,1110,6,0,4,0,57,9
822,8,0,8,6,2,1353,6,0,2,6,58,11
838,16,0,6,2,2,1245,6,0,4,2,59,10
848,10,0,4,4,2,1353,6,0,4,0,60,11
858,10,0,8,4,2,1245,6,0,6,2,61,10
872,14,0,6,2,2,1110,6,0,4,2,62,9
882,10,0,6,4,2,1353,6,0,4,2,63,11
# complete
