# clock_hz=120,fenced=1,submitted=64,acknowledged=64,unrecorded=0,timeout=0,run_ticks=522,startup_ticks=2,drain_ticks=0,workload=1,no_sky=0,no_traffic=0,mirror=0,light=0,recorded=64,pose_hash=1844998336,road_bytes=20820,fixed_bands=1
start,interval,physics,projection,submit,fence,road_bytes,cars,mirrored,geometry,bands,pose,band_count
0,0,0,4,0,2,246,6,0,2,2,0,8
6,6,0,4,0,2,273,6,0,4,0,1,9
12,6,0,8,2,2,300,6,0,6,2,2,10
24,12,0,6,2,2,300,6,0,6,0,3,10
34,10,0,2,2,2,300,6,0,2,0,4,10
40,6,0,2,0,2,381,6,0,2,0,5,13
44,4,0,4,0,2,462,6,0,2,2,6,16
50,6,0,4,0,2,462,6,0,2,2,7,16
56,6,0,4,0,2,435,6,0,2,2,8,15
62,6,0,4,0,2,489,6,0,2,2,9,17
68,6,0,4,0,2,408,6,0,4,0,10,14
74,6,0,2,2,2,462,6,0,2,0,11,16
80,6,0,4,0,2,543,6,0,2,2,12,19
86,6,0,4,0,2,435,6,0,2,2,13,15
92,6,0,4,0,2,435,6,0,2,2,14,15
98,6,0,4,0,2,435,6,0,2,2,15,15
104,6,0,2,2,2,462,6,0,2,0,16,16
110,6,0,4,0,2,516,6,0,2,2,17,18
116,6,0,2,2,2,408,6,0,2,0,18,14
122,6,0,2,2,2,408,6,0,2,0,19,14
128,6,0,2,2,2,300,6,0,2,0,20,10
134,6,0,6,2,2,273,6,0,6,0,21,9
144,10,0,6,0,2,246,6,0,6,0,22,8
152,8,0,6,2,2,192,6,0,6,0,23,6
162,10,0,6,2,2,165,6,0,6,0,24,5
172,10,0,6,2,2,84,6,0,6,0,25,2
182,10,0,6,0,2,57,6,0,6,0,26,1
190,8,0,6,0,2,57,6,0,6,0,27,1
198,8,0,6,0,2,84,6,0,6,0,28,2
206,8,0,6,0,2,111,6,0,6,0,29,3
214,8,0,6,2,2,138,6,0,6,0,30,4
224,10,0,6,0,2,138,6,0,4,2,31,4
232,8,0,6,0,2,192,6,0,4,2,32,6
240,8,0,6,2,2,219,6,0,6,0,33,7
250,10,0,6,0,2,246,6,0,4,2,34,8
258,8,0,6,0,2,300,6,0,6,0,35,10
266,8,0,6,2,2,381,6,0,6,0,36,13
276,10,0,6,2,2,408,6,0,4,2,37,14
286,10,0,6,2,2,408,6,0,6,0,38,14
296,10,0,6,2,2,462,6,0,4,2,39,16
306,10,0,6,2,2,462,6,0,6,0,40,16
316,10,0,6,2,2,462,6,0,6,0,41,16
326,10,0,6,2,2,462,6,0,6,0,42,16
336,10,0,6,2,2,462,6,0,6,0,43,16
346,10,0,6,2,2,489,6,0,6,0,44,17
356,10,0,6,2,2,381,6,0,6,0,45,13
366,10,0,6,2,2,462,6,0,6,0,46,16
376,10,0,6,2,2,381,6,0,6,0,47,13
386,10,0,6,2,2,408,6,0,6,0,48,14
396,10,0,6,2,2,462,6,0,4,2,49,16
406,10,0,4,2,2,381,6,0,4,0,50,13
414,8,0,6,2,2,354,6,0,6,0,51,12
424,10,0,6,0,2,273,6,0,4,2,52,9
432,8,0,6,2,2,300,6,0,6,0,53,10
442,10,0,6,0,2,273,6,0,4,2,54,9
450,8,0,6,0,2,246,6,0,6,0,55,8
458,8,0,6,2,2,246,6,0,6,0,56,8
468,10,0,6,2,2,219,6,0,6,0,57,7
478,10,0,2,2,2,219,6,0,2,0,58,7
484,6,0,2,0,2,219,6,0,2,0,59,7
488,4,0,4,2,2,246,6,0,4,0,60,8
496,8,0,6,0,2,273,6,0,4,2,61,9
504,8,0,6,2,2,246,6,0,6,0,62,8
514,10,0,6,0,2,273,6,0,6,0,63,9
# complete
