# clock_hz=120,fenced=1,submitted=64,acknowledged=64,unrecorded=0,timeout=0,run_ticks=994,startup_ticks=2,drain_ticks=0,workload=1,no_sky=0,no_traffic=0,mirror=0,light=0,recorded=64,pose_hash=1844998336,road_bytes=145992,fixed_bands=1
start,interval,physics,projection,submit,fence,road_bytes,cars,mirrored,geometry,bands,pose,band_count
0,0,0,10,2,2,2055,6,0,6,4,0,17
14,14,0,10,4,2,2244,6,0,6,4,1,19
30,16,0,10,4,2,2271,6,0,6,4,2,19
46,16,0,10,4,2,2244,6,0,6,4,3,19
62,16,0,8,4,2,2028,6,0,6,2,4,17
76,14,0,10,4,2,2568,6,0,6,4,5,22
92,16,0,10,4,2,2703,6,0,6,4,6,23
108,16,0,10,4,2,2595,6,0,6,4,7,22
124,16,0,12,4,2,2865,6,0,6,6,8,24
142,18,0,10,4,2,2865,6,0,4,6,9,24
158,16,0,10,4,2,2541,6,0,6,4,10,21
174,16,0,10,4,2,2730,6,0,6,4,11,23
190,16,0,12,4,2,3297,6,0,6,6,12,27
208,18,0,12,4,2,2865,6,0,6,6,13,24
226,18,0,10,4,2,2595,6,0,6,4,14,22
242,16,0,10,4,2,2568,6,0,6,4,15,21
258,16,0,10,4,2,2892,6,0,6,4,16,24
274,16,0,26,6,2,2973,6,0,6,20,17,25
308,34,0,4,2,2,2460,6,0,2,2,18,20
316,8,0,6,2,2,2730,6,0,2,4,19,22
326,10,0,10,2,2,2163,6,0,4,6,20,18
340,14,0,10,4,2,2163,6,0,6,4,21,18
356,16,0,8,4,2,1704,6,0,6,2,22,14
370,14,0,20,6,2,1704,6,0,16,4,23,14
398,28,0,4,2,2,1839,6,0,2,2,24,15
406,8,0,4,2,2,1488,6,0,2,2,25,12
414,8,0,8,2,2,1245,6,0,6,2,26,10
426,12,0,8,2,2,1245,6,0,6,2,27,10
438,12,0,8,2,2,1353,6,0,6,2,28,11
450,12,0,8,2,2,1461,6,0,6,2,29,12
462,12,0,8,2,2,1434,6,0,4,4,30,12
474,12,0,8,2,2,1434,6,0,6,2,31,12
486,12,0,8,4,2,1893,6,0,6,2,32,16
500,14,0,10,2,2,2001,6,0,6,4,33,17
514,14,0,10,2,2,2028,6,0,6,4,34,17
528,14,0,10,2,2,2028,6,0,6,4,35,17
542,14,0,10,4,2,2568,6,0,6,4,36,22
558,16,0,10,4,2,2460,6,0,6,4,37,21
574,16,0,10,4,2,2460,6,0,6,4,38,21
590,16,0,10,4,2,2622,6,0,6,4,39,22
606,16,0,10,6,2,3000,6,0,6,4,40,25
624,18,0,10,4,2,2757,6,0,6,4,41,23
640,16,0,10,4,2,2622,6,0,6,4,42,22
656,16,0,10,4,2,2892,6,0,4,6,43,24
672,16,0,10,4,2,2838,6,0,4,6,44,23
688,16,0,10,4,2,2649,6,0,6,4,45,22
704,16,0,10,6,2,2838,6,0,6,4,46,24
722,18,0,10,4,2,2568,6,0,6,4,47,21
738,16,0,10,4,2,2649,6,0,6,4,48,22
754,16,0,12,4,2,2973,6,0,6,6,49,25
772,18,0,14,8,2,2541,6,0,6,8,50,21
796,24,0,20,6,2,2568,6,0,18,2,51,21
824,28,0,8,4,2,1920,6,0,4,4,52,16
838,14,0,6,4,2,2298,6,0,4,2,53,19
850,12,0,8,4,2,2055,6,0,4,4,54,17
864,14,0,8,4,2,1920,6,0,6,2,55,16
878,14,0,10,4,2,2055,6,0,8,2,56,17
894,16,0,8,4,2,1920,6,0,4,4,57,16
908,14,0,10,2,2,1893,6,0,6,4,58,16
922,14,0,8,2,2,1839,6,0,6,2,59,15
934,12,0,14,4,2,1920,6,0,12,2,60,16
954,20,0,10,4,2,1947,6,0,6,4,61,16
970,16,0,6,4,2,1920,6,0,4,2,62,16
982,12,0,6,4,2,2028,6,0,2,4,63,17
# complete
