# clock_hz=120,fenced=1,submitted=64,acknowledged=64,unrecorded=0,timeout=0,run_ticks=1194,startup_ticks=2,drain_ticks=0,workload=1,no_sky=0,no_traffic=0,mirror=0,light=0,recorded=64,pose_hash=4051303552,road_bytes=90777,fixed_bands=0
start,interval,physics,projection,submit,fence,road_bytes,cars,mirrored,geometry,bands,pose,band_count
0,0,0,22,6,2,1353,6,0,8,14,0,11
30,30,0,20,4,2,1245,6,0,8,12,1,10
56,26,0,16,2,2,1110,6,0,6,10,2,9
76,20,0,18,4,2,1353,6,0,6,12,3,11
100,24,0,18,2,2,1245,6,0,8,10,4,10
122,22,0,22,10,2,1353,6,0,10,12,5,11
156,34,0,22,2,2,1245,6,0,12,10,6,10
182,26,0,18,4,2,1110,6,0,10,8,7,9
206,24,0,16,4,2,1353,6,0,6,10,8,11
228,22,0,16,4,2,1677,6,0,8,8,9,14
250,22,0,16,2,2,1569,6,0,6,10,10,13
270,20,0,20,8,2,1461,6,0,4,16,11,12
300,30,0,20,4,2,1326,6,0,6,14,12,11
326,26,0,18,4,2,1461,6,0,6,12,13,12
350,24,0,14,4,2,1353,6,0,6,8,14,11
370,20,0,12,4,2,1569,6,0,4,8,15,13
388,18,0,22,8,2,1569,6,0,8,14,16,13
420,32,0,14,2,2,1434,6,0,8,6,17,12
438,18,0,12,2,2,1569,6,0,4,8,18,13
454,16,0,10,2,2,1245,6,0,4,6,19,10
468,14,0,10,4,2,1461,6,0,4,6,20,12
484,16,0,12,2,2,1461,6,0,4,8,21,12
500,16,0,12,2,2,1650,6,0,4,8,22,14
516,16,0,12,4,2,1677,6,0,4,8,23,14
534,18,0,12,2,2,1569,6,0,4,8,24,13
550,16,0,12,2,2,1569,6,0,4,8,25,13
566,16,0,10,2,2,1353,6,0,4,6,26,11
580,14,0,10,4,2,1218,6,0,4,6,27,10
596,16,0,12,2,2,1461,6,0,4,8,28,12
612,16,0,12,2,2,1677,6,0,4,8,29,14
628,16,0,10,4,2,1893,6,0,4,6,30,16
644,16,0,10,2,2,1245,6,0,4,6,31,10
658,14,0,10,4,2,1110,6,0,4,6,32,9
674,16,0,12,2,2,1461,6,0,4,8,33,12
690,16,0,10,2,2,1353,6,0,4,6,34,11
704,14,0,10,2,2,1569,6,0,2,8,35,13
718,14,0,10,2,2,1569,6,0,4,6,36,13
732,14,0,10,2,2,1326,6,0,4,6,37,11
746,14,0,12,2,2,1569,6,0,6,6,38,13
762,16,0,10,2,2,1461,6,0,4,6,39,12
776,14,0,12,0,2,1569,6,0,4,8,40,13
790,14,0,10,2,2,1461,6,0,4,6,41,12
804,14,0,10,2,2,1218,6,0,4,6,42,10
818,14,0,10,4,2,1569,6,0,4,6,43,13
834,16,0,10,2,2,1461,6,0,4,6,44,12
848,14,0,10,2,2,1677,6,0,4,6,45,14
862,14,0,12,2,2,1461,6,0,4,8,46,12
878,16,0,14,2,2,1326,6,0,4,10,47,11
896,18,0,16,4,2,1569,6,0,6,10,48,13
918,22,0,14,2,2,1461,6,0,4,10,49,12
936,18,0,16,2,2,1677,6,0,6,10,50,14
956,20,0,16,2,2,1569,6,0,6,10,51,13
976,20,0,14,4,2,1434,6,0,4,10,52,12
996,20,0,16,2,2,1461,6,0,6,10,53,12
1016,20,0,14,4,2,1245,6,0,6,8,54,10
1036,20,0,14,2,2,1353,6,0,6,8,55,11
1054,18,0,16,10,2,1245,6,0,6,10,56,10
1082,28,0,16,2,2,1110,6,0,6,10,57,9
1102,20,0,12,2,2,1353,6,0,4,8,58,11
1118,16,0,10,2,2,1245,6,0,4,6,59,10
1132,14,0,10,2,2,1353,6,0,4,6,60,11
1146,14,0,10,2,2,1245,6,0,4,6,61,10
1160,14,0,14,2,2,1110,6,0,4,10,62,9
1178,18,0,12,2,2,1353,6,0,4,8,63,11
# complete
