# clock_hz=120,fenced=1,submitted=64,acknowledged=64,unrecorded=0,timeout=0,run_ticks=938,startup_ticks=2,drain_ticks=0,workload=1,no_sky=0,no_traffic=0,mirror=0,light=0,recorded=64,pose_hash=4051303552,road_bytes=116157,fixed_bands=1
start,interval,physics,projection,submit,fence,road_bytes,cars,mirrored,geometry,bands,pose,band_count
0,0,0,8,2,2,1353,6,0,6,2,0,11
12,12,0,8,2,2,1245,6,0,6,2,1,10
24,12,0,8,2,2,1110,6,0,6,2,2,9
36,12,0,8,4,2,1353,6,0,4,4,3,11
50,14,0,10,4,2,1245,6,0,6,4,4,10
66,16,0,12,2,2,1353,6,0,8,4,5,11
82,16,0,8,2,2,1245,6,0,6,2,6,10
94,12,0,4,2,2,1110,6,0,4,0,7,9
102,8,0,6,2,2,1461,6,0,4,2,8,12
112,10,0,8,4,2,2001,6,0,4,4,9,17
126,14,0,10,4,2,2757,6,0,6,4,10,23
142,16,0,10,4,2,2838,6,0,6,4,11,24
158,16,0,10,4,2,2622,6,0,6,4,12,22
174,16,0,10,2,2,2082,6,0,6,4,13,17
188,14,0,10,2,2,1569,6,0,6,4,14,13
202,14,0,10,2,2,2028,6,0,6,4,15,17
216,14,0,10,4,2,2136,6,0,6,4,16,18
232,16,0,8,4,2,2352,6,0,4,4,17,20
246,14,0,10,2,2,2163,6,0,6,4,18,18
260,14,0,8,4,2,1380,6,0,6,2,19,11
274,14,0,16,4,2,1569,6,0,10,6,20,13
296,22,0,16,6,2,1677,6,0,12,4,21,14
320,24,0,14,6,2,1974,6,0,8,6,22,17
342,22,0,20,6,2,2649,6,0,12,8,23,22
370,28,0,14,4,2,2379,6,0,6,8,24,20
390,20,0,14,6,2,2541,6,0,8,6,25,21
412,22,0,12,6,2,2028,6,0,8,4,26,17
432,20,0,10,6,2,1488,6,0,8,2,27,12
450,18,0,24,6,2,1596,6,0,20,4,28,13
482,32,0,14,6,2,2136,6,0,8,6,29,18
504,22,0,10,6,2,2973,6,0,4,6,30,25
522,18,0,12,4,2,2406,6,0,6,6,31,20
540,18,0,8,4,2,1245,6,0,6,2,32,10
554,14,0,10,6,2,1569,6,0,8,2,33,13
572,18,0,8,2,2,1461,6,0,6,2,34,12
584,12,0,8,2,2,1812,6,0,4,4,35,15
596,12,0,6,4,2,2136,6,0,4,2,36,18
608,12,0,8,2,2,1785,6,0,4,4,37,15
620,12,0,10,4,2,2055,6,0,6,4,38,17
636,16,0,12,4,2,1920,6,0,6,6,39,16
654,18,0,8,2,2,2082,6,0,4,4,40,17
666,12,0,6,4,2,1920,6,0,4,2,41,16
678,12,0,10,4,2,1812,6,0,6,4,42,15
694,16,0,10,4,2,1920,6,0,6,4,43,16
710,16,0,16,4,2,2028,6,0,10,6,44,17
732,22,0,10,2,2,2406,6,0,6,4,45,20
746,14,0,8,4,2,1920,6,0,4,4,46,16
760,14,0,6,2,2,1677,6,0,4,2,47,14
770,10,0,6,2,2,2055,6,0,4,2,48,17
780,10,0,8,2,2,2028,6,0,4,4,49,17
792,12,0,10,2,2,2271,6,0,6,4,50,19
806,14,0,8,2,2,2379,6,0,4,4,51,20
818,12,0,8,2,2,2163,6,0,4,4,52,18
830,12,0,6,2,2,2082,6,0,4,2,53,17
840,10,0,6,2,2,1245,6,0,4,2,54,10
850,10,0,6,2,2,1353,6,0,4,2,55,11
860,10,0,6,2,2,1245,6,0,4,2,56,10
870,10,0,6,0,2,1110,6,0,4,2,57,9
878,8,0,6,2,2,1353,6,0,4,2,58,11
888,10,0,6,2,2,1245,6,0,4,2,59,10
898,10,0,6,2,2,1353,6,0,4,2,60,11
908,10,0,6,2,2,1245,6,0,4,2,61,10
918,10,0,6,2,2,1110,6,0,4,2,62,9
928,10,0,6,2,2,1353,6,0,4,2,63,11
# complete
