# clock_hz=120,fenced=1,submitted=64,acknowledged=64,unrecorded=0,timeout=0,run_ticks=956,startup_ticks=2,drain_ticks=0,workload=1,no_sky=0,no_traffic=0,mirror=0,light=0,recorded=64,pose_hash=1844998336,road_bytes=150501,fixed_bands=1
start,interval,physics,projection,submit,fence,road_bytes,cars,mirrored,geometry,bands,pose,band_count
0,0,0,8,4,2,2163,6,0,4,4,0,18
14,14,0,12,2,2,2352,6,0,6,6,1,20
30,16,0,16,4,2,2379,6,0,6,10,2,20
52,22,0,10,2,2,2352,6,0,6,4,3,20
66,14,0,8,2,2,2136,6,0,4,4,4,18
78,12,0,8,4,2,2568,6,0,4,4,5,22
92,14,0,8,4,2,2703,6,0,4,4,6,23
106,14,0,10,6,2,2703,6,0,6,4,7,23
124,18,0,12,4,2,2973,6,0,6,6,8,25
142,18,0,10,12,2,2973,6,0,4,6,9,25
166,24,0,8,4,2,2649,6,0,4,4,10,22
180,14,0,8,4,2,2838,6,0,4,4,11,24
194,14,0,10,4,2,3405,6,0,4,6,12,28
210,16,0,8,4,2,2973,6,0,4,4,13,25
224,14,0,10,4,2,2595,6,0,6,4,14,22
240,16,0,10,4,2,2568,6,0,6,4,15,21
256,16,0,10,6,2,2892,6,0,6,4,16,24
274,18,0,12,4,2,2973,6,0,6,6,17,25
292,18,0,8,4,2,2460,6,0,4,4,18,20
306,14,0,10,4,2,2730,6,0,6,4,19,22
322,16,0,10,4,2,2163,6,0,6,4,20,18
338,16,0,10,4,2,2163,6,0,6,4,21,18
354,16,0,10,2,2,1704,6,0,6,4,22,14
368,14,0,6,4,2,1704,6,0,4,2,23,14
380,12,0,8,4,2,1839,6,0,6,2,24,15
394,14,0,8,4,2,1488,6,0,6,2,25,12
408,14,0,8,2,2,1353,6,0,6,2,26,11
420,12,0,14,4,2,1353,6,0,12,2,27,11
440,20,0,6,4,4,1461,6,0,4,2,28,12
454,14,0,8,2,2,1569,6,0,6,2,29,13
466,12,0,6,2,2,1542,6,0,4,2,30,13
476,10,0,6,2,2,1542,6,0,4,2,31,13
486,10,0,6,2,2,2001,6,0,4,2,32,17
496,10,0,6,4,2,2109,6,0,4,2,33,18
508,12,0,8,2,2,2136,6,0,4,4,34,18
520,12,0,14,6,2,2136,6,0,6,8,35,18
542,22,0,10,4,2,2568,6,0,4,6,36,22
558,16,0,8,2,2,2460,6,0,4,4,37,21
570,12,0,10,4,2,2568,6,0,4,6,38,22
586,16,0,8,4,2,2730,6,0,4,4,39,23
600,14,0,8,4,2,3108,6,0,4,4,40,26
614,14,0,10,4,2,2865,6,0,6,4,41,24
630,16,0,8,4,2,2730,6,0,4,4,42,23
644,14,0,8,4,2,3000,6,0,4,4,43,25
658,14,0,10,2,2,2946,6,0,4,6,44,24
672,14,0,8,4,2,2757,6,0,4,4,45,23
686,14,0,8,6,2,2838,6,0,4,4,46,24
702,16,0,10,6,2,2568,6,0,4,6,47,21
720,18,0,10,4,2,2649,6,0,6,4,48,22
736,16,0,10,4,2,2838,6,0,6,4,49,24
752,16,0,10,4,2,2649,6,0,6,4,50,22
768,16,0,10,4,2,2568,6,0,6,4,51,21
784,16,0,10,2,2,2028,6,0,6,4,52,17
798,14,0,10,4,2,2406,6,0,4,6,53,20
814,16,0,10,2,2,2163,6,0,6,4,54,18
828,14,0,10,2,2,2028,6,0,6,4,55,17
842,14,0,10,2,2,2271,6,0,6,4,56,19
856,14,0,10,2,2,2001,6,0,6,4,57,17
870,14,0,8,4,2,1893,6,0,6,2,58,16
884,14,0,8,4,2,1974,6,0,6,2,59,16
898,14,0,8,4,2,2028,6,0,6,2,60,17
912,14,0,10,2,2,2055,6,0,6,4,61,17
926,14,0,8,4,2,2028,6,0,6,2,62,17
940,14,0,10,4,2,2136,6,0,6,4,63,18
# complete
