# clock_hz=120,fenced=1,submitted=64,acknowledged=64,unrecorded=0,timeout=0,run_ticks=1470,startup_ticks=2,drain_ticks=0,workload=1,no_sky=0,no_traffic=0,mirror=0,light=0,recorded=64,pose_hash=1844998336,road_bytes=98931,fixed_bands=0
start,interval,physics,projection,submit,fence,road_bytes,cars,mirrored,geometry,bands,pose,band_count
0,0,0,26,6,2,1677,6,0,8,18,0,14
34,34,0,20,2,2,1785,6,0,6,14,1,15
58,24,0,16,4,2,1677,6,0,8,8,2,14
80,22,0,18,2,2,1785,6,0,6,12,3,15
102,22,0,18,14,2,1677,6,0,6,12,4,14
136,34,0,18,8,2,1677,6,0,10,8,5,14
164,28,0,28,4,2,1542,6,0,12,16,6,13
198,34,0,14,4,4,1542,6,0,6,8,7,13
220,22,0,18,6,2,1785,6,0,6,12,8,15
246,26,0,14,10,2,1812,6,0,6,8,9,15
272,26,0,18,4,2,1785,6,0,8,10,10,15
296,24,0,12,2,2,1677,6,0,4,8,11,14
312,16,0,10,4,2,1731,6,0,4,6,12,14
328,16,0,12,4,2,1461,6,0,4,8,13,12
346,18,0,18,4,2,1434,6,0,10,8,14,12
370,24,0,14,2,2,1326,6,0,6,8,15,11
388,18,0,12,4,2,1596,6,0,4,8,16,13
406,18,0,18,4,2,1677,6,0,6,12,17,14
430,24,0,24,2,2,1461,6,0,10,14,18,12
458,28,0,16,4,2,1623,6,0,10,6,19,13
480,22,0,14,4,2,1353,6,0,6,8,20,11
500,20,0,14,4,2,1353,6,0,8,6,21,11
520,20,0,16,2,2,1218,6,0,8,8,22,10
540,20,0,12,2,2,1110,6,0,4,8,23,9
556,16,0,14,4,2,1353,6,0,6,8,24,11
576,20,0,12,2,2,1353,6,0,4,8,25,11
592,16,0,16,2,2,1245,6,0,8,8,26,10
612,20,0,14,6,2,1353,6,0,4,10,27,11
634,22,0,14,2,2,1353,6,0,6,8,28,11
652,18,0,16,4,2,1461,6,0,8,8,29,12
674,22,0,16,2,2,1326,6,0,6,10,30,11
694,20,0,16,4,2,1434,6,0,6,10,31,12
716,22,0,18,4,2,1785,6,0,8,10,32,15
740,24,0,16,10,2,1785,6,0,6,10,33,15
768,28,0,18,6,2,1785,6,0,6,12,34,15
794,26,0,18,4,2,1677,6,0,8,10,35,14
818,24,0,14,2,2,1677,6,0,4,10,36,14
836,18,0,14,4,2,1677,6,0,4,10,37,14
856,20,0,14,4,2,1434,6,0,6,8,38,12
876,20,0,18,6,2,1542,6,0,8,10,39,13
902,26,0,18,4,2,1677,6,0,6,12,40,14
926,24,0,16,8,2,1812,6,0,6,10,41,15
952,26,0,16,2,2,1677,6,0,6,10,42,14
972,20,0,16,2,2,1569,6,0,6,10,43,13
992,20,0,20,2,2,1731,6,0,6,14,44,14
1016,24,0,20,6,2,1461,6,0,8,12,45,12
1044,28,0,14,2,2,1434,6,0,6,8,46,12
1062,18,0,16,2,2,1461,6,0,6,10,47,12
1082,20,0,10,4,2,1596,6,0,4,6,48,13
1098,16,0,12,4,2,1677,6,0,6,6,49,14
1116,18,0,16,4,2,1569,6,0,6,10,50,13
1138,22,0,16,6,2,1731,6,0,6,10,51,14
1162,24,0,14,2,2,1461,6,0,6,8,52,12
1180,18,0,14,2,2,1569,6,0,6,8,53,13
1198,18,0,14,4,2,1326,6,0,6,8,54,11
1218,20,0,12,4,2,1326,6,0,6,6,55,11
1236,18,0,10,4,2,1569,6,0,4,6,56,13
1252,16,0,12,2,2,1569,6,0,4,8,57,13
1268,16,0,40,4,2,1461,6,0,14,26,58,12
1314,46,0,24,4,2,1461,6,0,10,14,59,12
1344,30,0,28,4,2,1461,6,0,6,22,60,12
1378,34,0,26,6,2,1461,6,0,8,18,61,12
1412,34,0,22,4,2,1434,6,0,8,14,62,12
1440,28,0,24,4,2,1434,6,0,12,12,63,12
# complete
