# clock_hz=120,fenced=1,submitted=64,acknowledged=64,unrecorded=0,timeout=0,run_ticks=1258,startup_ticks=2,drain_ticks=0,workload=1,no_sky=0,no_traffic=0,mirror=0,light=0,recorded=64,pose_hash=1844998336,road_bytes=98931
start,interval,physics,projection,submit,fence,road_bytes,cars,mirrored,geometry,bands,pose,band_count
0,0,0,14,4,2,1677,6,0,6,8,0,14
20,20,0,16,2,2,1785,6,0,6,10,1,15
40,20,0,16,4,2,1677,6,0,4,12,2,14
62,22,0,16,2,2,1785,6,0,6,10,3,15
82,20,0,14,4,2,1677,6,0,6,8,4,14
102,20,0,16,2,2,1677,6,0,6,10,5,14
122,20,0,16,4,2,1542,6,0,6,10,6,13
144,22,0,14,4,2,1542,6,0,4,10,7,13
164,20,0,14,4,2,1785,6,0,4,10,8,15
184,20,0,14,4,2,1812,6,0,4,10,9,15
204,20,0,16,4,2,1785,6,0,6,10,10,15
226,22,0,14,12,2,1677,6,0,6,8,11,14
254,28,0,14,2,2,1731,6,0,8,6,12,14
272,18,0,12,2,2,1461,6,0,8,4,13,12
288,16,0,6,2,2,1434,6,0,2,4,14,12
298,10,0,14,4,2,1326,6,0,6,8,15,11
318,20,0,12,4,2,1596,6,0,6,6,16,13
336,18,0,14,4,2,1677,6,0,4,10,17,14
356,20,0,16,2,2,1461,6,0,6,10,18,12
376,20,0,14,2,2,1623,6,0,6,8,19,13
394,18,0,14,2,2,1353,6,0,6,8,20,11
412,18,0,12,4,2,1353,6,0,6,6,21,11
430,18,0,16,2,2,1218,6,0,6,10,22,10
450,20,0,14,2,2,1110,6,0,6,8,23,9
468,18,0,14,2,2,1353,6,0,6,8,24,11
486,18,0,14,4,2,1353,6,0,6,8,25,11
506,20,0,16,2,2,1245,6,0,6,10,26,10
526,20,0,14,4,2,1353,6,0,6,8,27,11
546,20,0,14,2,2,1353,6,0,4,10,28,11
564,18,0,14,4,2,1461,6,0,4,10,29,12
584,20,0,16,2,2,1326,6,0,4,12,30,11
604,20,0,14,4,2,1434,6,0,6,8,31,12
624,20,0,16,2,2,1785,6,0,6,10,32,15
644,20,0,16,2,2,1785,6,0,6,10,33,15
664,20,0,16,4,2,1785,6,0,6,10,34,15
686,22,0,16,4,2,1677,6,0,4,12,35,14
708,22,0,14,2,2,1677,6,0,4,10,36,14
726,18,0,14,4,2,1677,6,0,4,10,37,14
746,20,0,16,2,2,1434,6,0,4,12,38,12
766,20,0,14,4,2,1542,6,0,4,10,39,13
786,20,0,16,2,2,1677,6,0,6,10,40,14
806,20,0,14,2,2,1812,6,0,6,8,41,15
824,18,0,16,2,2,1677,6,0,6,10,42,14
844,20,0,14,4,2,1569,6,0,6,8,43,13
864,20,0,14,4,2,1731,6,0,6,8,44,14
884,20,0,14,4,2,1461,6,0,6,8,45,12
904,20,0,14,2,2,1434,6,0,6,8,46,12
922,18,0,14,4,2,1461,6,0,4,10,47,12
942,20,0,14,2,2,1596,6,0,6,8,48,13
960,18,0,16,2,2,1677,6,0,10,6,49,14
980,20,0,16,4,2,1569,6,0,4,12,50,13
1002,22,0,12,4,2,1731,6,0,4,8,51,14
1020,18,0,14,2,2,1461,6,0,6,8,52,12
1038,18,0,14,4,2,1569,6,0,6,8,53,13
1058,20,0,16,2,2,1326,6,0,6,10,54,11
1078,20,0,14,4,2,1326,6,0,6,8,55,11
1098,20,0,14,4,2,1569,6,0,4,10,56,13
1118,20,0,24,6,2,1569,6,0,6,18,57,13
1150,32,0,8,2,2,1461,6,0,2,6,58,12
1162,12,0,14,2,2,1461,6,0,4,10,59,12
1180,18,0,14,2,2,1461,6,0,6,8,60,12
1198,18,0,16,2,2,1461,6,0,6,10,61,12
1218,20,0,16,2,2,1434,6,0,6,10,62,12
1238,20,0,16,2,2,1434,6,0,6,10,63,12
# complete
