# clock_hz=120,fenced=0,submitted=64,acknowledged=0,unrecorded=0,timeout=0,run_ticks=1186,startup_ticks=2,drain_ticks=2,workload=1,no_sky=0,no_traffic=0,mirror=0,light=0,recorded=64,pose_hash=1844998336,road_bytes=98931
start,interval,physics,projection,submit,fence,road_bytes,cars,mirrored,geometry,bands,pose,band_count
0,0,0,14,4,0,1677,6,0,6,8,0,14
18,18,0,16,4,0,1785,6,0,6,10,1,15
38,20,0,16,2,0,1677,6,0,6,10,2,14
56,18,0,18,2,0,1785,6,0,8,10,3,15
76,20,0,16,2,0,1677,6,0,6,10,4,14
94,18,2,16,2,0,1677,6,0,6,10,5,14
114,20,0,18,2,0,1542,6,0,6,12,6,13
134,20,0,16,2,0,1542,6,0,6,10,7,13
152,18,0,16,4,0,1785,6,0,8,8,8,15
172,20,0,16,2,0,1812,6,0,6,10,9,15
190,18,0,18,2,0,1785,6,0,6,12,10,15
210,20,0,16,4,0,1677,6,0,6,10,11,14
230,20,0,14,2,0,1731,6,0,6,8,12,14
246,16,0,16,4,0,1461,6,0,6,10,13,12
266,20,0,14,2,0,1434,6,0,6,8,14,12
282,16,0,16,2,0,1326,6,0,6,10,15,11
300,18,0,14,4,0,1596,6,0,6,8,16,13
318,18,0,16,2,0,1677,6,0,6,10,17,14
336,18,0,16,4,0,1461,6,0,6,10,18,12
356,20,0,14,2,0,1623,6,0,6,8,19,13
372,16,0,16,2,0,1353,6,0,8,8,20,11
390,18,0,14,2,0,1353,6,0,6,8,21,11
406,16,0,18,2,0,1218,6,0,6,12,22,10
426,20,0,16,2,0,1110,6,0,6,10,23,9
444,18,0,14,4,0,1353,6,0,6,8,24,11
462,18,0,16,2,0,1353,6,0,6,10,25,11
480,18,0,16,2,0,1245,6,0,6,10,26,10
498,18,0,16,4,0,1353,6,0,8,8,27,11
518,20,0,14,4,0,1353,6,0,6,8,28,11
536,18,0,14,4,0,1461,6,0,6,8,29,12
554,18,0,16,2,0,1326,6,0,6,10,30,11
572,18,0,16,4,0,1434,6,0,6,10,31,12
592,20,0,14,4,0,1785,6,0,6,8,32,15
610,18,0,16,2,0,1785,6,0,6,10,33,15
628,18,2,16,4,0,1785,6,0,6,10,34,15
650,22,0,16,2,0,1677,6,0,6,10,35,14
668,18,0,16,4,0,1677,6,0,6,10,36,14
688,20,0,14,4,0,1677,6,0,6,8,37,14
706,18,0,16,4,0,1434,6,0,6,10,38,12
726,20,0,16,2,0,1542,6,0,6,10,39,13
744,18,0,16,4,0,1677,6,0,6,10,40,14
764,20,0,14,2,0,1812,6,0,4,10,41,15
780,16,0,18,2,0,1677,6,0,6,12,42,14
800,20,0,16,2,0,1569,6,0,6,10,43,13
818,18,0,16,2,0,1731,6,0,8,8,44,14
836,18,0,16,2,0,1461,6,0,6,10,45,12
854,18,0,16,2,0,1434,6,0,6,10,46,12
872,18,0,16,2,0,1461,6,0,6,10,47,12
890,18,0,14,2,0,1596,6,0,6,8,48,13
906,16,0,16,4,0,1677,6,0,8,8,49,14
926,20,0,16,4,0,1569,6,0,6,10,50,13
946,20,0,14,4,0,1731,6,0,6,8,51,14
964,18,0,14,2,0,1461,6,0,6,8,52,12
980,16,0,16,2,0,1569,6,0,8,8,53,13
998,18,2,16,2,0,1326,6,0,4,12,54,11
1018,20,0,16,2,0,1326,6,0,6,10,55,11
1036,18,0,16,2,0,1569,6,0,6,10,56,13
1054,18,0,16,2,0,1569,6,0,6,10,57,13
1072,18,0,18,2,0,1461,6,0,8,10,58,12
1092,20,2,14,4,0,1461,6,0,6,8,59,12
1112,20,0,14,4,0,1461,6,0,6,8,60,12
1130,18,0,14,4,0,1461,6,0,6,8,61,12
1148,18,0,18,2,0,1434,6,0,6,12,62,12
1168,20,0,16,2,0,1434,6,0,6,10,63,12
# complete
