# clock_hz=120,fenced=1,submitted=64,acknowledged=64,unrecorded=0,timeout=0,run_ticks=1602,startup_ticks=2,drain_ticks=0,workload=1,no_sky=0,no_traffic=0,mirror=1,light=0,recorded=64,pose_hash=1844998336,road_bytes=98931
start,interval,physics,projection,submit,fence,road_bytes,cars,mirrored,geometry,bands,pose,band_count
0,0,0,14,4,2,1677,6,1,4,10,0,14
20,20,0,16,2,2,1785,6,1,6,10,1,15
40,20,0,16,4,2,1677,6,1,6,10,2,14
62,22,0,16,2,2,1785,6,1,6,10,3,15
82,20,0,14,4,2,1677,6,1,6,8,4,14
102,20,0,14,4,2,1677,6,1,6,8,5,14
122,20,0,16,4,2,1542,6,1,6,10,6,13
144,22,0,34,16,2,1542,6,1,6,28,7,13
196,52,0,62,4,2,1785,6,1,26,36,8,15
264,68,0,62,6,2,1812,6,1,44,18,9,15
334,70,2,34,2,2,1785,6,1,8,26,10,15
374,40,0,14,2,2,1677,6,1,6,8,11,14
392,18,0,18,4,2,1731,6,1,6,12,12,14
416,24,0,10,4,2,1461,6,1,4,6,13,12
432,16,0,44,8,2,1434,6,1,6,38,14,12
486,54,0,20,4,2,1326,6,1,12,8,15,11
512,26,0,16,4,2,1596,6,1,6,10,16,13
534,22,0,14,6,2,1677,6,1,6,8,17,14
556,22,0,28,2,2,1461,6,1,12,16,18,12
588,32,0,14,2,2,1623,6,1,6,8,19,13
606,18,0,20,2,2,1353,6,1,10,10,20,11
630,24,0,44,6,2,1353,6,1,22,22,21,11
682,52,0,26,6,2,1218,6,1,10,16,22,10
716,34,0,24,6,2,1110,6,1,8,16,23,9
748,32,0,18,4,2,1353,6,1,10,8,24,11
772,24,0,14,2,2,1353,6,1,8,6,25,11
790,18,0,10,2,2,1245,6,1,4,6,26,10
804,14,0,10,4,2,1353,6,1,4,6,27,11
820,16,0,20,10,2,1353,6,1,6,14,28,11
852,32,0,34,20,2,1461,6,1,8,26,29,12
908,56,0,24,14,2,1326,6,1,12,12,30,11
948,40,2,30,8,4,1434,6,1,16,14,31,12
992,44,0,28,6,2,1785,6,1,14,14,32,15
1028,36,0,16,4,2,1785,6,1,6,10,33,15
1050,22,0,24,8,4,1785,6,1,6,18,34,15
1086,36,0,20,8,2,1677,6,1,6,14,35,14
1116,30,0,18,10,2,1677,6,1,8,10,36,14
1146,30,0,28,4,2,1677,6,1,18,10,37,14
1180,34,0,16,4,2,1434,6,1,6,10,38,12
1202,22,0,14,8,2,1542,6,1,6,8,39,13
1226,24,0,12,4,2,1677,6,1,6,6,40,14
1244,18,0,12,4,2,1812,6,1,6,6,41,15
1262,18,0,14,4,2,1677,6,1,4,10,42,14
1282,20,0,12,2,2,1569,6,1,4,8,43,13
1298,16,0,10,2,2,1731,6,1,2,8,44,14
1312,14,0,10,2,2,1461,6,1,4,6,45,12
1326,14,0,8,2,2,1434,6,1,4,4,46,12
1338,12,0,12,2,2,1461,6,1,4,8,47,12
1354,16,0,10,2,4,1596,6,1,4,6,48,13
1370,16,0,12,2,2,1677,6,1,4,8,49,14
1386,16,0,12,2,2,1569,6,1,4,8,50,13
1402,16,0,10,2,2,1731,6,1,4,6,51,14
1416,14,0,10,4,2,1461,6,1,4,6,52,12
1432,16,0,10,4,2,1569,6,1,4,6,53,13
1448,16,0,12,2,2,1326,6,1,4,8,54,11
1464,16,0,10,2,2,1326,6,1,4,6,55,11
1478,14,0,12,2,2,1569,6,1,4,8,56,13
1494,16,0,10,4,2,1569,6,1,4,6,57,13
1510,16,0,12,2,2,1461,6,1,4,8,58,12
1526,16,0,12,2,2,1461,6,1,4,8,59,12
1542,16,0,12,2,2,1461,6,1,4,8,60,12
1558,16,0,10,2,2,1461,6,1,4,6,61,12
1572,14,0,12,2,2,1434,6,1,4,8,62,12
1588,16,0,10,2,2,1434,6,1,4,6,63,12
# complete
