# clock_hz=120,fenced=1,submitted=64,acknowledged=64,unrecorded=0,timeout=0,run_ticks=1246,startup_ticks=2,drain_ticks=0,workload=1,no_sky=1,no_traffic=0,mirror=0,light=0,recorded=64,pose_hash=1844998336,road_bytes=98931
start,interval,physics,projection,submit,fence,road_bytes,cars,mirrored,geometry,bands,pose,band_count
0,0,0,10,2,2,1677,6,0,4,6,0,14
14,14,0,14,4,2,1785,6,0,6,8,1,15
34,20,0,16,2,2,1677,6,0,6,10,2,14
54,20,0,16,2,2,1785,6,0,6,10,3,15
74,20,0,18,4,2,1677,6,0,6,12,4,14
98,24,0,16,2,2,1677,6,0,8,8,5,14
118,20,0,12,2,2,1542,6,0,6,6,6,13
134,16,0,14,4,2,1542,6,0,6,8,7,13
154,20,0,16,4,2,1785,6,0,6,10,8,15
176,22,0,14,4,2,1812,6,0,6,8,9,15
196,20,0,16,4,2,1785,6,0,6,10,10,15
218,22,0,16,2,2,1677,6,0,6,10,11,14
238,20,0,14,4,2,1731,6,0,6,8,12,14
258,20,0,14,2,2,1461,6,0,4,10,13,12
276,18,0,14,2,2,1434,6,0,6,8,14,12
294,18,0,14,4,2,1326,6,0,6,8,15,11
314,20,0,12,4,2,1596,6,0,6,6,16,13
332,18,0,14,4,2,1677,6,0,6,8,17,14
352,20,0,16,2,2,1461,6,0,6,10,18,12
372,20,0,14,2,2,1623,6,0,6,8,19,13
390,18,0,14,2,2,1353,6,0,4,10,20,11
408,18,0,12,2,2,1353,6,0,6,6,21,11
424,16,0,16,2,2,1218,6,0,6,10,22,10
444,20,0,14,2,2,1110,6,0,4,10,23,9
462,18,0,14,2,2,1353,6,0,6,8,24,11
480,18,0,14,4,2,1353,6,0,6,8,25,11
500,20,0,16,2,2,1245,6,0,6,10,26,10
520,20,0,14,4,2,1353,6,0,6,8,27,11
540,20,0,14,2,2,1353,6,0,6,8,28,11
558,18,0,14,4,2,1461,6,0,6,8,29,12
578,20,0,16,2,2,1326,6,0,6,10,30,11
598,20,0,14,4,2,1434,6,0,4,10,31,12
618,20,0,14,4,2,1785,6,0,6,8,32,15
638,20,0,16,2,2,1785,6,0,6,10,33,15
658,20,0,16,4,2,1785,6,0,6,10,34,15
680,22,0,16,2,2,1677,6,0,6,10,35,14
700,20,0,14,4,2,1677,6,0,6,8,36,14
720,20,0,16,2,2,1677,6,0,6,10,37,14
740,20,0,16,2,2,1434,6,0,6,10,38,12
760,20,0,14,4,2,1542,6,0,4,10,39,13
780,20,0,16,2,2,1677,6,0,6,10,40,14
800,20,0,14,2,2,1812,6,0,6,8,41,15
818,18,0,16,2,2,1677,6,0,6,10,42,14
838,20,0,14,4,2,1569,6,0,6,8,43,13
858,20,0,14,2,2,1731,6,0,6,8,44,14
876,18,0,14,4,2,1461,6,0,6,8,45,12
896,20,0,12,4,2,1434,6,0,6,6,46,12
914,18,0,14,4,2,1461,6,0,6,8,47,12
934,20,0,14,2,2,1596,6,0,6,8,48,13
952,18,0,14,4,2,1677,6,0,6,8,49,14
972,20,0,16,2,2,1569,6,0,6,10,50,13
992,20,0,14,2,2,1731,6,0,4,10,51,14
1010,18,0,14,4,2,1461,6,0,6,8,52,12
1030,20,0,14,4,2,1569,6,0,6,8,53,13
1050,20,0,16,4,2,1326,6,0,6,10,54,11
1072,22,0,16,2,2,1326,6,0,6,10,55,11
1092,20,0,10,4,2,1569,6,0,4,6,56,13
1108,16,0,14,4,2,1569,6,0,4,10,57,13
1128,20,0,16,2,2,1461,6,0,6,10,58,12
1148,20,0,18,2,2,1461,6,0,8,10,59,12
1170,22,0,12,4,2,1461,6,0,6,6,60,12
1188,18,0,18,2,2,1461,6,0,8,10,61,12
1210,22,0,16,2,2,1434,6,0,8,8,62,12
1230,20,0,12,2,2,1434,6,0,4,8,63,12
# complete
