# clock_hz=120,fenced=1,submitted=64,acknowledged=64,unrecorded=0,timeout=0,run_ticks=1228,startup_ticks=2,drain_ticks=0,workload=1,no_sky=0,no_traffic=1,mirror=0,light=0,recorded=64,pose_hash=1844998336,road_bytes=98931
start,interval,physics,projection,submit,fence,road_bytes,cars,mirrored,geometry,bands,pose,band_count
0,0,0,14,2,2,1677,0,0,6,8,0,14
18,18,0,16,2,2,1785,0,0,6,10,1,15
38,20,0,16,2,2,1677,0,0,6,10,2,14
58,20,0,16,2,2,1785,0,0,6,10,3,15
78,20,0,14,2,2,1677,0,0,6,8,4,14
96,18,0,16,0,2,1677,0,0,6,10,5,14
114,18,0,16,2,2,1542,0,0,6,10,6,13
134,20,0,14,2,2,1542,0,0,6,8,7,13
152,18,0,16,2,2,1785,0,0,6,10,8,15
172,20,0,14,2,2,1812,0,0,6,8,9,15
190,18,0,16,2,2,1785,0,0,6,10,10,15
210,20,0,28,18,2,1677,0,0,10,18,11,14
258,48,0,16,2,2,1731,0,0,10,6,12,14
278,20,0,24,2,2,1461,0,0,4,20,13,12
306,28,0,22,2,2,1434,0,0,10,12,14,12
332,26,0,20,0,2,1326,0,0,6,14,15,11
354,22,0,34,2,2,1596,0,0,22,12,16,13
392,38,0,18,2,2,1677,0,0,6,12,17,14
414,22,0,24,8,2,1461,0,0,12,12,18,12
448,34,0,18,2,2,1623,0,0,8,10,19,13
470,22,0,14,2,2,1353,0,0,6,8,20,11
488,18,0,14,4,2,1353,0,0,8,6,21,11
508,20,8,18,2,2,1218,0,0,8,10,22,10
538,30,0,16,6,2,1110,0,0,6,10,23,9
562,24,0,12,0,2,1353,0,0,4,8,24,11
576,14,0,12,2,2,1353,0,0,6,6,25,11
592,16,0,24,2,2,1245,0,0,8,16,26,10
620,28,0,14,4,2,1353,0,0,6,8,27,11
640,20,0,20,2,2,1353,0,0,6,14,28,11
664,24,0,14,0,2,1461,0,0,6,8,29,12
680,16,0,18,2,2,1326,0,0,6,12,30,11
702,22,0,24,0,2,1434,0,0,12,12,31,12
728,26,0,16,2,2,1785,0,0,6,10,32,15
748,20,0,14,2,2,1785,0,0,4,10,33,15
766,18,0,14,2,2,1785,0,0,4,10,34,15
784,18,0,12,2,2,1677,0,0,4,8,35,14
800,16,0,20,4,2,1677,0,0,8,12,36,14
826,26,0,18,2,2,1677,0,0,10,8,37,14
848,22,0,12,2,2,1434,0,0,4,8,38,12
864,16,0,12,2,2,1542,0,0,4,8,39,13
880,16,0,12,2,2,1677,0,0,4,8,40,14
896,16,0,10,2,2,1812,0,0,4,6,41,15
910,14,0,12,0,2,1677,0,0,4,8,42,14
924,14,0,12,4,2,1569,0,0,6,6,43,13
942,18,0,10,2,2,1731,0,0,4,6,44,14
956,14,0,10,2,2,1461,0,0,4,6,45,12
970,14,0,14,0,2,1434,0,0,6,8,46,12
986,16,0,10,2,2,1461,0,0,4,6,47,12
1000,14,0,8,2,2,1596,0,0,4,4,48,13
1012,12,0,10,2,2,1677,0,0,4,6,49,14
1026,14,0,10,2,2,1569,0,0,4,6,50,13
1040,14,0,10,2,2,1731,0,0,4,6,51,14
1054,14,0,8,2,2,1461,0,0,4,4,52,12
1066,12,0,10,2,2,1569,0,0,4,6,53,13
1080,14,0,10,0,2,1326,0,0,4,6,54,11
1092,12,0,12,0,2,1326,0,0,4,8,55,11
1106,14,0,10,0,2,1569,0,0,4,6,56,13
1118,12,0,10,2,2,1569,0,0,4,6,57,13
1132,14,0,10,2,2,1461,0,0,4,6,58,12
1146,14,0,12,0,2,1461,0,0,4,8,59,12
1160,14,0,14,0,2,1461,0,0,4,10,60,12
1176,16,0,14,2,2,1461,0,0,6,8,61,12
1194,18,0,12,2,2,1434,0,0,4,8,62,12
1210,16,0,14,2,2,1434,0,0,6,8,63,12
# complete
