# clock_hz=120,fenced=1,submitted=64,acknowledged=64,unrecorded=0,timeout=0,run_ticks=1204,startup_ticks=2,drain_ticks=0,workload=1,no_sky=0,no_traffic=0,mirror=0,light=0,recorded=64,pose_hash=1844998336,road_bytes=98931
start,interval,physics,projection,submit,fence,road_bytes,cars,mirrored,geometry,bands,pose,band_count
0,0,0,16,4,2,1677,6,0,8,8,0,14
22,22,0,14,4,2,1785,6,0,6,8,1,15
42,20,0,16,4,2,1677,6,0,6,10,2,14
64,22,0,16,4,2,1785,6,0,6,10,3,15
86,22,0,28,6,2,1677,6,0,14,14,4,14
122,36,0,16,4,2,1677,6,0,6,10,5,14
144,22,0,16,4,2,1542,6,0,6,10,6,13
166,22,0,16,2,2,1542,6,0,6,10,7,13
186,20,0,10,4,2,1785,6,0,4,6,8,15
202,16,0,12,2,2,1812,6,0,4,8,9,15
218,16,0,12,2,4,1785,6,0,4,8,10,15
236,18,0,10,4,2,1677,6,0,4,6,11,14
252,16,0,10,2,2,1731,6,0,4,6,12,14
266,14,0,12,2,2,1461,6,0,4,8,13,12
282,16,0,12,2,2,1434,6,0,4,8,14,12
298,16,0,12,4,2,1326,6,0,4,8,15,11
316,18,0,10,2,2,1596,6,0,4,6,16,13
330,14,0,12,2,2,1677,6,0,4,8,17,14
346,16,0,10,2,2,1461,6,0,4,6,18,12
360,14,0,10,2,2,1623,6,0,4,6,19,13
374,14,0,10,2,2,1353,6,0,4,6,20,11
388,14,0,10,2,2,1353,6,0,4,6,21,11
402,14,0,12,2,2,1218,6,0,4,8,22,10
418,16,0,10,2,2,1110,6,0,4,6,23,9
432,14,0,10,2,2,1353,6,0,4,6,24,11
446,14,0,12,2,2,1353,6,0,4,8,25,11
462,16,0,12,0,2,1245,6,0,4,8,26,10
476,14,0,12,0,2,1353,6,0,4,8,27,11
490,14,0,10,2,2,1353,6,0,4,6,28,11
504,14,0,10,4,2,1461,6,0,4,6,29,12
520,16,0,12,4,2,1326,6,0,4,8,30,11
538,18,0,14,2,2,1434,6,0,4,10,31,12
556,18,0,12,2,2,1785,6,0,4,8,32,15
572,16,0,12,4,2,1785,6,0,4,8,33,15
590,18,0,16,2,2,1785,6,0,8,8,34,15
610,20,0,10,4,2,1677,6,0,4,6,35,14
626,16,0,12,2,2,1677,6,0,4,8,36,14
642,16,0,12,2,2,1677,6,0,4,8,37,14
658,16,0,32,6,2,1434,6,0,8,24,38,12
698,40,0,22,2,2,1542,6,0,12,10,39,13
724,26,0,12,2,2,1677,6,0,4,8,40,14
740,16,0,10,4,2,1812,6,0,4,6,41,15
756,16,0,14,2,2,1677,6,0,6,8,42,14
774,18,0,12,2,2,1569,6,0,4,8,43,13
790,16,0,12,2,2,1731,6,0,4,8,44,14
806,16,0,12,2,2,1461,6,0,4,8,45,12
822,16,0,10,2,2,1434,6,0,4,6,46,12
836,14,0,12,4,2,1461,6,0,4,8,47,12
854,18,0,12,2,2,1596,6,0,4,8,48,13
870,16,0,18,4,2,1677,6,0,10,8,49,14
894,24,0,12,2,2,1569,6,0,4,8,50,13
910,16,0,12,2,2,1731,6,0,4,8,51,14
926,16,0,14,4,2,1461,6,0,6,8,52,12
946,20,0,16,2,2,1569,6,0,6,10,53,13
966,20,0,14,2,2,1326,6,0,4,10,54,11
984,18,0,14,4,2,1326,6,0,6,8,55,11
1004,20,0,14,6,2,1569,6,0,6,8,56,13
1026,22,0,14,2,2,1569,6,0,4,10,57,13
1044,18,0,16,2,2,1461,6,0,6,10,58,12
1064,20,0,36,4,2,1461,6,0,22,14,59,12
1106,42,0,16,12,4,1461,6,0,4,12,60,12
1138,32,0,26,2,2,1461,6,0,18,8,61,12
1168,30,0,16,2,2,1434,6,0,6,10,62,12
1188,20,0,12,2,2,1434,6,0,6,6,63,12
# complete
