# clock_hz=120,fenced=1,submitted=64,acknowledged=64,unrecorded=0,timeout=0,run_ticks=1234,startup_ticks=2,drain_ticks=0,workload=1,no_sky=0,no_traffic=0,mirror=1,light=0,recorded=64,pose_hash=1844998336,road_bytes=98931
start,interval,physics,projection,submit,fence,road_bytes,cars,mirrored,geometry,bands,pose,band_count
0,0,0,14,4,2,1677,6,1,4,10,0,14
20,20,0,16,2,2,1785,6,1,6,10,1,15
40,20,0,16,4,2,1677,6,1,6,10,2,14
62,22,0,16,2,2,1785,6,1,6,10,3,15
82,20,0,14,4,2,1677,6,1,6,8,4,14
102,20,0,18,6,2,1677,6,1,10,8,5,14
128,26,0,12,2,2,1542,6,1,4,8,6,13
144,16,0,14,4,2,1542,6,1,6,8,7,13
164,20,0,14,4,2,1785,6,1,6,8,8,15
184,20,0,14,4,2,1812,6,1,6,8,9,15
204,20,0,16,2,2,1785,6,1,6,10,10,15
224,20,0,14,4,2,1677,6,1,6,8,11,14
244,20,0,14,2,2,1731,6,1,6,8,12,14
262,18,0,14,4,2,1461,6,1,6,8,13,12
282,20,0,14,2,2,1434,6,1,6,8,14,12
300,18,0,14,4,2,1326,6,1,6,8,15,11
320,20,0,14,2,2,1596,6,1,6,8,16,13
338,18,0,14,4,2,1677,6,1,6,8,17,14
358,20,0,16,2,2,1461,6,1,6,10,18,12
378,20,0,12,4,2,1623,6,1,6,6,19,13
396,18,0,14,2,2,1353,6,1,6,8,20,11
414,18,0,12,4,2,1353,6,1,4,8,21,11
432,18,0,16,2,2,1218,6,1,4,12,22,10
452,20,0,14,4,2,1110,6,1,6,8,23,9
472,20,0,14,2,2,1353,6,1,6,8,24,11
490,18,0,14,8,2,1353,6,1,6,8,25,11
514,24,0,12,2,2,1245,6,1,4,8,26,10
530,16,0,10,2,2,1353,6,1,4,6,27,11
544,14,0,10,2,2,1353,6,1,4,6,28,11
558,14,0,10,2,2,1461,6,1,4,6,29,12
572,14,0,12,2,2,1326,6,1,4,8,30,11
588,16,0,14,4,2,1434,6,1,6,8,31,12
608,20,0,16,2,2,1785,6,1,6,10,32,15
628,20,0,16,2,2,1785,6,1,6,10,33,15
648,20,0,16,4,2,1785,6,1,6,10,34,15
670,22,0,16,2,2,1677,6,1,4,12,35,14
690,20,0,14,4,2,1677,6,1,6,8,36,14
710,20,0,14,4,2,1677,6,1,4,10,37,14
730,20,0,16,2,2,1434,6,1,6,10,38,12
750,20,0,14,4,2,1542,6,1,6,8,39,13
770,20,0,14,4,2,1677,6,1,6,8,40,14
790,20,0,14,2,2,1812,6,1,6,8,41,15
808,18,0,16,2,2,1677,6,1,6,10,42,14
828,20,0,14,4,2,1569,6,1,6,8,43,13
848,20,0,14,2,2,1731,6,1,8,6,44,14
866,18,0,14,2,2,1461,6,1,6,8,45,12
884,18,0,14,2,2,1434,6,1,6,8,46,12
902,18,0,14,4,2,1461,6,1,6,8,47,12
922,20,0,12,4,2,1596,6,1,4,8,48,13
940,18,0,16,2,2,1677,6,1,6,10,49,14
960,20,0,16,2,2,1569,6,1,6,10,50,13
980,20,0,14,2,2,1731,6,1,6,8,51,14
998,18,0,14,4,2,1461,6,1,6,8,52,12
1018,20,0,16,2,2,1569,6,1,6,10,53,13
1038,20,0,14,2,2,1326,6,1,4,10,54,11
1056,18,0,14,2,2,1326,6,1,6,8,55,11
1074,18,0,14,4,2,1569,6,1,6,8,56,13
1094,20,0,14,4,2,1569,6,1,6,8,57,13
1114,20,0,16,2,2,1461,6,1,4,12,58,12
1134,20,0,14,4,2,1461,6,1,6,8,59,12
1154,20,0,14,2,2,1461,6,1,4,10,60,12
1172,18,0,14,4,2,1461,6,1,6,8,61,12
1192,20,0,16,4,2,1434,6,1,6,10,62,12
1214,22,0,16,2,2,1434,6,1,6,10,63,12
# complete
