# clock_hz=120,fenced=1,submitted=504,acknowledged=504,unrecorded=0,timeout=0,run_ticks=2400,startup_ticks=2,drain_ticks=0,workload=0,no_sky=0,no_traffic=0,mirror=0,light=0,recorded=504,pose_hash=0,road_bytes=161995,fixed_bands=1
start,interval,physics,projection,submit,fence,road_bytes,cars,mirrored,geometry,bands,pose,band_count
0,0,0,0,2,2,305,6,0,0,0,0,11
4,4,0,2,2,2,305,6,0,2,0,0,11
10,6,2,0,2,2,305,6,0,0,0,0,11
16,6,2,0,2,2,305,6,0,0,0,0,11
22,6,0,2,2,2,305,6,0,2,0,0,11
28,6,0,2,2,2,305,6,0,2,0,0,11
34,6,0,2,2,2,305,6,0,2,0,0,11
40,6,0,2,2,2,305,6,0,2,0,0,11
46,6,0,2,2,2,280,6,0,2,0,0,10
52,6,0,2,2,2,280,6,0,2,0,0,10
58,6,0,2,2,2,280,6,0,2,0,0,10
64,6,0,2,2,2,305,6,0,2,0,0,11
70,6,2,0,2,2,305,6,0,0,0,0,11
76,6,2,0,2,2,280,6,0,0,0,0,10
82,6,0,2,2,2,280,6,0,2,0,0,10
88,6,0,2,2,2,280,6,0,2,0,0,10
94,6,2,0,2,2,305,6,0,0,0,0,11
100,6,0,2,2,2,280,6,0,2,0,0,10
106,6,2,0,2,2,280,6,0,0,0,0,10
112,6,0,2,2,2,305,6,0,2,0,0,11
118,6,2,0,2,2,280,6,0,0,0,0,10
124,6,2,2,0,2,280,6,0,0,2,0,10
130,6,0,2,2,2,305,6,0,2,0,0,11
136,6,2,0,2,2,280,6,0,0,0,0,10
142,6,2,0,2,2,280,6,0,0,0,0,10
148,6,0,2,2,2,305,6,0,2,0,0,11
154,6,2,0,2,2,280,6,0,0,0,0,10
160,6,0,2,2,2,280,6,0,2,0,0,10
166,6,2,0,2,2,305,6,0,0,0,0,11
172,6,0,2,2,2,280,6,0,2,0,0,10
178,6,0,2,2,2,280,6,0,2,0,0,10
184,6,0,2,2,2,305,6,0,2,0,0,11
190,6,0,2,2,2,280,6,0,2,0,0,10
196,6,2,0,2,2,280,6,0,0,0,0,10
202,6,0,2,2,2,305,6,0,2,0,0,11
208,6,2,0,2,2,280,6,0,0,0,0,10
214,6,0,2,2,2,280,6,0,2,0,0,10
220,6,2,0,2,2,305,6,0,0,0,0,11
226,6,0,2,2,2,280,6,0,2,0,0,10
232,6,0,2,2,2,280,6,0,2,0,0,10
238,6,0,2,2,2,305,6,0,2,0,0,11
244,6,2,0,2,2,280,6,0,0,0,0,10
250,6,2,0,2,2,280,6,0,0,0,0,10
256,6,0,2,2,2,305,6,0,2,0,0,11
262,6,2,0,2,2,280,6,0,0,0,0,10
268,6,0,2,2,2,280,5,0,2,0,0,10
274,6,0,2,2,2,305,5,0,2,0,0,11
280,6,0,2,2,2,280,5,0,2,0,0,10
286,6,0,2,0,2,280,5,0,2,0,0,10
290,4,0,2,2,2,305,5,0,2,0,0,11
296,6,2,0,2,2,280,5,0,0,0,0,10
302,6,2,0,2,2,280,5,0,0,0,0,10
308,6,0,2,0,2,305,5,0,2,0,0,11
312,4,2,0,2,2,305,5,0,0,0,0,11
318,6,2,0,2,2,280,5,0,0,0,0,10
324,6,0,2,2,2,305,5,0,2,0,0,11
330,6,2,0,2,2,305,5,0,0,0,0,11
336,6,2,0,2,2,280,5,0,0,0,0,10
342,6,2,0,2,2,305,5,0,0,0,0,11
348,6,0,2,2,2,305,5,0,2,0,0,11
354,6,2,0,2,2,280,5,0,0,0,0,10
360,6,2,0,2,2,305,5,0,0,0,0,11
366,6,2,0,2,2,305,5,0,0,0,0,11
372,6,0,2,2,2,280,5,0,2,0,0,10
378,6,2,0,2,2,305,5,0,0,0,0,11
384,6,0,2,2,2,305,5,0,2,0,0,11
390,6,0,2,2,2,280,5,0,2,0,0,10
396,6,2,0,2,2,305,5,0,0,0,0,11
402,6,0,2,2,2,305,5,0,2,0,0,11
408,6,2,0,2,2,280,5,0,0,0,0,10
414,6,2,0,2,2,305,5,0,0,0,0,11
420,6,0,2,2,2,305,5,0,2,0,0,11
426,6,0,2,2,2,280,5,0,2,0,0,10
432,6,0,2,2,2,305,5,0,2,0,0,11
438,6,0,2,2,2,305,5,0,2,0,0,11
444,6,0,2,2,2,280,5,0,2,0,0,10
450,6,2,0,2,2,305,5,0,0,0,0,11
456,6,0,2,0,2,280,5,0,2,0,0,10
460,4,0,0,2,2,280,5,0,0,0,0,10
464,4,0,2,0,2,280,5,0,0,2,0,10
468,4,0,2,0,2,305,5,0,0,2,0,11
472,4,0,2,2,2,305,5,0,0,2,0,11
478,6,2,0,2,2,280,5,0,0,0,0,10
484,6,2,0,2,2,280,5,0,0,0,0,10
490,6,0,2,0,2,305,4,0,2,0,0,11
494,4,0,2,0,2,280,4,0,2,0,0,10
498,4,0,2,0,2,280,4,0,0,2,0,10
502,4,0,2,2,2,305,4,0,0,2,0,11
508,6,0,2,2,2,305,4,0,2,0,0,11
514,6,0,2,2,2,280,4,0,2,0,0,10
520,6,2,0,2,2,305,4,0,0,0,0,11
526,6,2,0,2,2,305,4,0,0,0,0,11
532,6,2,0,2,2,280,4,0,0,0,0,10
538,6,2,0,2,2,305,4,0,0,0,0,11
544,6,2,0,2,2,305,4,0,0,0,0,11
550,6,0,2,2,2,280,4,0,2,0,0,10
556,6,2,0,2,2,305,4,0,0,0,0,11
562,6,0,2,2,2,305,4,0,2,0,0,11
568,6,0,2,2,2,280,4,0,2,0,0,10
574,6,2,0,2,2,305,4,0,0,0,0,11
580,6,2,0,2,2,305,4,0,0,0,0,11
586,6,2,0,2,2,280,3,0,0,0,0,10
592,6,2,0,2,2,305,3,0,0,0,0,11
598,6,2,0,2,2,305,3,0,0,0,0,11
604,6,0,2,0,2,280,3,0,2,0,0,10
608,4,0,2,0,2,280,3,0,0,2,0,10
612,4,0,2,0,2,305,3,0,2,0,0,11
616,4,0,2,2,2,305,3,0,2,0,0,11
622,6,2,0,2,2,280,3,0,0,0,0,10
628,6,2,0,0,2,305,3,0,0,0,0,11
632,4,0,2,0,2,305,3,0,2,0,0,11
636,4,0,2,0,2,280,3,0,0,2,0,10
640,4,0,2,0,2,280,3,0,2,0,0,10
644,4,2,0,2,2,280,3,0,0,0,0,10
650,6,0,2,0,2,305,3,0,2,0,0,11
654,4,0,2,0,2,280,3,0,2,0,0,10
658,4,2,0,0,2,280,3,0,0,0,0,10
662,4,0,2,0,2,280,3,0,2,0,0,10
666,4,0,2,0,2,305,3,0,2,0,0,11
670,4,0,2,2,2,305,3,0,0,2,0,11
676,6,0,2,2,2,280,3,0,2,0,0,10
682,6,0,0,2,2,305,3,0,0,0,0,11
686,4,0,2,0,2,305,3,0,0,2,0,11
690,4,0,2,0,2,280,3,0,0,2,0,10
694,4,0,2,0,2,280,3,0,2,0,0,10
698,4,0,2,0,2,280,3,0,2,0,0,10
702,4,0,2,0,2,305,3,0,2,0,0,11
706,4,0,2,0,2,280,3,0,0,2,0,10
710,4,0,2,0,2,280,3,0,0,2,0,10
714,4,0,2,0,2,280,3,0,2,0,0,10
718,4,0,2,2,2,305,3,0,2,0,0,11
724,6,0,2,0,2,280,3,0,2,0,0,10
728,4,0,2,0,2,280,3,0,2,0,0,10
732,4,0,2,0,2,280,3,0,2,0,0,10
736,4,0,2,2,2,305,3,0,2,0,0,11
742,6,0,2,2,2,280,3,0,2,0,0,10
748,6,0,2,0,2,280,3,0,2,0,0,10
752,4,0,2,2,2,305,3,0,2,0,0,11
758,6,0,2,0,2,305,3,0,2,0,0,11
762,4,0,2,0,2,280,3,0,2,0,0,10
766,4,0,2,0,2,280,3,0,0,2,0,10
770,4,0,2,0,2,305,3,0,2,0,0,11
774,4,0,2,0,2,305,3,0,2,0,0,11
778,4,0,2,0,2,280,3,0,2,0,0,10
782,4,0,2,0,2,280,3,0,2,0,0,10
786,4,0,2,2,2,280,3,0,2,0,0,10
792,6,0,2,0,2,305,3,0,2,0,0,11
796,4,0,2,0,2,280,3,0,0,2,0,10
