# clock_hz=120,fenced=1,submitted=376,acknowledged=376,unrecorded=0,timeout=0,run_ticks=2404,startup_ticks=2,drain_ticks=0,workload=0,no_sky=0,no_traffic=0,mirror=0,light=0,recorded=376,pose_hash=0,road_bytes=203155,fixed_bands=1
start,interval,physics,projection,submit,fence,road_bytes,cars,mirrored,geometry,bands,pose,band_count
0,0,0,2,2,2,455,6,0,0,2,0,17
6,6,2,2,4,2,455,6,0,2,0,0,17
16,10,0,2,4,2,455,6,0,2,0,0,17
24,8,2,0,2,2,455,6,0,0,0,0,17
30,6,0,2,4,2,455,6,0,2,0,0,17
38,8,2,2,0,2,480,6,0,0,2,0,18
44,6,2,2,0,2,405,6,0,0,2,0,15
50,6,2,0,2,2,455,6,0,0,0,0,17
56,6,2,0,2,2,430,6,0,0,0,0,16
62,6,2,0,2,2,480,6,0,0,0,0,18
68,6,2,0,2,2,505,6,0,0,0,0,19
74,6,0,2,2,2,480,6,0,2,0,0,18
80,6,0,2,2,2,455,6,0,0,2,0,17
86,6,0,2,2,2,480,6,0,2,0,0,18
92,6,0,2,2,2,505,6,0,2,0,0,19
98,6,2,0,2,2,505,6,0,0,0,0,19
104,6,0,2,2,2,480,6,0,2,0,0,18
110,6,0,2,2,2,530,6,0,2,0,0,20
116,6,0,2,2,2,505,6,0,2,0,0,19
122,6,0,2,2,2,505,6,0,2,0,0,19
128,6,0,2,2,2,505,6,0,2,0,0,19
134,6,2,0,2,2,505,6,0,0,0,0,19
140,6,2,0,2,2,505,6,0,0,0,0,19
146,6,0,2,2,2,530,6,0,2,0,0,20
152,6,0,2,2,2,505,6,0,2,0,0,19
158,6,0,2,2,2,505,6,0,2,0,0,19
164,6,0,2,2,2,530,6,0,2,0,0,20
170,6,0,2,2,2,505,6,0,2,0,0,19
176,6,2,0,2,2,505,6,0,0,0,0,19
182,6,0,2,0,2,480,6,0,2,0,0,18
186,4,0,2,2,2,530,6,0,2,0,0,20
192,6,0,2,2,2,530,6,0,2,0,0,20
198,6,0,2,2,2,505,6,0,2,0,0,19
204,6,0,2,0,2,505,6,0,2,0,0,19
208,4,0,2,2,2,505,6,0,0,2,0,19
214,6,0,2,0,2,455,6,0,0,2,0,17
218,4,0,2,0,2,505,6,0,0,2,0,19
222,4,0,2,2,2,530,6,0,2,0,0,20
228,6,0,2,2,2,555,6,0,2,0,0,21
234,6,0,2,2,2,555,6,0,2,0,0,21
240,6,0,2,2,2,505,6,0,0,2,0,19
246,6,0,2,2,2,530,6,0,0,2,0,20
252,6,0,2,2,2,605,6,0,2,0,0,23
258,6,0,2,2,2,605,6,0,2,0,0,23
264,6,2,0,2,2,530,6,0,0,0,0,20
270,6,0,2,2,2,580,6,0,2,0,0,22
276,6,0,2,2,2,580,5,0,0,2,0,22
