# clock_hz=120,fenced=1,submitted=64,acknowledged=64,unrecorded=0,timeout=0,run_ticks=1006,startup_ticks=2,drain_ticks=0,workload=1,no_sky=0,no_traffic=0,mirror=0,light=0,recorded=64,pose_hash=4051303552,road_bytes=112809,fixed_bands=1
start,interval,physics,projection,submit,fence,road_bytes,cars,mirrored,geometry,bands,pose,band_count
0,0,0,8,4,2,1353,6,0,6,2,0,11
14,14,0,22,6,2,1245,6,0,16,6,1,10
44,30,0,10,2,2,1110,6,0,6,4,2,9
58,14,0,8,6,2,1353,6,0,6,2,3,11
74,16,0,12,2,2,1245,6,0,10,2,4,10
90,16,2,18,4,2,1353,6,0,14,4,5,11
116,26,0,14,2,2,1245,6,0,8,6,6,10
134,18,0,10,2,2,1110,6,0,6,4,7,9
148,14,0,12,4,4,1353,6,0,8,4,8,11
168,20,0,14,6,2,1893,6,0,8,6,9,16
190,22,0,10,2,2,2649,6,0,4,6,10,22
204,14,0,10,4,2,2730,6,0,4,6,11,23
220,16,0,10,2,2,2622,6,0,6,4,12,22
234,14,0,10,2,2,2082,6,0,4,6,13,17
248,14,0,8,4,2,1461,6,0,4,4,14,12
262,14,0,18,8,2,1920,6,0,12,6,15,16
290,28,0,14,4,2,2028,6,0,10,4,16,17
310,20,0,12,8,2,2163,6,0,4,8,17,18
332,22,0,10,4,2,2163,6,0,6,4,18,18
348,16,0,10,14,2,1569,6,0,8,2,19,13
374,26,0,12,4,2,1569,6,0,8,4,20,13
392,18,0,8,4,2,1569,6,0,6,2,21,13
406,14,0,14,6,2,1866,6,0,8,6,22,16
428,22,0,14,6,4,2649,6,0,8,6,23,22
452,24,0,10,8,2,2379,6,0,6,4,24,20
472,20,0,12,22,2,2541,6,0,6,6,25,21
508,36,2,28,8,2,1785,6,0,20,8,26,15
548,40,0,10,6,2,1488,6,0,8,2,27,12
566,18,0,6,2,2,1596,6,0,4,2,28,13
576,10,0,10,10,2,2028,6,0,4,6,29,17
598,22,0,14,8,2,2865,6,0,10,4,30,24
622,24,0,8,4,2,2406,6,0,4,4,31,20
636,14,0,6,0,2,1245,6,0,4,2,32,10
644,8,0,6,2,2,1461,6,0,4,2,33,12
654,10,0,12,2,2,1461,6,0,6,6,34,12
670,16,0,6,2,2,1704,6,0,4,2,35,14
680,10,0,8,2,2,2028,6,0,4,4,36,17
692,12,0,6,4,2,1677,6,0,4,2,37,14
704,12,0,10,4,2,2055,6,0,6,4,38,17
720,16,0,10,4,2,1704,6,0,6,4,39,14
736,16,0,8,4,2,1785,6,0,4,4,40,15
750,14,0,8,2,2,1920,6,0,4,4,41,16
762,12,0,6,4,2,1677,6,0,4,2,42,14
774,12,0,8,2,2,1812,6,0,4,4,43,15
786,12,0,10,2,2,1920,6,0,6,4,44,16
800,14,0,12,4,2,2298,6,0,8,4,45,19
818,18,0,6,2,2,1812,6,0,4,2,46,15
828,10,0,6,2,2,1704,6,0,4,2,47,14
838,10,0,6,4,2,1947,6,0,4,2,48,16
850,12,0,8,2,2,1920,6,0,4,4,49,16
862,12,0,8,2,2,2163,6,0,4,4,50,18
874,12,0,8,2,2,2271,6,0,4,4,51,19
886,12,0,8,2,2,2163,6,0,4,4,52,18
898,12,0,8,2,2,2082,6,0,4,4,53,17
910,12,0,6,2,2,1245,6,0,4,2,54,10
920,10,0,6,2,2,1353,6,0,4,2,55,11
930,10,0,6,2,2,1245,6,0,4,2,56,10
940,10,0,6,2,2,1110,6,0,4,2,57,9
950,10,0,6,2,2,1353,6,0,4,2,58,11
960,10,0,6,2,2,1245,6,0,4,2,59,10
970,10,0,6,2,2,1353,6,0,4,2,60,11
980,10,0,6,0,2,1245,6,0,4,2,61,10
988,8,0,6,2,2,1110,6,0,4,2,62,9
998,10,0,4,2,2,1353,6,0,4,0,63,11
# complete
