# clock_hz=120,fenced=1,submitted=64,acknowledged=64,unrecorded=0,timeout=0,run_ticks=260,startup_ticks=2,drain_ticks=0,workload=1,no_sky=0,no_traffic=0,mirror=0,light=0,recorded=64,pose_hash=4051303552,road_bytes=25795,fixed_bands=1
start,interval,physics,projection,submit,fence,road_bytes,cars,mirrored,geometry,bands,pose,band_count
0,0,0,0,0,4,305,6,0,0,0,0,11
4,4,0,0,0,4,280,6,0,0,0,1,10
8,4,0,0,2,2,280,6,0,0,0,2,10
12,4,0,0,0,4,305,6,0,0,0,3,11
16,4,0,0,0,4,305,6,0,0,0,4,11
20,4,0,0,2,2,305,6,0,0,0,5,11
24,4,0,0,0,4,280,6,0,0,0,6,10
28,4,0,0,0,4,280,6,0,0,0,7,10
32,4,0,0,2,2,305,6,0,0,0,8,11
36,4,0,0,2,2,455,6,0,0,0,9,17
40,4,0,0,2,2,580,6,0,0,0,10,22
44,4,0,0,2,2,605,6,0,0,0,11,23
48,4,0,0,2,2,605,6,0,0,0,12,23
52,4,0,0,2,2,455,6,0,0,0,13,17
56,4,0,0,2,2,355,6,0,0,0,14,13
60,4,0,0,2,2,430,6,0,0,0,15,16
64,4,0,2,2,2,455,6,0,0,2,16,17
70,6,0,0,2,2,505,6,0,0,0,17,19
74,4,0,0,2,2,480,6,0,0,0,18,18
78,4,0,0,2,2,380,6,0,0,0,19,14
82,4,0,0,2,2,355,6,0,0,0,20,13
86,4,0,0,2,2,355,6,0,0,0,21,13
90,4,0,0,2,2,455,6,0,0,0,22,17
94,4,0,0,2,2,580,6,0,0,0,23,22
98,4,0,0,2,2,555,6,0,0,0,24,21
102,4,0,0,2,2,555,6,0,0,0,25,21
106,4,0,0,0,4,405,6,0,0,0,26,15
110,4,0,0,2,2,355,6,0,0,0,27,13
114,4,0,0,2,2,355,6,0,0,0,28,13
118,4,0,0,2,2,455,6,0,0,0,29,17
122,4,0,0,2,2,630,6,0,0,0,30,24
126,4,0,0,2,2,530,6,0,0,0,31,20
130,4,0,0,0,4,305,6,0,0,0,32,11
134,4,0,0,2,2,330,6,0,0,0,33,12
138,4,0,0,2,2,355,6,0,0,0,34,13
142,4,0,0,0,4,380,6,0,0,0,35,14
146,4,0,2,0,2,455,6,0,0,2,36,17
150,4,0,0,2,2,405,6,0,0,0,37,15
154,4,0,0,2,2,455,6,0,0,0,38,17
158,4,0,2,0,2,405,6,0,0,2,39,15
162,4,0,2,0,2,405,6,0,0,2,40,15
166,4,0,0,2,2,430,6,0,0,0,41,16
170,4,0,2,0,2,405,6,0,0,2,42,15
174,4,0,0,2,2,405,6,0,0,0,43,15
178,4,0,2,0,2,430,6,0,0,2,44,16
182,4,0,2,0,2,505,6,0,0,2,45,19
186,4,0,0,2,2,405,6,0,0,0,46,15
190,4,0,0,2,2,405,6,0,0,0,47,15
194,4,0,2,0,2,430,6,0,0,2,48,16
198,4,0,0,2,2,455,6,0,0,0,49,17
202,4,0,2,0,2,480,6,0,0,2,50,18
206,4,0,2,0,2,505,6,0,0,2,51,19
210,4,0,0,4,2,505,6,0,0,0,52,19
216,6,0,0,2,2,455,6,0,0,0,53,17
220,4,0,0,2,2,305,6,0,0,0,54,11
224,4,0,0,2,2,305,6,0,0,0,55,11
228,4,0,0,2,2,280,6,0,0,0,56,10
232,4,0,2,0,2,280,6,0,0,2,57,10
236,4,0,0,2,2,305,6,0,0,0,58,11
240,4,0,0,2,2,305,6,0,0,0,59,11
244,4,0,0,2,2,305,6,0,0,0,60,11
248,4,0,0,2,2,280,6,0,0,0,61,10
252,4,0,0,2,2,280,6,0,0,0,62,10
256,4,0,0,2,2,305,6,0,0,0,63,11
# complete
