# clock_hz=120,fenced=1,submitted=64,acknowledged=64,unrecorded=0,timeout=0,run_ticks=380,startup_ticks=2,drain_ticks=0,workload=1,no_sky=0,no_traffic=0,mirror=0,light=0,recorded=64,pose_hash=1844998336,road_bytes=32895,fixed_bands=1
start,interval,physics,projection,submit,fence,road_bytes,cars,mirrored,geometry,bands,pose,band_count
0,0,0,0,2,2,455,6,0,0,0,0,17
4,4,0,6,4,2,505,6,0,2,4,1,19
16,12,0,2,2,2,505,6,0,2,0,2,19
22,6,0,2,2,2,505,6,0,0,2,3,19
28,6,0,0,4,2,480,6,0,0,0,4,18
34,6,0,0,6,2,605,6,0,0,0,5,23
42,8,0,2,2,2,605,6,0,0,2,6,23
48,6,0,4,4,2,580,6,0,2,2,7,22
58,10,0,2,4,2,630,6,0,0,2,8,24
66,8,0,2,6,2,630,6,0,2,0,9,24
76,10,0,2,4,2,555,6,0,2,0,10,21
84,8,0,4,12,2,605,6,0,2,2,11,23
102,18,0,6,12,2,730,6,0,4,2,12,28
122,20,0,4,6,2,655,6,0,4,0,13,25
134,12,0,0,10,2,580,6,0,0,0,14,22
146,12,0,0,4,2,580,6,0,0,0,15,22
152,6,0,2,2,2,630,6,0,0,2,16,24
158,6,0,6,2,2,655,6,0,4,2,17,25
168,10,2,2,2,2,530,6,0,2,0,18,20
176,8,0,0,4,2,580,6,0,0,0,19,22
182,6,0,0,2,2,480,6,0,0,0,20,18
186,4,0,0,2,2,505,6,0,0,0,21,19
190,4,0,0,2,2,405,6,0,0,0,22,15
194,4,0,0,2,2,405,6,0,0,0,23,15
198,4,0,0,2,2,405,6,0,0,0,24,15
202,4,2,0,2,2,330,6,0,0,0,25,12
208,6,0,0,0,4,280,6,0,0,0,26,10
212,4,0,0,0,4,280,6,0,0,0,27,10
216,4,0,0,2,2,330,6,0,0,0,28,12
220,4,0,0,0,4,355,6,0,0,0,29,13
224,4,0,0,2,2,355,6,0,0,0,30,13
228,4,0,0,2,2,355,6,0,0,0,31,13
232,4,0,0,2,2,430,6,0,0,0,32,16
236,4,0,0,2,2,455,6,0,0,0,33,17
240,4,0,2,2,2,455,6,0,0,2,34,17
246,6,0,0,6,2,455,6,0,0,0,35,17
254,8,0,2,4,2,580,6,0,2,0,36,22
262,8,0,0,4,2,580,6,0,0,0,37,22
268,6,0,0,2,2,580,6,0,0,0,38,22
272,4,0,0,2,2,580,6,0,0,0,39,22
276,4,0,0,2,2,655,6,0,0,0,40,25
280,4,0,0,2,2,605,6,0,0,0,41,23
284,4,0,0,2,2,580,6,0,0,0,42,22
288,4,0,2,0,2,630,6,0,0,2,43,24
292,4,0,0,2,2,630,6,0,0,0,44,24
296,4,0,2,0,2,605,6,0,0,2,45,23
300,4,0,0,2,2,630,6,0,0,0,46,24
304,4,0,2,0,2,580,6,0,0,2,47,22
308,4,0,0,2,2,580,6,0,0,0,48,22
312,4,0,0,2,2,655,6,0,0,0,49,25
316,4,0,0,2,2,555,6,0,0,0,50,21
320,4,0,0,2,2,555,6,0,0,0,51,21
324,4,0,0,2,2,455,6,0,0,0,52,17
328,4,0,0,2,2,530,6,0,0,0,53,20
332,4,0,0,2,2,455,6,0,0,0,54,17
336,4,0,0,2,2,455,6,0,0,0,55,17
340,4,0,0,2,2,455,6,0,0,0,56,17
344,4,0,0,2,2,430,6,0,0,0,57,16
348,4,0,0,4,2,430,6,0,0,0,58,16
354,6,0,0,2,2,405,6,0,0,0,59,15
358,4,0,2,0,2,455,6,0,0,2,60,17
362,4,0,0,2,2,455,6,0,0,0,61,17
366,4,0,0,2,2,455,6,0,0,0,62,17
370,4,0,4,4,2,455,6,0,0,4,63,17
# complete
