pose,road_bytes,scenery_bytes,vehicle_bytes,hud_bytes,swap_bytes,total_bytes
0,305,35,293,17,3,653
1,280,35,293,17,3,628
2,280,35,293,17,3,628
3,280,35,293,17,3,628
4,305,35,293,17,3,653
5,305,35,293,17,3,653
6,305,35,293,17,3,653
7,280,35,293,17,3,628
8,280,35,293,17,3,628
9,455,35,293,17,3,803
10,630,35,293,17,3,978
11,605,65,293,17,3,983
12,605,35,293,17,3,953
13,405,35,293,17,3,753
14,305,65,293,17,3,683
15,405,65,293,17,3,783
16,480,65,293,17,3,858
17,530,65,293,17,3,908
18,480,65,293,17,3,858
19,355,65,293,17,3,733
20,355,65,293,17,3,733
21,380,65,293,17,3,758
22,430,65,293,17,3,808
23,580,65,293,17,3,958
24,580,65,293,17,3,958
25,555,65,293,17,3,933
26,405,42,293,17,3,760
27,355,79,293,17,3,747
28,330,72,293,17,3,715
29,455,72,293,17,3,840
30,630,72,293,17,3,1015
31,530,65,293,17,3,908
32,330,35,293,17,3,678
33,305,35,293,17,3,653
34,330,65,293,17,3,708
35,380,65,293,17,3,758
36,480,65,293,17,3,858
37,430,65,293,17,3,808
38,430,65,293,17,3,808
39,405,65,293,17,3,783
40,405,65,293,17,3,783
41,405,65,293,17,3,783
42,405,65,293,17,3,783
43,380,65,293,17,3,758
44,380,65,293,17,3,758
45,455,65,293,17,3,833
46,455,65,293,17,3,833
47,430,65,293,17,3,808
48,405,65,293,17,3,783
49,430,79,293,17,3,822
50,480,72,293,17,3,865
51,530,72,293,17,3,915
52,555,72,293,17,3,940
53,455,72,293,17,3,840
54,305,72,293,17,3,690
55,280,65,293,17,3,658
56,280,65,293,17,3,658
57,280,35,293,17,3,628
58,280,35,293,17,3,628
59,305,35,293,17,3,653
60,305,35,293,17,3,653
61,280,35,293,17,3,628
62,280,35,293,17,3,628
63,280,35,293,17,3,628
