pose,road_bytes,scenery_bytes,vehicle_bytes,hud_bytes,swap_bytes,total_bytes
0,455,35,293,17,3,803
1,480,72,293,17,3,865
2,505,72,293,17,3,890
3,480,72,293,17,3,865
4,530,72,293,17,3,915
5,505,72,293,17,3,890
6,605,72,293,17,3,990
7,630,72,293,17,3,1015
8,605,72,293,17,3,990
9,630,72,293,17,3,1015
10,580,72,293,17,3,965
11,680,72,293,17,3,1065
12,705,72,293,17,3,1090
13,605,72,293,17,3,990
14,555,72,293,17,3,940
15,580,72,293,17,3,965
16,580,72,293,17,3,965
17,705,72,293,17,3,1090
18,580,72,293,17,3,965
19,555,65,293,17,3,933
20,480,65,293,17,3,858
21,480,65,293,17,3,858
22,455,65,293,17,3,833
23,355,65,293,17,3,733
24,380,65,293,17,3,758
25,330,65,293,17,3,708
26,280,65,293,17,3,658
27,280,65,293,17,3,658
28,330,65,293,17,3,708
29,355,35,293,17,3,703
30,355,35,293,17,3,703
31,355,35,293,17,3,703
32,430,35,293,17,3,778
33,430,35,293,17,3,778
34,455,35,293,17,3,803
35,530,35,293,17,3,878
36,580,35,293,17,3,928
37,605,35,293,17,3,953
38,580,65,293,17,3,958
39,630,65,293,17,3,1008
40,605,65,293,17,3,983
41,580,65,293,17,3,958
42,655,65,293,17,3,1033
43,655,65,293,17,3,1033
44,655,65,293,17,3,1033
45,530,65,293,17,3,908
46,580,65,293,17,3,958
47,530,65,293,17,3,908
48,580,65,293,17,3,958
49,680,65,293,17,3,1058
50,555,65,293,17,3,933
51,555,65,293,17,3,933
52,480,65,293,17,3,858
53,530,65,293,17,3,908
54,455,65,293,17,3,833
55,455,65,293,17,3,833
56,455,65,293,17,3,833
57,430,65,293,17,3,808
58,430,65,293,17,3,808
59,405,65,293,17,3,783
60,455,65,293,17,3,833
61,480,65,293,17,3,858
62,455,65,293,17,3,833
63,455,65,293,17,3,833
