kind,seed,bytes,calls
0,0,0,0
0,250,250,250
0,65530,65530,65530
0,4294967280,4294967280,4294967280
1,0,64,64
1,250,314,314
1,65530,65594,65594
1,4294967280,48,48
2,0,64,64
2,250,314,314
2,65530,65594,65594
2,4294967280,48,48
3,0,192,64
3,250,442,314
3,65530,65722,65594
3,4294967280,176,48
4,0,576,64
4,250,826,314
4,65530,66106,65594
4,4294967280,560,48
5,0,896,64
5,250,1146,314
5,65530,66426,65594
5,4294967280,880,48
6,0,6208,64
6,250,6458,314
6,65530,71738,65594
6,4294967280,6192,48
7,0,131072,64
7,250,131322,314
7,65530,196602,65594
7,4294967280,131056,48
# complete
