pose,bytes,calls,hash
0,743,28,1990284955
1,805,33,1892111997
2,830,33,2292751431
3,805,33,2102052475
4,855,33,155756826
5,830,33,1792588991
6,930,33,4062114992
7,955,33,725334250
8,930,33,2123129549
9,955,33,2588403447
10,905,33,19661321
11,1005,33,885617285
12,1030,33,281685100
13,930,33,3883386969
14,880,33,2874204754
15,905,33,3807365332
16,905,33,826385919
17,1030,33,1996525169
18,905,33,1056005835
19,873,32,1555035535
20,798,32,3430246078
21,798,32,1524757427
22,773,32,2288656116
23,673,32,1429473214
24,698,32,1898706993
25,648,32,722412779
26,598,32,1093241485
27,598,32,4104267673
28,648,32,1686419664
29,643,28,3747833357
30,643,28,2394587798
31,643,28,3668659624
32,718,28,1470181731
33,718,28,165446245
34,743,28,2595249487
35,818,28,3608308067
36,868,28,2759608802
37,893,28,176420711
38,898,32,1713169720
39,948,32,2061726354
40,923,32,2772576661
41,898,32,1920761567
42,973,32,825243601
43,973,32,4189905453
44,973,32,1260122612
45,848,32,2354479041
46,898,32,3713474266
47,848,32,1555385980
48,898,32,2656745671
49,998,32,2396093209
50,873,32,2107457875
51,873,32,3180947959
52,798,32,2846787846
53,848,32,3017332507
54,773,32,1517946748
55,773,32,2728704358
56,773,32,3544299257
57,748,32,2900245907
58,748,32,3632025365
59,723,32,468052481
60,773,32,3896394328
61,798,32,2038968501
62,773,32,3430418526
63,773,32,155125904
# complete
