call,valid,wrap,count,last,error,expected,matrices,nonfinite,read_errors,live_allocs,live_bytes,active_hex
0,1,1,1,0,0,1,101,0,0,3699,720579,0100500000000000ffff00003f1febff006affff2c010200ffff0000a6ff0000ffff0000a6ff0000ffff0000a6ff0000ffff0000a6ff0000ffff0000a6ff0000ffff0000a6ff0000070019000000195a
1,0,1,1,0,1,1,101,0,0,3699,720579,0100500000000000ffff00003f1febff006affff2c010200ffff0000a6ff0000ffff0000a6ff0000ffff0000a6ff0000ffff0000a6ff0000ffff0000a6ff0000ffff0000a6ff0000070019000000195a
2,0,1,1,0,1,1,101,0,0,3699,720579,0100500000000000ffff00003f1febff006affff2c010200ffff0000a6ff0000ffff0000a6ff0000ffff0000a6ff0000ffff0000a6ff0000ffff0000a6ff0000ffff0000a6ff0000070019000000195a
3,1,1,2,1,0,2,102,0,0,3702,720687,0100500001000000ffc908003f1f1500009600002c010200ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a0000000700c8000100195a
4,0,1,2,1,1,2,102,0,0,3702,720687,0100500001000000ffc908003f1f1500009600002c010200ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a0000000700c8000100195a
5,0,1,2,1,1,2,102,0,0,3702,720687,0100500001000000ffc908003f1f1500009600002c010200ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a0000000700c8000100195a
6,0,1,2,1,1,2,102,0,0,3702,720687,0100500001000000ffc908003f1f1500009600002c010200ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a0000000700c8000100195a
7,0,1,2,1,1,2,102,0,0,3702,720687,0100500001000000ffc908003f1f1500009600002c010200ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a0000000700c8000100195a
8,0,1,2,1,1,2,102,0,0,3702,720687,0100500001000000ffc908003f1f1500009600002c010200ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a0000000700c8000100195a
9,0,1,2,1,1,2,102,0,0,3702,720687,0100500001000000ffc908003f1f1500009600002c010200ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a0000000700c8000100195a
10,0,1,2,1,1,2,102,0,0,3702,720687,0100500001000000ffc908003f1f1500009600002c010200ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a0000000700c8000100195a
11,0,1,2,1,1,2,102,0,0,3702,720687,0100500001000000ffc908003f1f1500009600002c010200ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a0000000700c8000100195a
12,0,1,2,1,1,2,102,0,0,3702,720687,0100500001000000ffc908003f1f1500009600002c010200ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a0000000700c8000100195a
13,0,1,2,1,1,2,102,0,0,3702,720687,0100500001000000ffc908003f1f1500009600002c010200ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a0000000700c8000100195a
14,0,1,2,1,1,2,102,0,0,3702,720687,0100500001000000ffc908003f1f1500009600002c010200ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a0000000700c8000100195a
15,0,1,2,1,1,2,102,0,0,3702,720687,0100500001000000ffc908003f1f1500009600002c010200ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a0000000700c8000100195a
16,0,1,2,1,1,2,102,0,0,3702,720687,0100500001000000ffc908003f1f1500009600002c010200ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a0000000700c8000100195a
17,0,1,2,1,1,2,102,0,0,3702,720687,0100500001000000ffc908003f1f1500009600002c010200ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a0000000700c8000100195a
18,0,1,2,1,1,2,102,0,0,3702,720687,0100500001000000ffc908003f1f1500009600002c010200ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a0000000700c8000100195a
19,0,1,2,1,1,2,102,0,0,3702,720687,0100500001000000ffc908003f1f1500009600002c010200ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a0000000700c8000100195a
20,0,1,2,1,1,2,102,0,0,3702,720687,0100500001000000ffc908003f1f1500009600002c010200ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a0000000700c8000100195a
21,0,1,2,1,1,2,102,0,0,3702,720687,0100500001000000ffc908003f1f1500009600002c010200ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a0000000700c8000100195a
22,0,1,2,1,1,2,102,0,0,3702,720687,0100500001000000ffc908003f1f1500009600002c010200ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a0000000700c8000100195a
23,0,1,2,1,1,2,102,0,0,3702,720687,0100500001000000ffc908003f1f1500009600002c010200ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a0000000700c8000100195a
24,0,1,2,1,1,2,102,0,0,3702,720687,0100500001000000ffc908003f1f1500009600002c010200ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a0000000700c8000100195a
25,0,1,2,1,1,2,102,0,0,3702,720687,0100500001000000ffc908003f1f1500009600002c010200ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a0000000700c8000100195a
26,0,1,2,1,1,2,102,0,0,3702,720687,0100500001000000ffc908003f1f1500009600002c010200ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a0000000700c8000100195a
27,0,1,2,1,1,2,102,0,0,3702,720687,0100500001000000ffc908003f1f1500009600002c010200ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a0000000700c8000100195a
28,0,1,2,1,1,2,102,0,0,3702,720687,0100500001000000ffc908003f1f1500009600002c010200ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a0000000700c8000100195a
29,0,1,2,1,1,2,102,0,0,3702,720687,0100500001000000ffc908003f1f1500009600002c010200ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a000000ffc908005a0000000700c8000100195a
