kind,ordinal,begin_ns,end_ns
1,0,88614981584267,88614995548092
0,0,88614981581907,88615012204322
1,1,88626852686775,88626852687295
0,1,88626852685945,88626859068931
1,2,88626866862779,88626874449048
0,2,88626866862729,88626894887949
1,3,88626897457935,88626910357786
0,3,88626897457855,88626925816133
1,4,88626947483456,88626947483586
0,4,88626947483406,88626962113408
1,5,88626965113092,88626977583655
0,5,88626965113062,88626993061182
1,6,88626995486698,88627008521179
0,6,88626995486648,88627028962969
1,7,88627032311931,88627044427266
0,7,88627032311781,88627059892223
1,8,88627062266110,88627075360560
0,8,88627062266070,88627090817867
1,9,88627093124014,88627111318207
0,9,88627093123984,88627126760624
1,10,88627129316080,88627142215421
0,10,88627129316050,88627157663068
1,11,88627160349473,88627178109218
0,11,88627160349423,88627193565265
1,12,88627196121141,88627209007562
0,12,88627196121081,88627224489399
1,13,88627227901090,88627245010768
0,13,88627227901060,88627260391036
1,14,88627264703813,88627275874013
0,14,88627264703723,88627291350000
1,15,88627295639467,88627311868999
0,15,88627295639387,88627327326206
1,16,88627331786303,88627342784643
0,16,88627331786213,88627358261670
1,17,88627362203599,88627378854210
0,17,88627362203529,88627394274607
1,18,88627397347850,88627410033592
0,18,88627397347760,88627425515409
1,19,88627428704232,88627441242355
0,19,88627428704202,88627461790224
1,20,88627465776123,88627477595919
0,20,88627465776103,88627493419534
1,21,88627496824516,88627508907531
0,21,88627496824496,88627524396158
1,22,88627527690710,88627544925868
0,22,88627527690660,88627560398365
1,23,88627563261879,88627575867272
0,23,88627563261849,88627591323849
1,24,88627594185893,88627611827189
0,24,88627594185863,88627627375485
1,25,88627630949016,88627642842172
0,25,88627630948946,88627658236659
1,26,88627663305482,88627678671910
0,26,88627663305432,88627694109497
1,27,88627698550483,88627709967622
0,27,88627698550453,88627725849816
1,28,88627729556816,88627741671761
0,28,88627729556786,88627762201461
1,29,88627766244379,88627777675488
0,29,88627766244359,88627793112065
1,30,88627796841285,88627808580282
0,30,88627796841165,88627829131422
1,31,88627832912341,88627844869057
0,31,88627832912171,88627860395364
1,32,88627863383868,88627875879661
0,32,88627863383838,88627891259138
1,33,88627894880808,88627911779488
0,33,88627894880748,88627927565833
1,34,88627932038479,88627943367808
0,34,88627932038369,88627959118764
1,35,88627963139442,88627974572270
0,35,88627963139362,88627995055290
1,36,88627998591852,88628010518078
0,36,88627998591782,88628025909295
1,37,88628029325857,88628041377632
0,37,88628029325787,88628061820012
1,38,88628064700127,88628077288999
0,38,88628064700057,88628092740126
1,39,88628095803639,88628108192113
0,39,88628095803579,88628128692753
1,40,88628132422263,88628144110690
0,40,88628132421893,88628159575717
1,41,88628162854939,88628175003534
0,41,88628162854879,88628195504014
1,42,88628198905696,88628210960721
0,42,88628198905616,88628226428938
1,43,88628229666321,88628241880435
0,43,88628229666271,88628262390805
1,44,88628265935936,88628277836822
0,44,88628265935856,88628293287019
1,45,88628297100169,88628308744386
0,45,88628297100099,88628324194233
1,46,88628327952873,88628344696643
0,46,88628327952813,88628360112830
1,47,88628363527972,88628375484918
0,47,88628363527912,88628390860205
1,48,88628393989888,88628411368885
0,48,88628393989848,88628426695922
1,49,88628429984705,88628442118060
0,49,88628429984655,88628457567567
1,50,88628460678500,88628478056387
0,50,88628460678450,88628493504894
1,51,88628496938195,88628508960801
0,51,88628496938155,88628524832825
1,52,88628527703990,88628545485085
0,52,88628527703940,88628561028011
1,53,88628565127279,88628576505128
0,53,88628565127239,88628592033525
1,54,88628596065213,88628607499021
0,54,88628596065163,88628628064691
1,55,88628632149689,88628643519108
0,55,88628632149609,88628658965245
1,56,88628663111213,88628674409552
0,56,88628663111193,88628694907122
1,57,88628698965550,88628710369269
0,57,88628698965510,88628725821266
1,58,88628729282247,88628741276923
0,58,88628729282227,88628761777593
1,59,88628764286690,88628777232880
0,59,88628764286660,88628792683237
1,60,88628795184584,88628808143274
0,60,88628795184554,88628828676624
1,61,88628831614778,88628844191590
0,61,88628831614498,88628859638967
1,62,88628865319267,88628875453753
0,62,88628865319107,88628891293997
1,63,88628894756219,88628911816497
0,63,88628894756139,88628927288234
1,64,88628930787865,88628942768171
0,64,88628930787785,88628958223338
1,65,88628961518350,88628978769798
0,65,88628961518270,88628994580643
1,66,88628997199109,88629010063290
0,66,88628997199079,88629025598966
1,67,88629028108353,88629041464291
0,67,88629028108273,88629062331299
# complete
