kind,ordinal,begin_ns,end_ns
1,0,88632825761628,88632839306776
0,0,88632825759438,88632856095825
1,1,88635068614833,88635068650333
0,1,88635068614053,88635089238073
1,2,88635110801757,88635110802107
0,2,88635110801697,88635120568514
1,3,88635133155167,88635136268350
0,3,88635133155107,88635151973176
1,4,88635186652169,88635186652519
0,4,88635186652099,88635188434560
1,5,88635208391323,88635208391693
0,5,88635208391243,88635219820191
1,6,88635229497209,88635235519367
0,6,88635229497139,88635256291556
1,7,88635262654781,88635271984451
0,7,88635262654691,88635287683967
1,8,88635294719219,88635303379133
0,8,88635294719159,88635319093058
1,9,88635325532814,88635334832734
0,9,88635325532764,88635355602922
1,10,88635361783639,88635371313638
0,10,88635361783589,88635387015634
1,11,88635393814297,88635402716119
0,11,88635393814157,88635418498584
1,12,88635424299843,88635439220643
0,12,88635424299693,88635454918009
1,13,88635462695437,88635470619664
0,13,88635462695387,88635486317420
1,14,88635495326332,88635502024776
0,14,88635495326302,88635522789744
1,15,88635532797331,88635538488210
0,15,88635532797271,88635554181806
1,16,88635562933539,88635569879052
0,16,88635562933229,88635585518038
1,17,88635592482080,88635606287096
0,17,88635592481920,88635621963552
1,18,88635628832515,88635637738487
0,18,88635628832265,88635653420953
1,19,88635660372955,88635669082089
0,19,88635660372885,88635689803667
1,20,88635697731275,88635705450203
0,20,88635697731215,88635721152669
1,21,88635729570994,88635736794005
0,21,88635729570694,88635752439081
1,22,88635759971321,88635773154010
0,22,88635759971151,88635788795836
1,23,88635795816418,88635804427152
0,23,88635795816228,88635820088588
1,24,88635826831042,88635835733204
0,24,88635826830962,88635856409753
1,25,88635864327380,88635872018149
0,25,88635864327320,88635887485086
1,26,88635895893751,88635903026542
0,26,88635895893691,88635918558579
1,27,88635927506071,88635939141548
0,27,88635927506011,88635954554566
1,28,88635963691117,88635969953163
0,28,88635963691047,88635985488419
1,29,88635993600356,88636005938280
0,29,88635993600276,88636021451796
1,30,88636029303064,88636036979273
0,30,88636029302994,88636052507320
1,31,88636059598452,88636073016559
0,31,88636059598382,88636088478856
1,32,88636094774873,88636103945473
0,32,88636094774803,88636119430560
1,33,88636126438153,88636134899337
0,33,88636126438093,88636155427727
1,34,88636164736907,88636170908484
0,34,88636164736837,88636186366031
1,35,88636194518467,88636201832288
0,35,88636194518377,88636222345768
1,36,88636228490494,88636237798295
0,36,88636228490464,88636253253872
1,37,88636259714887,88636268705549
0,37,88636259714857,88636289223808
1,38,88636295645934,88636304705565
0,38,88636295645904,88636320488101
1,39,88636327558462,88636335862908
0,39,88636327558432,88636356397298
1,40,88636363475620,88636371870755
0,40,88636363475590,88636387347471
1,41,88636394520663,88636402814698
0,41,88636394520623,88636418271285
1,42,88636425953684,88636438812515
0,42,88636425953644,88636454277932
1,43,88636461634862,88636469748239
0,43,88636461634842,88636485232576
1,44,88636492807385,88636505749676
0,44,88636492807355,88636521229502
1,45,88636528739482,88636536644250
0,45,88636528739452,88636552108537
1,46,88636559415457,88636572652566
0,46,88636559415427,88636588153903
1,47,88636595599173,88636603641940
0,47,88636595599143,88636619111197
1,48,88636626778006,88636639651746
0,48,88636626777976,88636655113493
1,49,88636662649613,88636670597180
0,49,88636662649583,88636686058167
1,50,88636693731576,88636701540174
0,50,88636693731476,88636722066704
1,51,88636729428424,88636737531841
0,51,88636729428384,88636753018648
1,52,88636760525877,88636768505205
0,52,88636760525847,88636789060694
1,53,88636796408245,88636804562311
0,53,88636796408225,88636820008678
1,54,88636828833731,88636835554064
0,54,88636828833701,88636856061904
1,55,88636865599023,88636871532661
0,55,88636865598973,88636886998878
1,56,88636895522922,88636902461775
0,56,88636895522902,88636923004245
1,57,88636930733053,88636938389312
0,57,88636930733023,88636953797589
1,58,88636960594793,88636969313336
0,58,88636960594733,88636984799253
1,59,88636991539907,88637005335103
0,59,88636991539877,88637020809919
1,60,88637027787692,88637036290976
0,60,88637027787602,88637051868603
1,61,88637057387213,88637072450212
0,61,88637057387173,88637088006739
1,62,88637093566299,88637103528295
0,62,88637093566239,88637119083992
1,63,88637125534597,88637139674311
0,63,88637125534507,88637155424407
1,64,88637161741603,88637170910723
0,64,88637161741573,88637186370940
1,65,88637192599517,88637201862297
0,65,88637192599417,88637222476216
1,66,88637228381195,88637237998423
0,66,88637228381125,88637253567340
1,67,88637259301809,88637269058986
0,67,88637259301759,88637289688336
# complete
