kind,ordinal,begin_ns,end_ns
1,0,88564815635903,88564824587145
0,0,88564815633493,88564841350545
1,1,88571804487211,88571804487961
0,1,88571804486491,88571808300230
1,2,88571815627941,88571828790350
0,2,88571815627911,88571844643175
1,3,88571848656854,88571860508010
0,3,88571848656834,88571876352685
1,4,88571905841087,88571905841927
0,4,88571905840897,88571907769766
1,5,88571911645605,88571928240066
0,5,88571911645485,88571943723113
1,6,88571947988580,88571959499588
0,6,88571947988550,88571975357993
1,7,88571978765255,88571991190118
0,7,88571978765235,88572012096856
1,8,88572015775066,88572027933941
0,8,88572015775036,88572043776426
1,9,88572047765484,88572059645861
0,9,88572047765464,88572075484585
1,10,88572080278870,88572091327780
0,10,88572080278780,88572107158515
1,11,88572111159214,88572128059233
0,11,88572111159184,88572143838588
1,12,88572148659463,88572159338095
0,12,88572148659433,88572175166510
1,13,88572179179429,88572191054875
0,13,88572179179409,88572211961133
1,14,88572215766932,88572227804458
0,14,88572215766902,88572243660242
1,15,88572248417737,88572259522297
0,15,88572248417717,88572275372382
1,16,88572280487465,88572291234277
0,16,88572280487435,88572312115915
1,17,88572315846025,88572327961640
0,17,88572315846005,88572343818344
1,18,88572347911212,88572359672649
0,18,88572347911182,88572375535094
1,19,88572380125089,88572391363779
0,19,88572380125069,88572411892999
1,20,88572415793418,88572427367186
0,20,88572415793388,88572442829173
1,21,88572447541797,88572458328210
0,21,88572447541767,88572474145505
1,22,88572477944384,88572494663014
0,22,88572477944354,88572510112011
1,23,88572513713332,88572525556618
0,23,88572513713302,88572540998905
1,24,88572544386557,88572561508695
0,24,88572544386527,88572576968562
1,25,88572580714022,88572592374610
0,25,88572580713992,88572607833347
1,26,88572611769595,88572628349476
0,26,88572611769575,88572643809483
1,27,88572646921197,88572659635148
0,27,88572646921167,88572675437704
1,28,88572678282418,88572690916600
0,28,88572678282388,88572711494140
1,29,88572714117016,88572727370455
0,29,88572714116996,88572743238410
1,30,88572745579677,88572759044665
0,30,88572745579657,88572774870410
1,31,88572777772884,88572790749864
0,31,88572777772864,88572811669572
1,32,88572814965764,88572827478537
0,32,88572814965734,88572842977064
1,33,88572846300326,88572858520130
0,33,88572846300306,88572874342065
1,34,88572877056121,88572894946285
0,34,88572877056091,88572910823449
1,35,88572913813363,88572926644025
0,35,88572913813343,88572942489029
1,36,88572946296309,88572958304205
0,36,88572946296289,88572973783241
1,37,88572977341112,88572994364941
0,37,88572977341082,88573010246935
1,38,88573013414449,88573026087161
0,38,88573013414379,88573041961135
1,39,88573045762515,88573057839000
0,39,88573045762495,88573078723398
1,40,88573083234104,88573094577143
0,40,88573083234014,88573110439257
1,41,88573115004223,88573126282842
0,41,88573115004193,88573141775369
1,42,88573145884347,88573157257526
0,42,88573145884317,88573178128874
1,43,88573181695715,88573193621211
0,43,88573181695695,88573209184217
1,44,88573213097876,88573224678234
0,44,88573213097856,88573245203594
1,45,88573248723475,88573260679141
0,45,88573248723455,88573276495716
1,46,88573281158311,88573292341581
0,46,88573281158291,88573308127386
1,47,88573311953425,88573328630726
0,47,88573311953405,88573344458211
1,48,88573348260250,88573360290466
0,48,88573348260220,88573376129021
1,49,88573379797261,88573391616468
0,49,88573379797191,88573407078304
1,50,88573411391671,88573427987822
0,50,88573411391591,88573443838347
1,51,88573447785436,88573459672612
0,51,88573447785366,88573475507437
1,52,88573479862964,88573491347082
0,52,88573479862894,88573507171017
1,53,88573511416754,88573528087255
0,53,88573511416674,88573543921990
1,54,88573548279786,88573559784314
0,54,88573548279696,88573575638629
1,55,88573579927466,88573591501294
0,55,88573579927386,88573607365699
1,56,88573611578546,88573628303966
0,56,88573611578456,88573644154991
1,57,88573647582063,88573659997766
0,57,88573647581993,88573675861041
1,58,88573679575001,88573691719956
0,58,88573679574921,88573707583241
1,59,88573711694799,88573728525688
0,59,88573711694719,88573744386713
1,60,88573748632210,88573760249778
0,60,88573748632130,88573776056243
1,61,88573779447735,88573791528090
0,61,88573779447665,88573812003440
1,62,88573815449891,88573827500977
0,62,88573815449811,88573843297802
1,63,88573846434945,88573859142607
0,63,88573846434865,88573874984412
1,64,88573878358924,88573890771937
0,64,88573878358824,88573911726934
1,65,88573915684053,88573927526569
0,65,88573915683983,88573943048636
1,66,88573946579487,88573958893691
0,66,88573946579467,88573974379098
1,67,88573977633210,88573994941137
0,67,88573977633130,88574010812352
# complete
