kind,ordinal,begin_ns,end_ns
1,0,88586316365038,88586327905376
0,0,88586316361978,88586344947294
1,1,88588571747526,88588571748816
0,1,88588571746346,88588576186362
1,2,88588602840669,88588602840889
0,2,88588602840629,88588607590893
1,3,88588628955368,88588628955418
0,3,88588628955328,88588644304706
1,4,88588683895603,88588683896393
0,4,88588683895553,88588691301704
1,5,88588710706419,88588711855603
0,5,88588710706389,88588727342580
1,6,88588738743259,88588742829627
0,6,88588738742859,88588758619372
1,7,88588765736314,88588774462367
0,7,88588765736284,88588794991327
1,8,88588803867009,88588810471964
0,8,88588803866969,88588825949500
1,9,88588835068221,88588841348928
0,9,88588835068151,88588861887447
1,10,88588872135442,88588877371744
0,10,88588872135412,88588892860181
1,11,88588901732513,88588908348488
0,11,88588901732443,88588923824815
1,12,88588932626388,88588944365814
0,12,88588932626288,88588959839721
1,13,88588968747234,88588975380878
0,13,88588968747164,88588990872285
1,14,88588999102791,88589011416134
0,14,88588999102731,88589027243409
1,15,88589038004772,88589042890345
0,15,88589038004712,88589058732290
1,16,88589069713451,88589074229927
0,16,88589069713391,88589094770797
1,17,88589103721539,88589110247454
0,17,88589103721489,88589125738870
1,18,88589134138245,88589141244957
0,18,88589134138165,88589161875896
1,19,88589171085757,88589177693031
0,19,88589171085697,88589193170868
1,20,88589201929151,88589208704535
0,20,88589201928961,88589224574450
1,21,88589235075233,88589240417625
0,21,88589235075043,88589261350642
1,22,88589270897491,88589277166407
0,22,88589270897461,88589293011972
1,23,88589301953884,88589308854987
0,23,88589301953804,88589324653282
1,24,88589332720679,88589345204952
0,24,88589332720619,88589360680349
1,25,88589369007484,88589376115266
0,25,88589369007464,88589391637242
1,26,88589398859874,88589407444488
0,26,88589398859824,88589428383815
1,27,88589434708421,88589444236000
0,27,88589434708291,88589460094175
1,28,88589467956603,88589475956610
0,28,88589467956553,88589491836624
1,29,88589497658383,88589507679259
0,29,88589497658353,88589528610327
1,30,88589534956203,88589544473262
0,30,88589534956163,88589560328147
1,31,88589566583113,88589576168331
0,31,88589566583063,88589592021226
1,32,88589598665981,88589607878071
0,32,88589598665951,88589623725606
1,33,88589630991737,88589644299796
0,33,88589630991697,88589660166990
1,34,88589666735055,88589676011535
0,34,88589666734955,88589691811171
1,35,88589698996712,88589707252318
0,35,88589698996662,88589728190825
1,36,88589736001563,88589744047400
0,36,88589736001513,88589759891915
1,37,88589766693858,88589775762420
0,37,88589766693828,88589791620955
1,38,88589799211424,88589807464419
0,38,88589799211194,88589828374157
1,39,88589836618883,88589844216302
0,39,88589836618763,88589860043147
1,40,88589868947609,88589875578004
0,40,88589868947509,88589891061200
1,41,88589900022982,88589911798079
0,41,88589900022962,88589927295346
1,42,88589935939829,88589942739403
0,42,88589935939809,88589958229510
1,43,88589968011227,88589973700637
0,43,88589968011197,88589994235766
1,44,88590004065054,88590010029162
0,44,88590004065034,88590025909676
1,45,88590034096072,88590041672382
0,45,88590034096042,88590057076449
1,46,88590066904676,88590077975537
0,46,88590066904646,88590093743942
1,47,88590103166171,88590109114979
0,47,88590103165881,88590124523427
1,48,88590134104445,88590144980377
0,48,88590134104345,88590160411834
1,49,88590169090477,88590176204779
0,49,88590169090307,88590191776276
1,50,88590199940742,88590207319072
0,50,88590199940162,88590227958011
1,51,88590237076742,88590243375088
0,51,88590237076652,88590258777456
1,52,88590267875957,88590274182973
0,52,88590267875877,88590294756032
1,53,88590303764414,88590310277439
0,53,88590303764384,88590325801286
1,54,88590334071441,88590341202513
0,54,88590334071411,88590361657463
1,55,88590370132298,88590377193010
0,55,88590370132178,88590392672167
1,56,88590400675734,88590408174253
0,56,88590400675614,88590423645090
1,57,88590431712427,88590444179440
0,57,88590431712407,88590459668477
1,58,88590468212501,88590475660041
0,58,88590468212471,88590491133808
1,59,88590498956656,88590511721927
0,59,88590498956636,88590527585512
1,60,88590534885083,88590543441097
0,60,88590534885063,88590559315422
1,61,88590567082610,88590575154537
0,61,88590567082580,88590590627154
1,62,88590598606731,88590611181883
0,62,88590598606701,88590626710120
1,63,88590634024580,88590642061387
0,63,88590634024240,88590657464865
1,64,88590665069974,88590678005334
0,64,88590665069804,88590693416712
1,65,88590701543168,88590708833669
0,65,88590701542978,88590724243266
1,66,88590731681396,88590744768786
0,66,88590731681306,88590760287352
1,67,88590767772532,88590775723820
0,67,88590767772362,88590791242246
# complete
