kind,ordinal,begin_ns,end_ns
1,0,88529134579251,88529145292184
0,0,88529134576671,88529162005444
1,1,88531385209895,88531385210905
0,1,88531385209295,88531399007941
1,2,88531421089462,88531421089912
0,2,88531421089232,88531430551891
1,3,88531443041934,88531446005188
0,3,88531443041764,88531461422446
1,4,88531503225591,88531503226241
0,4,88531503225461,88531513232927
1,5,88531525280693,88531528824744
0,5,88531525280523,88531544317050
1,6,88531551162874,88531564925730
0,6,88531551162784,88531580515056
1,7,88531586994631,88531596058523
0,7,88531586994541,88531611629379
1,8,88531618036095,88531632184589
0,8,88531618036035,88531648121153
1,9,88531653879282,88531664101047
0,9,88531653879212,88531679895382
1,10,88531686146879,88531695444069
0,10,88531686146639,88531711005985
1,11,88531718245706,88531731607325
0,11,88531718245616,88531747311100
1,12,88531753066429,88531762848667
0,12,88531753066349,88531778412413
1,13,88531786280881,88531798923793
0,13,88531786280801,88531814503410
1,14,88531823843289,88531830032526
0,14,88531823843059,88531845612262
1,15,88531854886323,88531861113779
0,15,88531854886233,88531881733708
1,16,88531890862349,88531897266065
0,16,88531890862259,88531912729742
1,17,88531919935463,88531928179989
0,17,88531919935383,88531948800448
1,18,88531955142444,88531964419934
0,18,88531955142364,88531979981691
1,19,88531988305976,88531995483458
0,19,88531988305896,88532011051074
1,20,88532018928852,88532031930952
0,20,88532018928772,88532047636217
1,21,88532055902353,88532063443623
0,21,88532055902283,88532079243668
1,22,88532087114135,88532094942023
0,22,88532087114045,88532115467993
1,23,88532122269097,88532130950280
0,23,88532122269017,88532146477307
1,24,88532153381200,88532161950184
0,24,88532153380900,88532177475670
1,25,88532184944990,88532197986760
0,25,88532184944960,88532213460987
1,26,88532220911987,88532228908844
0,26,88532220911947,88532244425381
1,27,88532253269753,88532264925251
0,27,88532253269723,88532280413047
1,28,88532289258980,88532295851204
0,28,88532289258950,88532311289822
1,29,88532320199714,88532331780282
0,29,88532320199694,88532347223149
1,30,88532354838168,88532362658206
0,30,88532354838148,88532378057433
1,31,88532385311354,88532398564563
0,31,88532385311324,88532414504187
1,32,88532421409650,88532430326772
0,32,88532421409490,88532445811129
1,33,88532453265929,88532461198037
0,33,88532453265849,88532481635027
1,34,88532491272915,88532497142683
0,34,88532491272835,88532512973128
1,35,88532522242149,88532528776214
0,35,88532522242069,88532544169031
1,36,88532550865495,88532564691061
0,36,88532550865465,88532580504006
1,37,88532587303329,88532595996943
0,37,88532587303239,88532611793028
1,38,88532618210963,88532632323737
0,38,88532618210893,88532647811614
1,39,88532655068795,88532663632189
0,39,88532655068595,88532679014077
1,40,88532687257083,88532694501224
0,40,88532687256983,88532715053493
1,41,88532723061710,88532730923738
0,41,88532723061630,88532746771663
1,42,88532754070044,88532762564238
0,42,88532754069954,88532778278104
1,43,88532786194251,88532798799543
0,43,88532786194181,88532814302650
1,44,88532822061419,88532829774797
0,44,88532822061339,88532845445643
1,45,88532853071002,88532860913290
0,45,88532853070982,88532881446550
1,46,88532888840840,88532896897117
0,46,88532888840820,88532912397703
1,47,88532919246087,88532927847870
0,47,88532919245967,88532948401880
1,48,88532956182398,88532963853817
0,48,88532956182368,88532979339934
1,49,88532987208412,88532994778811
0,49,88532987208392,88533015326111
1,50,88533023075529,88533030764368
0,50,88533023075509,88533046251755
1,51,88533054190192,88533062098759
0,51,88533054190162,88533077936425
1,52,88533085134566,88533098841892
0,52,88533085134536,88533114739947
1,53,88533122211847,88533130434453
0,53,88533122211767,88533146005189
1,54,88533155067600,88533161560755
0,54,88533155067530,88533182177225
1,55,88533190317771,88533197736611
0,55,88533190317681,88533213316387
1,56,88533222023021,88533228865304
0,56,88533222022921,88533244454280
1,57,88533251862770,88533265057810
0,57,88533251862690,88533280617596
1,58,88533287072251,88533296111563
0,58,88533287072161,88533311619299
1,59,88533318305814,88533332170149
0,59,88533318305734,88533347730066
1,60,88533354241661,88533363233312
0,60,88533354241581,88533378802099
1,61,88533384068920,88533394307555
0,61,88533384068840,88533414920455
1,62,88533421024212,88533430454021
0,62,88533421024142,88533446006788
1,63,88533452364014,88533461504375
0,63,88533452363974,88533482107184
1,64,88533489162666,88533497574101
0,64,88533489162576,88533513115887
1,65,88533518011651,88533528627804
0,65,88533518011581,88533544195251
1,66,88533550057829,88533564792750
0,66,88533550057749,88533580370066
1,67,88533586271165,88533595904483
0,67,88533586271095,88533611482259
# complete
