pose,start_ticks,physics_ticks,prepare_ticks,submit_ticks,hash,road_bytes
0,0,0,0,2,1990284955,305
1,2,0,2,0,1375286013,280
2,4,0,2,2,761151943,280
3,8,0,2,2,2899032635,280
4,12,0,2,2,872599450,305
5,16,0,2,2,824611647,305
6,20,0,2,2,777541552,305
7,24,0,0,4,1825901610,280
8,28,0,2,2,51205005,280
9,32,0,2,2,4144726455,455
10,36,0,2,2,2093411337,630
11,40,0,2,2,2545594437,605
12,44,0,2,2,1220631340,605
13,48,0,2,2,1038476441,405
14,52,0,2,2,2097639378,305
15,56,0,2,2,3851916500,405
16,60,0,2,2,2040192255,480
17,64,0,2,2,1053357489,530
18,68,0,2,2,840243915,480
19,72,0,2,2,3528211151,355
20,76,0,0,4,2379088510,355
21,80,0,2,2,3622734259,380
22,84,0,2,2,3336412276,430
23,88,0,2,2,3074210110,580
24,92,0,2,2,3420046065,580
25,96,0,2,2,4093922667,555
26,100,0,2,2,941450573,405
27,104,0,2,2,3939934681,355
28,108,0,2,2,30643792,330
29,112,0,2,2,2982523917,455
30,116,0,2,2,2173218198,630
31,120,0,2,2,2529153576,530
32,124,0,2,2,896410787,330
33,128,0,0,4,3957086437,305
34,132,0,2,2,2456560719,330
35,136,0,2,2,1588528291,380
36,140,0,2,2,851568290,480
37,144,0,2,2,513679911,430
38,148,0,2,2,2352822904,430
39,152,0,2,2,4074186642,405
40,156,0,2,2,23253717,405
41,160,0,2,2,288770463,405
42,164,0,2,2,1527719889,405
43,168,0,2,2,1932573677,380
44,172,0,2,2,1486688948,380
45,176,0,2,2,3690374145,455
46,180,0,2,2,1055366106,455
47,184,0,2,2,2302138556,430
48,188,0,2,2,1778883975,405
49,192,0,2,2,1336204825,430
50,196,0,2,2,1973094163,480
51,200,0,2,2,2272399287,530
52,204,0,2,2,449833798,555
53,208,0,2,2,487877403,455
54,212,0,2,2,1744150972,305
55,216,0,2,2,1067269734,280
56,220,0,2,2,3015746553,280
57,224,0,2,2,1560733267,280
58,228,0,2,2,2656836309,280
59,232,0,2,2,2844270401,305
60,236,0,2,2,1879720024,305
61,240,0,2,2,1978283509,280
62,244,0,2,2,4284212062,280
63,248,0,0,4,1859756176,280
# complete
