kind,ordinal,begin_ns,end_ns
1,0,88544974722835,88544985605677
0,0,88544974720525,88545002211388
1,1,88547220955322,88547220956632
0,1,88547220954692,88547236518699
1,2,88547257792154,88547257792484
0,2,88547257792084,88547267886150
1,3,88547280267334,88547283592626
0,3,88547280267064,88547299301531
1,4,88547336018284,88547336019524
0,4,88547336018044,88547351555341
1,5,88547357913557,88547367259997
0,5,88547357913497,88547382976362
1,6,88547389839965,88547398675768
0,6,88547389839905,88547419449586
1,7,88547426194690,88547435142012
0,7,88547426194630,88547450833758
1,8,88547457085354,88547466534743
0,8,88547457085294,88547482242559
1,9,88547488040288,88547503018487
0,9,88547488039978,88547518670143
1,10,88547525191218,88547534485349
0,10,88547525191128,88547549982395
1,11,88547556088192,88547565536872
0,11,88547556088123,88547586472839
1,12,88547592762856,88547601982746
0,12,88547592762786,88547617479083
1,13,88547625155162,88547632970940
0,13,88547625155082,88547648504536
1,14,88547658133434,88547669081386
0,14,88547658133364,88547684578773
1,15,88547694184121,88547700086449
0,15,88547694184041,88547715601386
1,16,88547724101340,88547736161765
0,16,88547724101250,88547751776402
1,17,88547758953933,88547767175229
0,17,88547758953853,88547782688776
1,18,88547789327520,88547798227352
0,18,88547789327440,88547818857481
1,19,88547825917123,88547834437478
0,19,88547825916993,88547849846645
1,20,88547857996041,88547865369072
0,20,88547857995951,88547885927261
1,21,88547894089257,88547901441158
0,21,88547894089077,88547916948765
1,22,88547925133501,88547932462351
0,22,88547925133441,88547953184810
1,23,88547959900674,88547969099625
0,23,88547959900644,88547984956289
1,24,88547990898627,88548000533766
0,24,88547990898597,88548016088742
1,25,88548024241998,88548031608689
0,25,88548024241928,88548052217038
1,26,88548059985336,88548067753095
0,26,88548059985206,88548083306581
1,27,88548092291763,88548098806248
0,27,88548092291703,88548119480757
1,28,88548128330729,88548135005403
0,28,88548128330659,88548150563260
1,29,88548158983735,88548166109657
0,29,88548158983665,88548181690743
1,30,88548189065413,88548202288002
0,30,88548189065333,88548217794159
1,31,88548223934376,88548233263186
0,31,88548223934336,88548248768343
1,32,88548254926070,88548269329472
0,32,88548254926010,88548284831489
1,33,88548293304313,88548300332226
0,33,88548293304263,88548315835542
1,34,88548325191362,88548331544618
0,34,88548325191302,88548352122698
1,35,88548361162609,88548367652684
0,35,88548361162469,88548383010602
1,36,88548389217928,88548398508258
0,36,88548389217868,88548419116178
1,37,88548426182740,88548434626155
0,37,88548426182720,88548450117791
1,38,88548457222813,88548465621548
0,38,88548457222793,88548486251347
1,39,88548493768167,88548501773964
0,39,88548493768147,88548517279331
1,40,88548525112519,88548532783017
0,40,88548525112489,88548548349284
1,41,88548555835854,88548568931503
0,41,88548555835824,88548584439490
1,42,88548592053789,88548599948487
0,42,88548592053759,88548615455203
1,43,88548623075622,88548636533710
0,43,88548623075602,88548652058887
1,44,88548659074929,88548667916532
0,44,88548659074879,88548683839106
1,45,88548691159257,88548699747331
0,45,88548691159227,88548715364927
1,46,88548722838927,88548736288394
0,46,88548722838747,88548751761451
1,47,88548758741554,88548767267528
0,47,88548758741524,88548782767645
1,48,88548789913356,88548798281412
0,48,88548789913326,88548818882421
1,49,88548827230726,88548834447437
0,49,88548827230646,88548849862434
1,50,88548858006051,88548865393541
0,50,88548858005971,88548885964021
1,51,88548893867328,88548901367018
0,51,88548893867258,88548916859375
1,52,88548924288605,88548932366601
0,52,88548924288535,88548952935181
1,53,88548960939728,88548968449868
0,53,88548960939648,88548983946324
1,54,88548991954471,88548999459891
0,54,88548991954401,88549014995938
1,55,88549023146844,88549036006635
0,55,88549023146754,88549051507322
1,56,88549060118935,88549066992249
0,56,88549060118875,88549082505715
1,57,88549091008150,88549098480779
0,57,88549091008070,88549119565586
1,58,88549126332150,88549135473021
0,58,88549126332070,88549151324266
1,59,88549157851991,88549166862022
0,59,88549157851971,88549182437589
1,60,88549188960714,88549198316123
0,60,88549188960684,88549219244401
1,61,88549225322718,88549234760827
0,61,88549225322688,88549250294734
1,62,88549256325322,88549265850961
0,62,88549256325292,88549281674756
1,63,88549287368965,88549302710483
0,63,88549287368935,88549318637797
1,64,88549324955543,88549334555242
0,64,88549324955513,88549350483676
1,65,88549356203005,88549366385561
0,65,88549356202975,88549382304965
1,66,88549388848670,88549402937064
0,66,88549388848640,88549418820469
1,67,88549424750967,88549434388625
0,67,88549424750907,88549449977272
# complete
