kind,ordinal,begin_ns,end_ns
1,0,88503444938952,88503453981704
0,0,88503444936872,88503470380866
1,1,88505696312992,88505696314262
0,1,88505696312352,88505705420293
1,2,88505731103385,88505731103845
0,2,88505731103315,88505736324817
1,3,88505757230655,88505757231155
0,3,88505757230555,88505772293824
1,4,88505812125210,88505812125790
0,4,88505812125130,88505818808644
1,5,88505839241764,88505839351464
0,5,88505839241684,88505855189169
1,6,88505867384603,88505870995514
0,6,88505867384523,88505886729859
1,7,88505895123614,88505902216676
0,7,88505895123534,88505922742256
1,8,88505931151091,88505938260683
0,8,88505931151011,88505954064138
1,9,88505962368543,88505969580664
0,9,88505962368473,88505990056054
1,10,88505999541764,88506005529781
0,10,88505999541674,88506020998838
1,11,88506031359963,88506036479845
0,11,88506031359863,88506052065811
1,12,88506061285342,88506072671431
0,12,88506061285262,88506088271537
1,13,88506098410563,88506103832053
0,13,88506098410493,88506119422580
1,14,88506129007278,88506140039679
0,14,88506129007208,88506155640905
1,15,88506166128649,88506171213012
0,15,88506166128539,88506186695049
1,16,88506197378231,88506202183445
0,16,88506197378161,88506222760795
1,17,88506232343703,88506238230572
0,17,88506232343473,88506253691279
1,18,88506262301402,88506269112926
0,18,88506262301312,88506289682305
1,19,88506298975465,88506305116603
0,19,88506298975345,88506320651639
1,20,88506330017909,88506336124036
0,20,88506330017659,88506356562836
1,21,88506367183729,88506372005113
0,21,88506367183699,88506387466670
1,22,88506397064519,88506402918287
0,22,88506397064499,88506423434807
1,23,88506432491428,88506438902864
0,23,88506432491398,88506454417721
1,24,88506462432108,88506470281526
0,24,88506462432028,88506486135460
1,25,88506495182382,88506506665000
0,25,88506495182362,88506522141957
1,26,88506529361998,88506537610924
0,26,88506529361908,88506553192880
1,27,88506559083199,88506568738197
0,27,88506559083039,88506589161687
1,28,88506596009820,88506604634874
0,28,88506596009750,88506620105631
1,29,88506626423707,88506635573148
0,29,88506626423677,88506656060058
1,30,88506662227285,88506671614364
0,30,88506662227255,88506687189831
1,31,88506692977900,88506702702017
0,31,88506692977870,88506723328017
1,32,88506730423938,88506738824403
0,32,88506730423748,88506754384640
1,33,88506761123604,88506769912526
0,33,88506761123584,88506785478253
1,34,88506792047818,88506806063192
0,34,88506792047788,88506821633449
1,35,88506827997134,88506837064196
0,35,88506827996934,88506852645742
1,36,88506860128232,88506873233542
0,36,88506860128182,88506888797198
1,37,88506896414547,88506904297455
0,37,88506896414527,88506919850451
1,38,88506927406071,88506935341398
0,38,88506927405981,88506955852358
1,39,88506964416492,88506971306755
0,39,88506964416462,88506986811182
1,40,88506995099887,88507002296358
0,40,88506995099857,88507022835668
1,41,88507032277927,88507038603283
0,41,88507032277127,88507054196600
1,42,88507063538990,88507069755256
0,42,88507063538860,88507085335312
1,43,88507094070096,88507105960972
0,43,88507094069886,88507121808687
1,44,88507131391125,88507137674341
0,44,88507131391045,88507153517626
1,45,88507162509518,88507169356851
0,45,88507162509448,88507185106717
1,46,88507195357612,88507205699576
0,46,88507195357542,88507221538971
1,47,88507231514277,88507237345786
0,47,88507231514177,88507252963492
1,48,88507262560281,88507268433189
0,48,88507262560201,88507288953809
1,49,88507297214815,88507304412906
0,49,88507297214775,88507319896253
1,50,88507330433616,88507335364240
0,50,88507330433436,88507355884760
1,51,88507364411914,88507371364186
0,51,88507364411844,88507386857283
1,52,88507395438127,88507402349230
0,52,88507395438057,88507423267228
1,53,88507433094235,88507438777574
0,53,88507433094155,88507454573510
1,54,88507463351372,88507470057046
0,54,88507463351292,88507485807842
1,55,88507494407436,88507506334052
0,55,88507494407306,88507521810788
1,56,88507529022220,88507537275895
0,56,88507529022150,88507553006221
1,57,88507561337586,88507568670897
0,57,88507561337516,88507589204197
1,58,88507596199439,88507604706143
0,58,88507596199369,88507620166690
1,59,88507627348242,88507635614567
0,59,88507627348152,88507656067717
1,60,88507663150449,88507671467175
0,60,88507663150379,88507687161920
1,61,88507694326422,88507702695867
0,61,88507694326152,88507723236477
1,62,88507731272924,88507738747213
0,62,88507731272844,88507754226480
1,63,88507762186468,88507769760507
0,63,88507762186388,88507785332593
1,64,88507793547439,88507805912743
0,64,88507793547349,88507821277300
1,65,88507829956734,88507836673538
0,65,88507829956654,88507852180624
1,66,88507860195801,88507872704224
0,66,88507860195721,88507888179041
1,67,88507896088379,88507903654018
0,67,88507896088309,88507919110165
# complete
