pose,start_ticks,physics_ticks,prepare_ticks,submit_ticks,hash,road_bytes
0,0,0,0,2,1990284955,455
1,2,0,2,2,1892111997,480
2,6,0,2,0,2292751431,505
3,8,0,2,2,2102052475,480
4,12,0,2,2,155756826,530
5,16,0,2,2,1792588991,505
6,20,0,2,2,4062114992,605
7,24,0,2,2,725334250,630
8,28,0,2,2,2123129549,605
9,32,0,2,2,2588403447,630
10,36,0,2,2,19661321,580
11,40,0,2,2,885617285,680
12,44,0,2,2,281685100,705
13,48,0,2,2,3883386969,605
14,52,0,2,2,2874204754,555
15,56,0,2,2,3807365332,580
16,60,0,2,2,826385919,580
17,64,0,2,2,1996525169,705
18,68,0,2,2,1056005835,580
19,72,0,2,2,1555035535,555
20,76,0,2,2,3430246078,480
21,80,0,2,2,1524757427,480
22,84,0,2,2,2288656116,455
23,88,0,2,2,1429473214,355
24,92,0,0,4,1898706993,380
25,96,0,2,2,722412779,330
26,100,0,0,4,1093241485,280
27,104,0,2,2,4104267673,280
28,108,0,2,2,1686419664,330
29,112,0,2,2,3747833357,355
30,116,0,2,2,2394587798,355
31,120,0,2,2,3668659624,355
32,124,0,2,2,1470181731,430
33,128,0,2,2,165446245,430
34,132,0,2,2,2595249487,455
35,136,0,2,2,3608308067,530
36,140,0,2,2,2759608802,580
37,144,0,2,2,176420711,605
38,148,0,2,2,1713169720,580
39,152,0,2,2,2061726354,630
40,156,0,2,2,2772576661,605
41,160,0,2,2,1920761567,580
42,164,0,2,2,825243601,655
43,168,0,2,2,4189905453,655
44,172,0,2,2,1260122612,655
45,176,0,2,2,2354479041,530
46,180,0,2,2,3713474266,580
47,184,0,2,2,1555385980,530
48,188,0,2,2,2656745671,580
49,192,0,2,2,2396093209,680
50,196,0,2,2,2107457875,555
51,200,0,2,2,3180947959,555
52,204,0,2,2,2846787846,480
53,208,0,2,2,3017332507,530
54,212,0,2,2,1517946748,455
55,216,0,2,2,2728704358,455
56,220,0,2,2,3544299257,455
57,224,0,2,2,2900245907,430
58,228,0,2,2,3632025365,430
59,232,0,2,2,468052481,405
60,236,0,2,2,3896394328,455
61,240,0,2,2,2038968501,480
62,244,0,2,2,3430418526,455
63,248,0,2,2,155125904,455
# complete
