kind,ordinal,begin_ns,end_ns
1,0,74839554641505,74839567597490
0,0,74839554639055,74839584326254
1,1,74842624427941,74842624428651
0,1,74842624427481,74842630406607
1,2,74842637664185,74842651242597
0,2,74842637664155,74842667028557
1,3,74842670836275,74842682871036
0,3,74842670836245,74842698688545
1,4,74842720914597,74842720914737
0,4,74842720914527,74842730338553
1,5,74842733778363,74842750824585
0,5,74842733778283,74842766609944
1,6,74842770971079,74842782065416
0,6,74842770971049,74842797518587
1,7,74842801834832,74842818022939
0,7,74842801834802,74842833476100
1,8,74842837029540,74842848987711
0,8,74842837029490,74842864447602
1,9,74842867865542,74842884992684
0,9,74842867865512,74842900429065
1,10,74842903989405,74842915894036
0,10,74842903989385,74842931332608
1,11,74842935169306,74842946803289
0,11,74842935169256,74842967297511
1,12,74842970863290,74842982791432
0,12,74842970863270,74842998280343
1,13,74843001942112,74843014100772
0,13,74843001942092,74843034994422
1,14,74843038755490,74843050822161
0,14,74843038755460,74843066651580
1,15,74843070551767,74843082479589
0,15,74843070551727,74843098311468
1,16,74843102608503,74843114130817
0,16,74843102608473,74843135027217
1,17,74843139023184,74843150855196
0,17,74843139023164,74843166685165
1,18,74843170892031,74843182513704
0,18,74843170892011,74843198345483
1,19,74843201765703,74843214167012
0,19,74843201765673,74843235060602
1,20,74843239139819,74843250878541
0,20,74843239139799,74843266709340
1,21,74843271650202,74843282544409
0,21,74843271650142,74843298380168
1,22,74843301936608,74843314203067
0,22,74843301936578,74843335075747
1,23,74843338706956,74843350895166
0,23,74843338706926,74843366723185
1,24,74843369743348,74843382555264
0,24,74843369743328,74843398386933
1,25,74843401735534,74843414206722
0,25,74843401735504,74843435099532
1,26,74843438489133,74843450921371
0,26,74843438489113,74843466751580
1,27,74843470063671,74843482578469
0,27,74843470063641,74843498407298
1,28,74843500989774,74843514232717
0,28,74843500989744,74843535125077
1,29,74843538115380,74843550940146
0,29,74843538115350,74843566763396
1,30,74843569921767,74843582593365
0,30,74843569921737,74843598418084
1,31,74843600781450,74843614242113
0,31,74843600781430,74843635134273
1,32,74843637781767,74843650955182
0,32,74843637781747,74843666796251
1,33,74843669250806,74843682625520
0,33,74843669250786,74843698256970
1,34,74843700949544,74843713774801
0,34,74843700949524,74843734316963
1,35,74843736875548,74843749761494
0,35,74843736875528,74843765227595
1,36,74843768161948,74843780694116
0,36,74843768161918,74843801402417
1,37,74843804834987,74843817249796
0,37,74843804834907,74843833069415
1,38,74843836555765,74843848885434
0,38,74843836555735,74843864715823
1,39,74843869268347,74843880537612
0,39,74843869268307,74843901431852
1,40,74843905135141,74843917254521
0,40,74843905135121,74843933027150
1,41,74843937004718,74843948844270
0,41,74843937004688,74843964668749
1,42,74843969268192,74843980503568
0,42,74843969268162,74844001441007
1,43,74844005741613,74844017292756
0,43,74844005741583,74844033111855
1,44,74844037331421,74844048927524
0,44,74844037331391,74844064740223
1,45,74844068978239,74844080557283
0,45,74844068978219,74844101448363
1,46,74844105469579,74844117323321
0,46,74844105469559,74844133166160
1,47,74844137325256,74844148985759
0,47,74844137325236,74844164812468
1,48,74844169521691,74844180636987
0,48,74844169521671,74844201535537
1,49,74844205170016,74844217356496
0,49,74844205169986,74844233175695
1,50,74844236754645,74844248988745
0,50,74844236754605,74844264497145
1,51,74844267969695,74844280315595
0,51,74844267969665,74844301164985
1,52,74844304958553,74844316979454
0,52,74844304958523,74844332802953
1,53,74844337254967,74844348624202
0,53,74844337254947,74844364446851
1,54,74844368077780,74844380283680
0,54,74844368077750,74844401176850
1,55,74844404735539,74844416976959
0,55,74844404735509,74844432800078
1,56,74844435784611,74844448621087
0,56,74844435784581,74844464445996
1,57,74844467962616,74844480269235
0,57,74844467962586,74844501160785
1,58,74844504488556,74844516980714
0,58,74844504488536,74844532806413
1,59,74844536423683,74844548577533
0,59,74844536423663,74844564202303
1,60,74844567424684,74844585102143
0,60,74844567424664,74844600925862
1,61,74844604237303,74844616806491
0,61,74844604237283,74844632645230
1,62,74844635505443,74844648466829
0,62,74844635505423,74844664319877
1,63,74844667545199,74844680152097
0,63,74844667545179,74844701045616
1,64,74844704491067,74844716870625
0,64,74844704491047,74844732702545
1,65,74844736625862,74844748256205
0,65,74844736625822,74844764025184
1,66,74844767483345,74844784922004
0,66,74844767483325,74844800753153
1,67,74844803640877,74844816580202
0,67,74844803640847,74844832411801
# complete
