kind,ordinal,begin_ns,end_ns
1,0,75066526332817,75066539256613
0,0,75066526330207,75066555675058
1,1,75068772994735,75068773034575
0,1,75068772994105,75068788622075
1,2,75068810962477,75068810962527
0,2,75068810962447,75068820183284
1,3,75068832721371,75068836024262
0,3,75068832721351,75068856913852
1,4,75068898664712,75068898664772
0,4,75068898664682,75068904397080
1,5,75068920972704,75068920972734
0,5,75068920972674,75068936029718
1,6,75068941592116,75068956919858
0,6,75068941592086,75068972753127
1,7,75068977960917,75068988394497
0,7,75068977960807,75069003892248
1,8,75069010101742,75069019663497
0,8,75069010101672,75069040282339
1,9,75069047004390,75069055811819
0,9,75069047004370,75069071500859
1,10,75069077961412,75069087019580
0,10,75069077961382,75069102845409
1,11,75069108675605,75069123763609
0,11,75069108675575,75069139658277
1,12,75069145004317,75069155431247
0,12,75069145004287,75069170881578
1,13,75069178530434,75069186330949
0,13,75069178530414,75069206831831
1,14,75069215079824,75069222334842
0,14,75069215079794,75069238157141
1,15,75069247910475,75069253999390
0,15,75069247910435,75069269827829
1,16,75069279018206,75069285654238
0,16,75069279018186,75069306554148
1,17,75069313614758,75069322312498
0,17,75069313614728,75069337774399
1,18,75069343599295,75069353284480
0,18,75069343599175,75069369085119
1,19,75069375522232,75069389985029
0,19,75069375522212,75069405806328
1,20,75069413829732,75069421599977
0,20,75069413829712,75069437061548
1,21,75069445933797,75069452849167
0,21,75069445933537,75069473382849
1,22,75069481620522,75069489210218
0,22,75069481620452,75069505041847
1,23,75069512134987,75069520859806
0,23,75069512134957,75069536686036
1,24,75069543098939,75069552504535
0,24,75069543098909,75069573394915
1,25,75069580701133,75069589220704
0,25,75069580701103,75069605035183
1,26,75069612968887,75069620851262
0,26,75069612968867,75069636668491
1,27,75069646097917,75069652493510
0,27,75069646097867,75069673369630
1,28,75069681930541,75069688875151
0,28,75069681930511,75069704698240
1,29,75069713084352,75069720519099
0,29,75069713084222,75069736320608
1,30,75069744006184,75069756818910
0,30,75069744006154,75069772268862
1,31,75069778878944,75069787738023
0,31,75069778878914,75069803212894
1,32,75069809742826,75069819049933
0,32,75069809742806,75069839951632
1,33,75069848080626,75069855774182
0,33,75069848080606,75069871598331
1,34,75069880671429,75069887413010
0,34,75069880671399,75069903236049
1,35,75069911759650,75069919053128
0,35,75069911759630,75069939942368
1,36,75069945601775,75069955761437
0,36,75069945601755,75069971585816
1,37,75069977954699,75069987418505
0,37,75069977954679,75070003244554
1,38,75070010031235,75070019006353
0,38,75070010031185,75070039589435
1,39,75070047611059,75070055016107
0,39,75070047611029,75070070406468
1,40,75070077636696,75070085774380
0,40,75070077636676,75070106355871
1,41,75070114022607,75070122125161
0,41,75070114022587,75070137568372
1,42,75070144812070,75070153339821
0,42,75070144812050,75070169055581
1,43,75070176660247,75070189633073
0,43,75070176660227,75070205355122
1,44,75070213067298,75070221175492
0,44,75070213067278,75070237000021
1,45,75070244665266,75070252830700
0,45,75070244665236,75070273726379
1,46,75070281682254,75070289557358
0,46,75070281682234,75070305397197
1,47,75070312609316,75070321292166
0,47,75070312609286,75070337100245
1,48,75070344775821,75070352921804
0,48,75070344775791,75070373826874
1,49,75070380745284,75070389652393
0,49,75070380745254,75070405474922
1,50,75070414034393,75070421302871
0,50,75070414034373,75070437103690
1,51,75070444737997,75070452588281
0,51,75070444737967,75070473057574
1,52,75070480600510,75070488546545
0,52,75070480600490,75070504397244
1,53,75070511647772,75070520224983
0,53,75070511647742,75070536041352
1,54,75070544480233,75070556937762
0,54,75070544480203,75070572771391
1,55,75070581056563,75070588606900
0,55,75070581056533,75070604440919
1,56,75070612758221,75070620271648
0,56,75070612758201,75070636094197
1,57,75070643987441,75070656986007
0,57,75070643987411,75070672813236
1,58,75070679532487,75070688636465
0,58,75070679532457,75070704461434
1,59,75070711005696,75070720272683
0,59,75070711005666,75070736092712
1,60,75070742540715,75070756983212
0,60,75070742540685,75070772485413
1,61,75070778102291,75070787978394
0,61,75070778102261,75070803815503
1,62,75070809956768,75070819640702
0,62,75070809956738,75070840575082
1,63,75070846223419,75070856440530
0,63,75070846223359,75070872252079
1,64,75070878956681,75070888102638
0,64,75070878956661,75070903918968
1,65,75070909872193,75070919700117
0,65,75070909872173,75070940365718
1,66,75070946065875,75070956179347
0,66,75070946065755,75070971998986
1,67,75070977555364,75070987833335
0,67,75070977555344,75071003665634
# complete
