kind,ordinal,begin_ns,end_ns
1,0,75079554949737,75079566240922
0,0,75079554947157,75079582852276
1,1,75083722474395,75083722475485
0,1,75083722473925,75083735075662
1,2,75083743134116,75083750502473
0,2,75083743134086,75083765955125
1,3,75083769389405,75083781472385
0,3,75083769389325,75083797033596
1,4,75083826084269,75083826084359
0,4,75083826084199,75083833399657
1,5,75083836857067,75083849227246
0,5,75083836857017,75083865021745
1,6,75083867325672,75083880828434
0,6,75083867325652,75083901721714
1,7,75083904743387,75083917548243
0,7,75083904743367,75083933410842
1,8,75083936816533,75083949243061
0,8,75083936816513,75083965057710
1,9,75083967609206,75083980879589
0,9,75083967609176,75084001778569
1,10,75084004634803,75084017483549
0,10,75084004634683,75084033043560
1,11,75084035712484,75084048566550
0,11,75084035712454,75084064123841
1,12,75084066658346,75084084712743
0,12,75084066658316,75084100263083
1,13,75084103516525,75084115774284
0,13,75084103516505,75084131327115
1,14,75084135290302,75084146832516
0,14,75084135290272,75084167392987
1,15,75084172233600,75084182901338
0,15,75084172233580,75084198452329
1,16,75084202855254,75084213962410
0,16,75084202855224,75084234574641
1,17,75084237942502,75084250084572
0,17,75084237942482,75084265630323
1,18,75084268574886,75084281137984
0,18,75084268574856,75084301737545
1,19,75084305276895,75084317247286
0,19,75084305276825,75084332681287
1,20,75084336526185,75084348116089
0,20,75084336526155,75084363550670
1,21,75084367549747,75084384038412
0,21,75084367549727,75084399510883
1,22,75084403131573,75084414943625
0,22,75084403131553,75084430380936
1,23,75084433141250,75084450906588
0,23,75084433141230,75084466402039
1,24,75084470080168,75084481834800
0,24,75084470080138,75084497323921
1,25,75084500281004,75084518175711
0,25,75084500280984,75084533681142
1,26,75084537587350,75084549397652
0,26,75084537587320,75084564855083
1,27,75084568993019,75084580313614
0,27,75084568992999,75084600819376
1,28,75084604822673,75084616275798
0,28,75084604822643,75084631787018
1,29,75084635764346,75084647246110
0,29,75084635764306,75084667795371
1,30,75084670993023,75084683232633
0,30,75084670992993,75084698726514
1,31,75084701924715,75084714162515
0,31,75084701924685,75084734651817
1,32,75084737378021,75084750085309
0,32,75084737378001,75084765498880
1,33,75084768830281,75084780854212
0,33,75084768830251,75084801356624
1,34,75084805710079,75084816791925
0,34,75084805710049,75084832230846
1,35,75084835571757,75084847702777
0,35,75084835571727,75084868190610
1,36,75084870629516,75084883678951
0,36,75084870629496,75084899114272
1,37,75084901501858,75084914607873
0,37,75084901501828,75084930045174
1,38,75084932618329,75084950577056
0,38,75084932618299,75084966014177
1,39,75084968653982,75084981488699
0,39,75084968653962,75084996921870
1,40,75084999986542,75085017480232
0,40,75084999986512,75085033310581
1,41,75085037166299,75085049081160
0,41,75085037166239,75085064532991
1,42,75085067807972,75085085036533
0,42,75085067807942,75085100516014
1,43,75085104042054,75085115965766
0,43,75085104042024,75085131461307
1,44,75085135078306,75085146912368
0,44,75085135078276,75085167461560
1,45,75085170883000,75085182897371
0,45,75085170882980,75085198335282
1,46,75085201060117,75085213835343
0,46,75085201060097,75085234322405
1,47,75085237995594,75085249753907
0,47,75085237995574,75085265188738
1,48,75085267856813,75085280656149
0,48,75085267856783,75085301140941
1,49,75085305032749,75085316573883
0,49,75085305032729,75085332008164
1,50,75085335288595,75085347440615
0,50,75085335288575,75085367926278
1,51,75085371004810,75085383363449
0,51,75085371004790,75085398837020
1,52,75085401893642,75085414276471
0,52,75085401893612,75085430089250
1,53,75085433952528,75085450989260
0,53,75085433952508,75085466835069
1,54,75085470367759,75085482663258
0,54,75085470367729,75085498490757
1,55,75085502247196,75085514318316
0,55,75085502247166,75085530142645
1,56,75085534490430,75085551034875
0,56,75085534490410,75085566859864
1,57,75085569992476,75085582686643
0,57,75085569992446,75085598509562
1,58,75085601419266,75085614335521
0,58,75085601419246,75085630157300
1,59,75085632540467,75085651052280
0,59,75085632540447,75085666882959
1,60,75085669411925,75085682698748
0,60,75085669411895,75085698526037
1,61,75085701319151,75085714349556
0,61,75085701319121,75085730171966
1,62,75085733534796,75085751064935
0,62,75085733534716,75085766888665
1,63,75085769760938,75085782713544
0,63,75085769760838,75085798538513
1,64,75085801680975,75085814362362
0,64,75085801680885,75085830185781
1,65,75085832328658,75085851078851
0,65,75085832328628,75085866898920
1,66,75085869181947,75085882723159
0,66,75085869181917,75085898547378
1,67,75085901185353,75085914371487
0,67,75085901185333,75085930193956
# complete
