kind,ordinal,begin_ns,end_ns
1,0,75045338762940,75045349977796
0,0,75045338760490,75045366578710
1,1,75048411428400,75048411429310
0,1,75048411427720,75048416550621
1,2,75048424456995,75048432351190
0,2,75048424456965,75048448181279
1,3,75048451572290,75048464005218
0,3,75048451572260,75048484891038
1,4,75048514295459,75048514295509
0,4,75048514295429,75048516213878
1,5,75048519474969,75048532026587
0,5,75048519474939,75048547850016
1,6,75048551538245,75048563675615
0,6,75048551538215,75048584720824
1,7,75048588779281,75048600222515
0,7,75048588779251,75048616048174
1,8,75048620028692,75048631869993
0,8,75048620028662,75048647704552
1,9,75048651839299,75048663547261
0,9,75048651839269,75048684438991
1,10,75048689227054,75048700292700
0,10,75048689227034,75048716094959
1,11,75048720280355,75048731923138
0,11,75048720280325,75048747781347
1,12,75048752302301,75048763609916
0,12,75048752302271,75048784630765
1,13,75048789284169,75048800485764
0,13,75048789284149,75048816318613
1,14,75048821040846,75048832094303
0,14,75048821040816,75048847916442
1,15,75048852412616,75048863742331
0,15,75048852412586,75048884644721
1,16,75048889734881,75048900472840
0,16,75048889734861,75048916305139
1,17,75048920142547,75048932124828
0,17,75048920142527,75048947943097
1,18,75048952017563,75048963770266
0,18,75048952017543,75048984662566
1,19,75048988813312,75049000521235
0,19,75048988813282,75049016352364
1,20,75049020297301,75049032170673
0,20,75049020297271,75049047992452
1,21,75049052828744,75049063818851
0,21,75049052828724,75049084714311
1,22,75049089019026,75049100536320
0,22,75049089019006,75049116351179
1,23,75049120986112,75049131813440
0,23,75049120986092,75049147304111
1,24,75049151653106,75049168209551
0,24,75049151653086,75049184028470
1,25,75049187807088,75049199858229
0,25,75049187807068,75049215701618
1,26,75049219737225,75049231552087
0,26,75049219737195,75049247425496
1,27,75049250160400,75049268326185
0,27,75049250160370,75049284133425
1,28,75049287283176,75049299878094
0,28,75049287283156,75049315712093
1,29,75049319194333,75049331224884
0,29,75049319194313,75049347014843
1,30,75049350009096,75049367605675
0,30,75049350009076,75049383461814
1,31,75049386141188,75049398996815
0,31,75049386141168,75049414629255
1,32,75049417857106,75049430431574
0,32,75049417857026,75049450848806
1,33,75049453724090,75049466461017
0,33,75049453724060,75049482311236
1,34,75049485048340,75049498139155
0,34,75049485048310,75049513908034
1,35,75049517250935,75049534672425
0,35,75049517250855,75049550590333
1,36,75049554353772,75049566416972
0,36,75049554353742,75049582242441
1,37,75049585221204,75049598064940
0,37,75049585221174,75049613886919
1,38,75049617271920,75049634781589
0,38,75049617271890,75049650609018
1,39,75049654983473,75049666419138
0,39,75049654983443,75049682259656
1,40,75049686012425,75049698107165
0,40,75049686012405,75049713950364
1,41,75049718052161,75049734849364
0,41,75049718052131,75049750671413
1,42,75049754624641,75049766493522
0,42,75049754624621,75049782315691
1,43,75049786106650,75049798133690
0,43,75049786106630,75049813956750
1,44,75049817643508,75049834848359
0,44,75049817643488,75049850670829
1,45,75049854891904,75049866489668
0,45,75049854891884,75049882311037
1,46,75049886051585,75049898127306
0,46,75049886051555,75049913947085
1,47,75049918152101,75049934838625
0,47,75049918152071,75049950663174
1,48,75049954896290,75049966479273
0,48,75049954896270,75049982304752
1,49,75049985727772,75049998123491
0,49,75049985727742,75050013942820
1,50,75050017957677,75050034834990
0,50,75050017957657,75050050660129
1,51,75050054542087,75050066481738
0,51,75050054542057,75050082308897
1,52,75050086727002,75050098154986
0,52,75050086726982,75050113978925
1,53,75050117936722,75050134890005
0,53,75050117936702,75050150697024
1,54,75050154857800,75050166185585
0,54,75050154857780,75050182015954
1,55,75050185763583,75050197838423
0,55,75050185763563,75050213671462
1,56,75050217365211,75050234579582
0,56,75050217365191,75050250429201
1,57,75050254531347,75050266258910
0,57,75050254531317,75050282069909
1,58,75050285106332,75050297888948
0,58,75050285106302,75050313718807
1,59,75050317034678,75050334611837
0,59,75050317034648,75050350446596
1,60,75050354300424,75050366279605
0,60,75050354300394,75050382102264
1,61,75050385175126,75050397869804
0,61,75050385175096,75050413379274
1,62,75050416180138,75050434260344
0,62,75050416180118,75050450089283
1,63,75050452946967,75050465907992
0,63,75050452946937,75050481750341
1,64,75050485109442,75050497611350
0,64,75050485109412,75050513432109
1,65,75050516536212,75050534316059
0,65,75050516536192,75050549808070
1,66,75050553309930,75050565649139
0,66,75050553309900,75050581472168
1,67,75050585266117,75050597292997
0,67,75050585266087,75050618185897
# complete
