kind,ordinal,begin_ns,end_ns
1,0,75058759176078,75058767555210
0,0,75058759173678,75058784176174
1,1,75061011284264,75061011285304
0,1,75061011283464,75061015823338
1,2,75061041088453,75061041088533
0,2,75061041088423,75061051723932
1,3,75061067202293,75061067275902
0,3,75061067202263,75061082643414
1,4,75061122268016,75061122268066
0,4,75061122267976,75061134061649
1,5,75061149122732,75061149497890
0,5,75061149122712,75061169986632
1,6,75061179010250,75061185425483
0,6,75061179010220,75061200859935
1,7,75061208913508,75061216329886
0,7,75061208913478,75061236817568
1,8,75061244949041,75061252289089
0,8,75061244949021,75061267723870
1,9,75061275888263,75061283220131
0,9,75061275888233,75061303707664
1,10,75061313121659,75061319201144
0,10,75061313121629,75061334633296
1,11,75061344069522,75061350065577
0,11,75061344069502,75061370550839
1,12,75061379753796,75061385984751
0,12,75061379753776,75061401480002
1,13,75061410972377,75061416916013
0,13,75061410972347,75061432380144
1,14,75061442121488,75061452923166
0,14,75061442121418,75061468528866
1,15,75061478960666,75061484060587
0,15,75061478960596,75061499630837
1,16,75061510132817,75061520209359
0,16,75061510132787,75061535767700
1,17,75061545261935,75061551280111
0,17,75061545261905,75061566820881
1,18,75061575021714,75061582332772
0,18,75061575021694,75061602927424
1,19,75061613063356,75061618454105
0,19,75061613063336,75061633998335
1,20,75061642785155,75061649486886
0,20,75061642785125,75061670080828
1,21,75061681012715,75061685606299
0,21,75061681012635,75061701165279
1,22,75061710740024,75061716688270
0,22,75061710739994,75061737287722
1,23,75061745984572,75061752769993
0,23,75061745984542,75061768465632
1,24,75061776957164,75061784338131
0,24,75061776957144,75061800146700
1,25,75061808884770,75061815962579
0,25,75061808884750,75061836546931
1,26,75061844038878,75061852368060
0,26,75061844038858,75061868169359
1,27,75061874804541,75061883989678
0,27,75061874804521,75061899809447
1,28,75061906735748,75061915650526
0,28,75061906735718,75061936524686
1,29,75061942969349,75061952349746
0,29,75061942969329,75061968154615
1,30,75061973754972,75061983964804
0,30,75061973754942,75061999481935
1,31,75062006242226,75062020377435
0,31,75062006242196,75062036198094
1,32,75062042301209,75062052020943
0,32,75062042301189,75062067830212
1,33,75062073791368,75062083654431
0,33,75062073791338,75062099476750
1,34,75062105790284,75062120377910
0,34,75062105790264,75062136244169
1,35,75062143193639,75062152064558
0,35,75062143193609,75062167860467
1,36,75062174778347,75062183684296
0,36,75062174778327,75062199511715
1,37,75062206888763,75062220393895
0,37,75062206888733,75062236204254
1,38,75062243824430,75062252032963
0,38,75062243824410,75062267852192
1,39,75062275992975,75062283681091
0,39,75062275992955,75062299507260
1,40,75062308275400,75062320399440
0,40,75062308275380,75062336212939
1,41,75062345868654,75062352031678
0,41,75062345868614,75062367850888
1,42,75062377065625,75062383674717
0,42,75062377065595,75062399487826
1,43,75062409225000,75062420222337
0,43,75062409224970,75062435688238
1,44,75062445244293,75062451126829
0,44,75062445244003,75062466561200
1,45,75062475082231,75062487049482
0,45,75062475082171,75062502482794
1,46,75062511988139,75062517916805
0,46,75062511988119,75062533353176
1,47,75062543037861,75062553841239
0,47,75062543037841,75062569279460
1,48,75062579310182,75062584713341
0,48,75062579310162,75062600148112
1,49,75062608975052,75062615581244
0,49,75062608974972,75062636070686
1,50,75062644851025,75062651558747
0,50,75062644850955,75062666994858
1,51,75062675284101,75062682429649
0,51,75062675284021,75062702915932
1,52,75062711140574,75062718410543
0,52,75062711140494,75062733845654
1,53,75062743294570,75062749317295
0,53,75062743294540,75062769803537
1,54,75062777928201,75062785295718
0,54,75062777928171,75062800729240
1,55,75062808985372,75062816223581
0,55,75062808985352,75062836714663
1,56,75062844034991,75062852148464
0,56,75062844034971,75062867607375
1,57,75062876132026,75062883042147
0,57,75062876131996,75062903562719
1,58,75062910881367,75062918996420
0,58,75062910881337,75062934450581
1,59,75062941840969,75062949884302
0,59,75062941840949,75062970415164
1,60,75062978150330,75062985847936
0,60,75062978150300,75063001284037
1,61,75063008984723,75063016715748
0,61,75063008984703,75063037202281
1,62,75063044082301,75063052672212
0,62,75063044082271,75063068152753
1,63,75063075121733,75063083633264
0,63,75063075121713,75063099141295
1,64,75063107157808,75063119721596
0,64,75063107157778,75063135619695
1,65,75063144122246,75063151056346
0,65,75063144122226,75063166569327
1,66,75063173988114,75063187076459
0,66,75063173988084,75063202570680
1,67,75063209846678,75063218009341
0,67,75063209846658,75063233465662
# complete
