kind,ordinal,begin_ns,end_ns
1,0,75025471031339,75025479673260
0,0,75025471028599,75025495965096
1,1,75027727478481,75027727479401
0,1,75027727477801,75027728016137
1,2,75027749343545,75027749343715
0,2,75027749343435,75027764447218
1,3,75027771552177,75027780281687
0,3,75027771552137,75027796103416
1,4,75027839129259,75027839129379
0,4,75027839129179,75027848636984
1,5,75027861417351,75027864457533
0,5,75027861417321,75027880280252
1,6,75027885562202,75027896098451
0,6,75027885562172,75027911917411
1,7,75027917547818,75027927739069
0,7,75027917547798,75027948629449
1,8,75027955518700,75027964451258
0,8,75027955518680,75027980274308
1,9,75027987472006,75027996093137
0,9,75027987471926,75028011917676
1,10,75028018267209,75028027742705
0,10,75028018267189,75028048637065
1,11,75028054382382,75028064457754
0,11,75028054382362,75028080280213
1,12,75028085553483,75028096099492
0,12,75028085553433,75028111909831
1,13,75028119382958,75028132495483
0,13,75028119382878,75028148322872
1,14,75028157605208,75028164139871
0,14,75028157605138,75028179959060
1,15,75028189186927,75028195779909
0,15,75028189186897,75028211603798
1,16,75028220211309,75028232495768
0,16,75028220211289,75028248316867
1,17,75028255308787,75028264132466
0,17,75028255308727,75028279950385
1,18,75028286685577,75028295762294
0,18,75028286685447,75028311587923
1,19,75028319270879,75028332490983
0,19,75028319270839,75028348333742
1,20,75028356197477,75028364153831
0,20,75028356197407,75028379972110
1,21,75028388626321,75028395805279
0,21,75028388626271,75028411628918
1,22,75028419507583,75028432520208
0,22,75028419507553,75028448346267
1,23,75028455580616,75028464162826
0,23,75028455580586,75028479980746
1,24,75028486313689,75028495795475
0,24,75028486313569,75028511621364
1,25,75028519418039,75028532515954
0,25,75028519417969,75028548344063
1,26,75028555180453,75028564165642
0,26,75028555180423,75028579984991
1,27,75028588381583,75028595802070
0,27,75028588381553,75028611627789
1,28,75028620376549,75028632518139
0,28,75028620376529,75028648343098
1,29,75028656485101,75028664164057
0,29,75028656485071,75028680010496
1,30,75028687266164,75028695840545
0,30,75028687266144,75028711660444
1,31,75028719299670,75028732538274
0,31,75028719299650,75028748357933
1,32,75028755512702,75028764171452
0,32,75028755512622,75028780003821
1,33,75028788230434,75028795825040
0,33,75028788230354,75028811287781
1,34,75028821580102,75028831789494
0,34,75028821580082,75028847242765
1,35,75028855481227,75028862742476
0,35,75028855481187,75028878182357
1,36,75028884521271,75028899066037
0,36,75028884521231,75028914598338
1,37,75028920226895,75028930055639
0,37,75028920226875,75028945543130
1,38,75028951261707,75028961003481
0,38,75028951261677,75028981498183
1,39,75028989358928,75028996939554
0,39,75028989358668,75029012374856
1,40,75029021259035,75029027805947
0,40,75029021259005,75029048292929
1,41,75029055338209,75029063782550
0,41,75029055338179,75029079216522
1,42,75029086325641,75029094676063
0,42,75029086325591,75029115161605
1,43,75029122268484,75029130610606
0,43,75029122268414,75029146002958
1,44,75029153169816,75029161432549
0,44,75029153169786,75029181885881
1,45,75029189600277,75029197400312
0,45,75029189600257,75029213229951
1,46,75029221363275,75029229049810
0,46,75029221363075,75029244872810
1,47,75029251747000,75029265538921
0,47,75029251746980,75029281374420
1,48,75029288240410,75029297192289
0,48,75029288240380,75029313012128
1,49,75029320524095,75029328837017
0,49,75029320524075,75029344647076
1,50,75029352359382,75029365058669
0,50,75029352359322,75029380510190
1,51,75029388088346,75029395958801
0,51,75029388088316,75029411724900
1,52,75029419125958,75029427567759
0,52,75029419125938,75029448394470
1,53,75029455429939,75029463909471
0,53,75029455429859,75029479692060
1,54,75029488641898,75029495525289
0,54,75029488641818,75029510982160
1,55,75029519305242,75029531496442
0,55,75029519305212,75029547317671
1,56,75029555411375,75029563135530
0,56,75029555411345,75029578955699
1,57,75029586199238,75029594780138
0,57,75029586199208,75029615673728
1,58,75029622383500,75029631499127
0,58,75029622383470,75029647327386
1,59,75029653182563,75029663158035
0,59,75029653182533,75029678996284
1,60,75029685617226,75029694850213
0,60,75029685617206,75029715719903
1,61,75029721198242,75029731540042
0,61,75029721198212,75029747368091
1,62,75029752560712,75029763181801
0,62,75029752560582,75029778995780
1,63,75029785673111,75029794816579
0,63,75029785673031,75029815708869
1,64,75029822230861,75029831529038
0,64,75029822230831,75029847354757
1,65,75029852379778,75029863170786
0,65,75029852379748,75029878985245
1,66,75029884682522,75029894806804
0,66,75029884682492,75029915719724
1,67,75029921321472,75029931544493
0,67,75029921321442,75029947371912
# complete
