kind,ordinal,begin_ns,end_ns
1,0,75033495888267,75033506555066
0,0,75033495885527,75033523159521
1,1,75035746630450,75035746631450
0,1,75035746629720,75035758434153
1,2,75035779701251,75035779701411
0,2,75035779701171,75035789660723
1,3,75035801483595,75035810178765
0,3,75035801483565,75035825736116
1,4,75035867819654,75035867819694
0,4,75035867819614,75035877162300
1,5,75035889515189,75035892600121
0,5,75035889515169,75035908141502
1,6,75035913676050,75035923652213
0,6,75035913676030,75035939193594
1,7,75035944545983,75035959759685
0,7,75035944545953,75035975455455
1,8,75035981716989,75035991296494
0,8,75035981716959,75036007108063
1,9,75036013618396,75036022887352
0,9,75036013618366,75036043784172
1,10,75036050833422,75036059623521
0,10,75036050833392,75036075448490
1,11,75036080602141,75036091278549
0,11,75036080602111,75036107097378
1,12,75036112855215,75036122887957
0,12,75036112855195,75036143785757
1,13,75036151884650,75036159612206
0,13,75036151884610,75036175493425
1,14,75036185597227,75036191334484
0,14,75036185597197,75036207150703
1,15,75036216598469,75036222982292
0,15,75036216598429,75036243925762
1,16,75036252923810,75036259768821
0,16,75036252923790,75036275586420
1,17,75036282418060,75036291401609
0,17,75036282418020,75036307216338
1,18,75036313921099,75036323028917
0,18,75036313921069,75036343906587
1,19,75036351716762,75036359746886
0,19,75036351716702,75036375579495
1,20,75036383824378,75036391406974
0,20,75036383824338,75036407182033
1,21,75036415890053,75036422643175
0,21,75036415890023,75036443146807
1,22,75036451534629,75036458653778
0,22,75036451534599,75036474486607
1,23,75036481744675,75036490277856
0,23,75036481744645,75036505735817
1,24,75036511928461,75036526242859
0,24,75036511928411,75036541691740
1,25,75036549773184,75036557145881
0,25,75036549773154,75036572596763
1,26,75036579522693,75036593084205
0,26,75036579522673,75036608513936
1,27,75036618712878,75036623944418
0,27,75036618712858,75036639378009
1,28,75036648597586,75036659862411
0,28,75036648597556,75036675296442
1,29,75036683794314,75036690727104
0,29,75036683794244,75036706157615
1,30,75036713538993,75036726639787
0,30,75036713538963,75036742070209
1,31,75036749595415,75036757500910
0,31,75036749595395,75036772931711
1,32,75036779905981,75036793432243
0,32,75036779905951,75036808935764
1,33,75036816968798,75036824762383
0,33,75036816968678,75036840584732
1,34,75036850936573,75036856405502
0,34,75036850936543,75036877300031
1,35,75036885883922,75036893114481
0,35,75036885883902,75036908930710
1,36,75036915468142,75036924751109
0,36,75036915468122,75036940572058
1,37,75036946782372,75036956393887
0,37,75036946782352,75036977279997
1,38,75036984055358,75036993055166
0,38,75036984055328,75037008536647
1,39,75037016832220,75037024359986
0,39,75037016832200,75037040177405
1,40,75037048808236,75037055993054
0,40,75037048808196,75037076887644
1,41,75037084532740,75037092710993
0,41,75037084532710,75037108533602
1,42,75037115874110,75037124353662
0,42,75037115874090,75037139970022
1,43,75037147607128,75037160551843
0,43,75037147607088,75037176374683
1,44,75037183633271,75037192192072
0,44,75037183633241,75037207970461
1,45,75037215625267,75037223796460
0,45,75037215625237,75037239637549
1,46,75037247530444,75037260557729
0,46,75037247530424,75037276378248
1,47,75037283773175,75037292191607
0,47,75037283773145,75037308005846
1,48,75037315714592,75037323820845
0,48,75037315714562,75037339645084
1,49,75037347898827,75037360528064
0,49,75037347898797,75037376361473
1,50,75037383854180,75037392181012
0,50,75037383854150,75037407997731
1,51,75037415624987,75037423821080
0,51,75037415624957,75037439644779
1,52,75037446466650,75037460540059
0,52,75037446466630,75037476363478
1,53,75037483887185,75037492193537
0,53,75037483887155,75037508034926
1,54,75037516596977,75037523848825
0,54,75037516596947,75037539672235
1,55,75037548657693,75037560567204
0,55,75037548657673,75037576387434
1,56,75037585478181,75037592199913
0,56,75037585478151,75037608018592
1,57,75037615738207,75037623835441
0,57,75037615738127,75037639657310
1,58,75037645940824,75037660549510
0,58,75037645940794,75037676380639
1,59,75037682713882,75037692195918
0,59,75037682713812,75037708012017
1,60,75037714606659,75037723828596
0,60,75037714606639,75037739662875
1,61,75037744732276,75037760586145
0,61,75037744732256,75037776402894
1,62,75037781553284,75037791923615
0,62,75037781553244,75037807742574
1,63,75037814618404,75037823563193
0,63,75037814618374,75037839383312
1,64,75037845774425,75037860266892
0,64,75037845774395,75037876080911
1,65,75037881911288,75037891893850
0,65,75037881911218,75037907712549
1,66,75037913722545,75037923533288
0,66,75037913722515,75037939343117
1,67,75037944916965,75037959910009
0,67,75037944916945,75037975427610
# complete
