kind,ordinal,begin_ns,end_ns
1,0,74995781062548,74995787681610
0,0,74995781060188,74995804206515
1,1,74998026812821,74998026813731
0,1,74998026812101,74998036752034
1,2,74998062566096,74998062566126
0,2,74998062566066,74998068412192
1,3,74998088643106,74998088924304
0,3,74998088643066,74998104380025
1,4,74998144837763,74998144837913
0,4,74998144837713,74998155820050
1,5,74998171634609,74998171634639
0,5,74998171634579,74998186694222
1,6,74998199690598,74998202170293
0,6,74998199690568,74998222657036
1,7,74998230774599,74998238147477
0,7,74998230774559,74998253589818
1,8,74998262567756,74998269050719
0,8,74998262567666,74998284890438
1,9,74998293603068,74998305784638
0,9,74998293603048,74998321676056
1,10,74998330663865,74998337472996
0,10,74998330663765,74998353318175
1,11,74998362729791,74998369139034
0,11,74998362729751,74998384958493
1,12,74998394601237,74998405855773
0,12,74998394601197,74998421686952
1,13,74998431613925,74998437527101
0,13,74998431613885,74998453303470
1,14,74998462359528,74998468751791
0,14,74998462359458,74998489243993
1,15,74998499834943,74998504685875
0,15,74998499834913,74998520117676
1,16,74998530880454,74998535549627
0,16,74998530880334,74998550982209
1,17,74998560519584,74998571471981
0,17,74998560519554,74998586903742
1,18,74998595723831,74998602339533
0,18,74998595723711,74998617832194
1,19,74998627833597,74998638318187
0,19,74998627833557,74998653812248
1,20,74998662620497,74998669690126
0,20,74998662620367,74998685515875
1,21,74998695846786,74998701358074
0,21,74998695846706,74998722250724
1,22,74998731479731,74998738072803
0,22,74998731479701,74998753897932
1,23,74998762946040,74998769724741
0,23,74998762945910,74998785552420
1,24,74998794478479,74998801373209
0,24,74998794478439,74998822259049
1,25,74998829860166,74998838183208
0,25,74998829860106,74998853638319
1,26,74998861424184,74998869089660
0,26,74998861424154,74998884540482
1,27,74998890455487,74998905049414
0,27,74998890455457,74998920499135
1,28,74998927419495,74998935983536
0,28,74998927419475,74998951426947
1,29,74998957762091,74998971971199
0,29,74998957761731,74998987405130
1,30,74998993542385,74999002862971
0,30,74998993542325,74999018316763
1,31,74999024598707,74999038874295
0,31,74999024598677,74999054697114
1,32,74999061428275,74999070545482
0,32,74999061428255,74999086399281
1,33,74999092831634,74999102229770
0,33,74999092831604,74999118015970
1,34,74999124801021,74999138597001
0,34,74999124800921,74999154058772
1,35,74999160495755,74999169573003
0,35,74999160495715,74999185112164
1,36,74999192463432,74999205677856
0,36,74999192463412,74999221280466
1,37,74999228728643,74999237094725
0,37,74999228728613,74999252919304
1,38,74999260396531,74999268743643
0,38,74999260396461,74999284518923
1,39,74999292830465,74999304959995
0,39,74999292830435,74999320409976
1,40,74999328663579,74999335907537
0,40,74999328663509,74999351558227
1,41,74999360559976,74999372068919
0,41,74999360559946,74999387518411
1,42,74999395902473,74999402973272
0,42,74999395902443,74999418428863
1,43,74999427831549,74999438930445
0,43,74999427831519,74999454425306
1,44,74999463734523,74999470260555
0,44,74999463734503,74999486043324
1,45,74999494735784,74999501498386
0,45,74999494735714,74999522085857
1,46,74999531691362,74999537903216
0,46,74999531691292,74999553729665
1,47,74999563939897,74999569555714
0,47,74999563939867,74999585382404
1,48,74999594436911,74999603149101
0,48,74999594436871,74999620198373
1,49,74999628908783,74999637120586
0,49,74999628908753,74999654204548
1,50,74999662956498,74999671706257
0,50,74999662956468,74999689115677
1,51,74999697882177,74999706201359
0,51,74999697882147,74999718114741
1,52,74999726501772,74999735203022
0,52,74999726501742,74999751242600
1,53,74999760947735,74999771761822
0,53,74999760947655,74999787285403
1,54,74999795887904,74999803117442
0,54,74999795887874,74999818936891
1,55,74999827586691,74999834764180
0,55,74999827586621,74999855654500
1,56,74999863461315,74999871477629
0,56,74999863461295,74999887300778
1,57,74999895481111,74999903116427
0,57,74999895481091,74999918932476
1,58,74999926960140,74999934754996
0,58,74999926960110,74999955601816
1,59,74999962595466,74999971003267
0,59,74999962595446,74999986452368
1,60,74999993510118,75000001961199
0,60,74999993510048,75000017784108
1,61,75000025527954,75000038656588
0,61,75000025527934,75000054474247
1,62,75000062388682,75000070306166
0,62,75000062388662,75000086125226
1,63,75000093772432,75000101941465
0,63,75000093772412,75000117772024
1,64,75000125877117,75000138653414
0,64,75000125877047,75000154477983
1,65,75000161464533,75000170435571
0,65,75000161464493,75000185887922
1,66,75000193687827,75000201338693
0,66,75000193687797,75000221841936
1,67,75000229494282,75000237301307
0,67,75000229494262,75000252752248
# complete
