kind,ordinal,begin_ns,end_ns
1,0,75001891299661,75001900085560
0,0,75001891296861,75001916847544
1,1,75004136661546,75004136662846
0,1,75004136660936,75004151187442
1,2,75004176861985,75004176862155
0,2,75004176861915,75004182514992
1,3,75004203016294,75004203016324
0,3,75004203016254,75004219256671
1,4,75004258795924,75004258796084
0,4,75004258795844,75004266765238
1,5,75004285608530,75004285608570
0,5,75004285608500,75004298411526
1,6,75004313628489,75004319306376
0,6,75004313628469,75004335126045
1,7,75004344066394,75004350943894
0,7,75004344066364,75004366776703
1,8,75004375778161,75004382604762
0,8,75004375778141,75004398428441
1,9,75004406807083,75004419342971
0,9,75004406807053,75004435162480
1,10,75004444747555,75004450954459
0,10,75004444747325,75004466534740
1,11,75004475679437,75004482069390
0,11,75004475679397,75004502682092
1,12,75004512068498,75004518192843
0,12,75004512068458,75004533749593
1,13,75004542694102,75004549247354
0,13,75004542694082,75004564796315
1,14,75004573686234,75004585342947
0,14,75004573686024,75004600883738
1,15,75004610783151,75004616403818
0,15,75004610783111,75004631945159
1,16,75004642543018,75004652516691
0,16,75004642542988,75004668057181
1,17,75004677836025,75004683576272
0,17,75004677835995,75004699116173
1,18,75004707735913,75004719691375
0,18,75004707735883,75004735234725
1,19,75004744714561,75004750756606
0,19,75004744714531,75004766304097
1,20,75004775775252,75004781822658
0,20,75004775775232,75004802436469
1,21,75004812677040,75004817951890
0,21,75004812677000,75004833774969
1,22,75004842528009,75004849595698
0,22,75004842527979,75004865416747
1,23,75004873630650,75004886307197
0,23,75004873630620,75004902107526
1,24,75004909975451,75004917602957
0,24,75004909975411,75004933436056
1,25,75004941537250,75004949263865
0,25,75004941537230,75004965083154
1,26,75004972654191,75004985638586
0,26,75004972654121,75005001144077
1,27,75005007824079,75005016961886
0,27,75005007824059,75005032783325
1,28,75005040533551,75005048606114
0,28,75005040533521,75005069500914
1,29,75005075713169,75005085328033
0,29,75005075713149,75005101111873
1,30,75005107687435,75005116587064
0,30,75005107687415,75005132440183
1,31,75005138672867,75005148279082
0,31,75005138672837,75005169168771
1,32,75005175749374,75005184981471
0,32,75005175749344,75005200806050
1,33,75005207849289,75005216626269
0,33,75005207849269,75005232448268
1,34,75005238785891,75005248253977
0,34,75005238785821,75005268806639
1,35,75005274555266,75005284628288
0,35,75005274555246,75005300422907
1,36,75005307881374,75005316063317
0,36,75005307881344,75005331560228
1,37,75005338786427,75005352443858
0,37,75005338786407,75005367964529
1,38,75005374793220,75005383464860
0,38,75005374793200,75005399075170
1,39,75005407554101,75005414829100
0,39,75005407554071,75005435712320
1,40,75005444037822,75005451206390
0,40,75005444037802,75005466692951
1,41,75005475081823,75005482168413
0,41,75005475081703,75005502733124
1,42,75005510959427,75005518555633
0,42,75005510959397,75005534250563
1,43,75005543806918,75005549767804
0,43,75005543806888,75005565595533
1,44,75005574903410,75005581419542
0,44,75005574903390,75005602264722
1,45,75005611254131,75005617747583
0,45,75005611254111,75005633558642
1,46,75005642673420,75005649318802
0,46,75005642673320,75005664708603
1,47,75005675127084,75005685142426
0,47,75005675126994,75005700519728
1,48,75005709572256,75005715907169
0,48,75005709572226,75005731657649
1,49,75005739721712,75005752220750
0,49,75005739721692,75005768006040
1,50,75005776951598,75005783812659
0,50,75005776951568,75005799581088
1,51,75005807888231,75005815418697
0,51,75005807888201,75005836320687
1,52,75005845004127,75005852145786
0,52,75005845004107,75005867969805
1,53,75005877842248,75005883802194
0,53,75005877842188,75005899627673
1,54,75005908833090,75005915453262
0,54,75005908833060,75005936341372
1,55,75005944631435,75005951862703
0,55,75005944631415,75005967714722
1,56,75005974887241,75005983549941
0,56,75005974887211,75005999392760
1,57,75006008009450,75006015249439
0,57,75006008009420,75006036153499
1,58,75006043902344,75006051659649
0,58,75006043902224,75006067484728
1,59,75006076066389,75006083308418
0,59,75006076066369,75006099129587
1,60,75006106873272,75006114950476
0,60,75006106873242,75006135852766
1,61,75006142727166,75006151675485
0,61,75006142727136,75006167498044
1,62,75006174901321,75006183324253
0,62,75006174901291,75006199142672
1,63,75006207057046,75006214960541
0,63,75006207057026,75006235838361
1,64,75006243601746,75006251460311
0,64,75006243601716,75006267312660
1,65,75006275490073,75006283134389
0,65,75006275490043,75006298959728
1,66,75006306903052,75006314784497
0,66,75006306903032,75006335666467
1,67,75006342689277,75006351492316
0,67,75006342689247,75006367317825
# complete
