call,valid,wrap,count,last,error,expected,matrices,nonfinite,read_errors,live_allocs,live_bytes,active_hex
0,1,1,1,0,0,1,111,0,0,3771,868121,0100500000000100400100004001f2fffeb9ffffa0000000983f0000d3ff0000e862000000000000388600002d00000010a90000d3ff000060cc000000000000b0ef00002d00000000003c000000195a
1,1,1,2,1,0,2,111,0,0,3771,868121,010050000100010040c90000490ef9fffedcffffa000000098070100d3ff0000e82a010000000000384e01002d00000010710100d3ff00006094010000000000b0b701002d00000000003c000100195a
2,1,1,3,2,0,3,111,0,0,3771,868121,010050000200010040910100521b000000000000a000000098cf0100d3ff0000e8f2010000000000381602002d00000010390200d3ff0000605c020000000000b07f02002d00000000003c000200195a
3,1,1,4,3,0,4,111,0,0,3771,868121,0100500003000100405902001b09070002230000a000000098970200d3ff0000e8ba02000000000038de02002d00000010010300d3ff00006024030000000000b04703002d00000000003c000300195a
4,1,1,5,4,0,5,111,0,0,3771,868121,01005000040001004021030024160e0002460000a0000000985f0300d3ff0000e88203000000000038a603002d00000010c90300d3ff000060ec030000000000b00f04002d00000000003c000400195a
5,1,1,6,5,0,6,111,0,0,3771,868121,010050000500010040e90300ed03000000000000a000000098270400d3ff0000e84a040000000000386e04002d00000010910400d3ff000060b4040000000000b0d704002d00000000003c000500195a
6,1,1,7,6,0,7,111,0,0,3771,868121,010050000600010040b10400f6100e0002f6ffffa000000098ef0400d3ff0000e812050000000000383605002d00000010590500d3ff0000607c050000000000b09f05002d00000000003c000600195a
7,1,1,8,7,0,8,111,0,0,3771,868121,010050000700010040790500ff1df2fffe090000a000000098b70500d3ff0000e8da05000000000038fe05002d00000010210600d3ff00006044060000000000b06706002d00000000003c000700195a
8,1,1,9,8,0,9,111,0,0,3771,868121,010050000800010040410600c80bf2fffeb9ffffa0000000987f0600d3ff0000e8a206000000000038c606002d00000010e90600d3ff0000600c070000000000b02f07002d00000000003c000800195a
9,1,1,10,9,0,10,112,0,0,3772,868137,010050000900010040090700d118f9fffedcffffa000000098470700d3ff0000e86a070000000000388e07002d00000010b10700d3ff000060d4070000000000b0f707002d00000000003c000900195a
10,1,1,11,10,0,11,112,0,0,3772,868137,010050000a00010040d107009a06000000000000a0000000980f0800d3ff0000e832080000000000385608002d00000010790800d3ff0000609c080000000000b0bf08002d00000000003c000a00195a
11,1,1,12,11,0,12,112,0,0,3772,868137,010050000b00010040990800a313070001230000a000000098d70800d3ff0000e8fa080000000000381e09002d00000010410900d3ff00006064090000000000b08709002d00000000003c000b00195a
12,1,1,13,12,0,13,112,0,0,3772,868137,010050000c000100406109006c010e0001460000a0000000989f0900d3ff0000e8c209000000000038e609002d00000010090a00d3ff0000602c0a0000000000b04f0a002d00000000003c000c00195a
13,1,1,14,13,0,14,112,0,0,3772,868137,010050000d00010040290a00750e000000000000a000000098670a00d3ff0000e88a0a000000000038ae0a002d00000010d10a00d3ff000060f40a0000000000b0170b002d00000000003c000d00195a
14,1,1,15,14,0,15,112,0,0,3772,868137,010050000e00010040f10a007e1b0e0002f6ffffa0000000982f0b00d3ff0000e8520b000000000038760b002d00000010990b00d3ff000060bc0b0000000000b0df0b002d00000000003c000e00195a
15,1,1,16,15,0,16,112,0,0,3772,868137,010050000f00010040b90b004709f2fffe090000a000000098f70b00d3ff0000e81a0c0000000000383e0c002d00000010610c00d3ff000060840c0000000000b0a70c002d00000000003c000f00195a
16,1,1,17,16,0,17,112,0,0,3772,868137,010050001000010040810c005016f2fffeb9ffffa000000098bf0c00d3ff0000e8e20c000000000038060d002d00000010290d00d3ff0000604c0d0000000000b06f0d002d00000000003c001000195a
