call,valid,wrap,count,last,error,expected,matrices,nonfinite,read_errors,live_allocs,live_bytes,active_hex
0,1,1,1,0,0,1,106,0,0,3698,720553,0100500000000000400100004001f2fffeb9ffffa0000000983f0000d3ff0000e862000000000000388600002d00000010a90000d3ff000060cc000000000000b0ef00002d00000000003c000000195a
1,1,1,2,1,0,2,106,0,0,3698,720553,010050000100000068240000b105f9fffedcffffa0000000c0620000d3ff0000108600000000000060a900002d00000038cc0000d3ff000088ef000000000000d81201002d00000000003c000100195a
2,1,1,3,2,0,3,106,0,0,3698,720553,010050000200000090470000220a000000000000a0000000e8850000d3ff000038a900000000000088cc00002d00000060ef0000d3ff0000b012010000000000003601002d00000000003c000200195a
3,1,1,4,3,0,4,106,0,0,3698,720553,0100500003000000b86a0000930e070002230000a000000010a90000d3ff000060cc000000000000b0ef00002d00000088120100d3ff0000d835010000000000285901002d00000000003c000300195a
4,1,1,5,4,0,5,106,0,0,3698,720553,0100500004000000e08d000004130e0002460000a000000038cc0000d3ff000088ef000000000000d81201002d000000b0350100d3ff00000059010000000000507c01002d00000000003c000400195a
5,1,1,6,5,0,6,106,0,0,3698,720553,010050000500000008b100007517000000000000a000000060ef0000d3ff0000b012010000000000003601002d000000d8580100d3ff0000287c010000000000789f01002d00000000003c000500195a
6,1,1,7,6,0,7,106,0,0,3698,720553,010050000600000030d40000e61b0e0003f6ffffa000000088120100d3ff0000d835010000000000285901002d000000007c0100d3ff0000509f010000000000a0c201002d00000000003c000600195a
7,1,1,8,7,0,8,106,0,0,3698,720553,010050000700000058f700001701f2fffe090000a0000000b0350100d3ff00000059010000000000507c01002d000000289f0100d3ff000078c2010000000000c8e501002d00000000003c000700195a
8,1,1,9,8,0,9,106,0,0,3698,720553,0100500008000000801a01008805f2fffeb9ffffa0000000d8580100d3ff0000287c010000000000789f01002d00000050c20100d3ff0000a0e5010000000000f00802002d00000000003c000800195a
9,1,1,10,9,0,10,106,0,0,3698,720553,0100500009000000a83d0100f909f9fffedcffffa0000000007c0100d3ff0000509f010000000000a0c201002d00000078e50100d3ff0000c808020000000000182c02002d00000000003c000900195a
10,1,1,11,10,0,11,106,0,0,3698,720553,010050000a000000d06001006a0e000000000000a0000000289f0100d3ff000078c2010000000000c8e501002d000000a0080200d3ff0000f02b020000000000404f02002d00000000003c000a00195a
