kind,ordinal,begin_ns,end_ns
1,0,73044704094213,73044716124564
0,0,73044704090163,73044732432631
1,1,73046953536595,73046953537565
0,1,73046953535916,73046962777533
1,2,73046988491427,73046988491627
0,2,73046988491337,73046999451364
1,3,73047014465919,73047015296704
0,3,73047014465839,73047031096974
1,4,73047070462310,73047070462540
0,4,73047070462240,73047078488225
1,5,73047097600956,73047099038278
0,5,73047097600876,73047114858268
1,6,73047125353738,73047130698538
0,6,73047125353708,73047146506788
1,7,73047155458987,73047162297668
0,7,73047155458957,73047178081568
1,8,73047186813688,73047198986669
0,8,73047186813668,73047214811249
1,9,73047223622989,73047230632789
0,9,73047223622959,73047246433789
1,10,73047255650317,73047262256349
0,10,73047255650297,73047278053569
1,11,73047287684425,73047298954190
0,11,73047287684405,73047314792570
1,12,73047324417936,73047330618140
0,12,73047324417906,73047346430030
1,13,73047355853517,73047362264520
0,13,73047355853487,73047378082230
1,14,73047387780255,73047398970651
0,14,73047387780225,73047414798131
1,15,73047425816419,73047430617831
0,15,73047425816399,73047446436701
1,16,73047457755097,73047462262111
0,16,73047457755077,73047478081611
1,17,73047487470608,73047498970463
0,17,73047487470578,73047514792262
1,18,73047523725852,73047530612423
0,18,73047523725822,73047546431093
1,19,73047555597320,73047562252952
0,19,73047555597290,73047578021343
1,20,73047587420929,73047598670325
0,20,73047587420899,73047614495845
1,21,73047624823697,73047630316325
0,21,73047624823667,73047646137445
1,22,73047655617581,73047661971235
0,22,73047655617561,73047677809875
1,23,73047686925933,73047698734766
0,23,73047686925913,73047714562406
1,24,73047722458961,73047730379966
0,24,73047722458941,73047746186166
1,25,73047754556129,73047762011906
0,25,73047754556099,73047777834266
1,26,73047785890090,73047798726807
0,26,73047785890060,73047814555827
1,27,73047820839351,73047830385097
0,27,73047820839321,73047846203717
1,28,73047853715954,73047862021197
0,28,73047853715924,73047877836187
1,29,73047884551719,73047898729158
0,29,73047884551689,73047914552978
1,30,73047920732723,73047930382238
0,30,73047920732703,73047946234558
1,31,73047952726631,73047962052828
0,31,73047952726611,73047977868338
1,32,73047984755889,73047998762309
0,32,73047984755869,73048014603229
1,33,73048020900223,73048030444309
0,33,73048020900143,73048046270989
1,34,73048052943941,73048062089029
0,34,73048052943911,73048077906979
1,35,73048084885639,73048098800980
0,35,73048084885619,73048114651980
1,36,73048121524131,73048130460150
0,36,73048121524111,73048146290080
1,37,73048153470079,73048162106650
0,37,73048153470039,73048177927490
1,38,73048185476077,73048198820741
0,38,73048185476047,73048214643581
1,39,73048223508761,73048230461681
0,39,73048223508731,73048246290381
1,40,73048254911692,73048262106411
0,40,73048254911662,73048277926171
1,41,73048287452027,73048298821022
0,41,73048287451997,73048314641752
1,42,73048323807590,73048330458452
0,42,73048323807560,73048346278872
1,43,73048355902477,73048362091622
0,43,73048355902457,73048377903992
1,44,73048387835636,73048398796583
0,44,73048387835616,73048414613963
1,45,73048423564193,73048430431123
0,45,73048423564163,73048446252873
1,46,73048455672790,73048462067653
0,46,73048455672760,73048477884324
1,47,73048487714688,73048498774945
0,47,73048487714658,73048514593615
1,48,73048524721457,73048530410035
0,48,73048524721427,73048546233455
1,49,73048554899345,73048562050425
0,49,73048554899315,73048577865055
1,50,73048587482960,73048598755086
0,50,73048587482940,73048614572746
1,51,73048623773124,73048630389146
0,51,73048623773104,73048646208366
1,52,73048655834271,73048662034966
0,52,73048655834241,73048677866446
1,53,73048687556661,73048698798627
0,53,73048687556641,73048714617807
1,54,73048723636505,73048730434567
0,54,73048723636475,73048746248547
1,55,73048754935017,73048762060787
0,55,73048754934997,73048777897327
1,56,73048786833776,73048798790018
0,56,73048786833746,73048814612988
1,57,73048823716246,73048830434418
0,57,73048823716226,73048846256378
1,58,73048854021734,73048862070438
0,58,73048854021714,73048877885648
1,59,73048885496175,73048898777229
0,59,73048885496155,73048914596869
1,60,73048922947162,73048930414069
0,60,73048922947132,73048946234829
1,61,73048953635497,73048962051489
0,61,73048953635467,73048977865429
1,62,73048985534746,73048998755240
0,62,73048985534726,73049014583660
1,63,73049022925053,73049030403610
0,63,73049022925023,73049046227460
1,64,73049053724688,73049062043330
0,64,73049053724668,73049077863130
1,65,73049085849125,73049098651652
0,65,73049085849105,73049114462572
1,66,73049121588801,73049130266972
0,66,73049121588771,73049146039312
1,67,73049153693309,73049161882042
0,67,73049153693289,73049182409685
# complete
