kind,ordinal,begin_ns,end_ns
1,0,73145942478588,73145949299569
0,0,73145942476088,73145966092024
1,1,73148191962951,73148191963901
0,1,73148191962281,73148203395506
1,2,73148228975240,73148228975490
0,2,73148228975160,73148234848297
1,3,73148255017922,73148255017962
0,3,73148255017892,73148265736781
1,4,73148304649370,73148304649520
0,4,73148304649320,73148318014674
1,5,73148331818675,73148333834764
0,5,73148331818645,73148349666163
1,6,73148359772706,73148370569685
0,6,73148359772686,73148386417604
1,7,73148394953466,73148402244004
0,7,73148394953436,73148417747016
1,8,73148426034839,73148433569026
0,8,73148426034809,73148449395926
1,9,73148457615999,73148470313487
0,9,73148457615979,73148486111217
1,10,73148495887592,73148501934807
0,10,73148495887562,73148517404669
1,11,73148526722616,73148532853961
0,11,73148526722556,73148553744002
1,12,73148562678692,73148569542943
0,12,73148562678632,73148585383842
1,13,73148594973828,73148601189992
0,13,73148594973798,73148617011982
1,14,73148626572198,73148632831532
0,14,73148626572168,73148653727704
1,15,73148662745122,73148669576183
0,15,73148662745102,73148685399413
1,16,73148695593675,73148701218773
0,16,73148695593635,73148717034273
1,17,73148726768988,73148732850363
0,17,73148726768958,73148753752085
1,18,73148762131047,73148769599694
0,18,73148762131017,73148785426184
1,19,73148794812151,73148801247444
0,19,73148794812121,73148817060704
1,20,73148826080973,73148832878594
0,20,73148826080953,73148853782166
1,21,73148863880118,73148869607515
0,21,73148863880098,73148885435425
1,22,73148893755138,73148901261185
0,22,73148893755118,73148917077815
1,23,73148925989855,73148932898875
0,23,73148925989735,73148953790257
1,24,73148961789301,73148969612007
0,24,73148961789171,73148985437276
1,25,73148992756195,73149001249717
0,25,73148992756075,73149016751428
1,26,73149023847418,73149032605108
0,26,73149023847328,73149053360510
1,27,73149059765904,73149069195990
0,27,73149059765824,73149085001970
1,28,73149092775386,73149100459492
0,28,73149092775366,73149115909734
1,29,73149122582386,73149136425738
0,29,73149122582346,73149151877310
1,30,73149158893550,73149167327532
0,30,73149158893510,73149182775134
1,31,73149188665580,73149203282827
0,31,73149188665550,73149218719979
1,32,73149224599656,73149234212511
0,32,73149224599616,73149249642323
1,33,73149255557520,73149270127857
0,33,73149255557480,73149285558649
1,34,73149292026092,73149301047631
0,34,73149292026062,73149316477693
1,35,73149322935347,73149336962447
0,35,73149322935317,73149352396129
1,36,73149359893216,73149367887931
0,36,73149359893186,73149383323393
1,37,73149390539212,73149403817756
0,37,73149390539182,73149419264259
1,38,73149426976605,73149434698291
0,38,73149426976575,73149450129163
1,39,73149458609535,73149470614856
0,39,73149458609495,73149486078838
1,40,73149494609520,73149501510811
0,40,73149494609480,73149516942813
1,41,73149525070967,73149532419655
0,41,73149525070937,73149552922188
1,42,73149561130111,73149568405420
0,42,73149561130061,73149583837212
1,43,73149593971645,73149599269634
0,43,73149593971615,73149619753168
1,44,73149628690327,73149635184760
0,44,73149628690307,73149650659052
1,45,73149659891050,73149666150344
0,45,73149659890980,73149686653887
1,46,73149697068078,73149702122419
0,46,73149697068028,73149717569701
1,47,73149727018628,73149733075343
0,47,73149727018608,73149753579837
1,48,73149762983563,73149769079548
0,48,73149762983533,73149784532100
1,49,73149792838853,73149799968283
0,49,73149792838813,73149820475136
1,50,73149828871918,73149835915228
0,50,73149828871898,73149851596569
1,51,73149860076531,73149867037391
0,51,73149860076461,73149882491393
1,52,73149890680327,73149903017856
0,52,73149890680257,73149918451639
1,53,73149927857675,73149933925971
0,53,73149927857645,73149949423872
1,54,73149958006244,73149969986855
0,54,73149958006224,73149985814665
1,55,73149996062017,73150001645575
0,55,73149996061967,73150017495575
1,56,73150025891767,73150033318155
0,56,73150025891697,73150049125165
1,57,73150058085924,73150070015416
0,57,73150058085884,73150085832226
1,58,73150092751547,73150101654496
0,58,73150092751427,73150117478976
1,59,73150124627986,73150133267287
0,59,73150124627956,73150153809110
1,60,73150160998579,73150169632690
0,60,73150160998549,73150185514469
1,61,73150192842538,73150201326719
0,61,73150192842518,73150217145069
1,62,73150224721326,73150232963929
0,62,73150224721246,73150253858570
1,63,73150261710126,73150269679641
0,63,73150261710056,73150285347531
1,64,73150292646510,73150300801453
0,64,73150292646470,73150316277695
1,65,73150323678103,73150336781389
0,65,73150323677983,73150352262891
1,66,73150360065816,73150367710663
0,66,73150360065756,73150383145135
1,67,73150390988110,73150403628688
0,67,73150390988040,73150419101270
# complete
